time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
21:35:47,1500.0,-1.0,-35.0,-989.0,-349.0,-81.0,-12.0,-35.3632639,149.1652361,50076.0,0.0,-22.0,12.0,-0.004639735445380211,-0.013199438340961933,0.18409012258052826,-0.3423767387866974,-0.08312530815601349,-0.01286071166396141,AUTO
21:35:48,1500.0,-1.5,-35.25,-1009.0,-391.0,-33.0,164.5,-35.36326305,149.16523585,49975.75,28.5,23.75,1.75,0.06362178642302752,-0.057282814756035805,0.1900976337492466,-0.3894979655742645,-0.03477168967947364,0.16369617730379105,AUTO
21:35:51,1500.0,-70.0,-8.0,-1011.0,356.0,17.0,-100.0,-35.3632386,149.1652823,49918.0,186.0,269.0,0.0,0.003738898318260908,-0.17399832606315613,1.1588009595870972,0.35338065028190613,0.016867410391569138,-0.10092978924512863,AUTO
21:35:53,1500.0,-110.0,-68.0,-1003.0,-67.5,20.5,-2.0,-35.363198600000004,149.16535805,49891.5,298.5,437.0,0.0,0.04030891694128513,-0.20547710359096527,1.1148566603660583,-0.06827495200559497,0.019657638855278492,-0.002097207121551037,AUTO
21:35:55,1500.0,-138.0,-76.5,-994.0,16.0,1.0,0.0,-35.36313915,149.16547144999998,49968.0,361.0,551.0,-5.5,0.06808571517467499,-0.15848872065544128,1.0975261926651,0.015244227834045887,-3.413250669836998e-05,-0.0002477042144164443,BRAKE
21:35:57,1500.0,-57.0,-7.0,-1019.0,-201.66666666666666,-275.3333333333333,-73.66666666666667,-35.3630906,149.1655681,50191.0,114.5,194.5,18.0,0.03586816322058439,0.18284092843532562,1.1170520186424255,-0.2364979013800621,-0.24854779243469238,-0.054934022948145866,BRAKE
21:36:07,1500.0,-56.857142857142854,-39.42857142857143,-1004.8571428571429,-76.14285714285714,-21.857142857142858,2.2857142857142856,-35.3630497,149.16563907142856,49975.57142857143,138.71428571428572,228.42857142857142,3.142857142857143,0.03413578655038561,-0.1628537199326924,1.0545728547232491,-0.07712266035377979,-0.023671745588736876,0.0016470361234886305,AUTO
21:36:09,1500.0,-120.0,-62.5,-1014.0,15.5,36.0,-5.5,-35.36299805,149.16573945,49905.0,299.0,471.5,-0.5,0.05388791859149933,-0.18822530657052994,1.0437446236610413,0.014222649857401848,0.03540287725627422,-0.006304436014033854,AUTO
21:36:11,1500.0,-137.0,-74.33333333333333,-992.3333333333334,6.0,32.666666666666664,1.6666666666666667,-35.3629373,149.16585725,49999.5,362.0,562.5,-4.5,0.07330934330821037,-0.14766056835651398,1.0382235050201416,0.01368321804329753,0.01853898074477911,0.003175939666107297,AUTO
21:36:13,1500.0,-138.57142857142858,-75.71428571428571,-985.0,-2.0,4.142857142857143,-1.2857142857142858,-35.3628839,149.16596055714285,50058.28571428572,367.14285714285717,573.7142857142857,0.7142857142857143,0.07816764712333679,-0.1250267763222967,1.034333416393825,-0.003245909033077104,0.0021948477785502163,-0.0022900568936685367,AUTO
