time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,EK2_ALT_SOURCE
10:13:58,1500.0,-0.10864805430173874,-0.0021556144347414374,-0.045741235837340355,-0.005417298525571823,0.009947843383997679,-0.03080507181584835,624605.0,-35.3633183,149.16520255,40632.5,-1.5,-46.0,-145.0,AUTO,624.0399780273438,0.0,-3.0,-1000.0,-75.0,6.0,-42.0,0.0
10:14:00,1500.0,-0.0023331509437412024,0.03090660087764263,-0.06363417208194733,0.09055352210998535,0.0245986245572567,0.00416453555226326,627030.0,-35.3633199,149.1651851,43059.0,-38.0,-123.0,-147.0,AUTO,627.0299682617188,-8.0,29.0,-1010.0,92.0,25.0,4.0,0.0
10:14:02,1500.0,0.10673663392663002,-0.04980973340570927,-0.010336031904444098,-0.06992377527058125,-0.17234312742948532,0.14315714687108994,630120.0,-35.3633309,149.1651755,46143.0,-62.0,65.5,-145.0,AUTO,630.1199951171875,17.0,-1.5,-1000.5,-67.5,-170.5,143.5,0.0
10:14:04,1500.0,-0.18283776193857193,-0.05901164375245571,-0.02031902689486742,-0.03502295957878232,0.043991221114993095,0.015849040122702718,632880.0,-35.3633203,149.16519215,48902.0,142.5,-25.0,-74.0,ALT_HOLD,632.8799743652344,-26.0,-15.0,-827.0,-33.5,44.5,16.0,0.0
10:14:06,1500.0,-0.007905124453827739,-0.012386963237076998,-0.02379841823130846,-0.06033430993556976,0.00911431759595871,0.028685939498245716,630880.0,-35.3632963,149.16516385,46902.5,102.5,-188.0,203.0,ALT_HOLD,630.8800048828125,-45.0,-45.5,-984.5,-63.0,10.0,29.0,0.0
10:14:08,1500.0,-0.0195553470402956,-0.005998658481985331,-0.03308161534368992,-1.3364670276641846,-0.009561581537127495,0.01977667771279812,627015.0,-35.363283249999995,149.1651303,43041.0,47.5,-124.0,172.0,AUTO,627.0149841308594,-23.0,14.0,-1004.0,-1332.0,-8.0,20.0,0.0
10:14:10,1500.0,-0.0008494707872159779,0.001010187410429353,-0.04016684740781784,0.12244169414043427,-0.011553936172276735,-0.0003265200066380203,624775.0,-35.36327915,149.16511825,40803.5,10.0,-30.5,26.5,AUTO,624.7749938964844,-1.5,28.0,-1046.5,125.5,-10.0,0.5,0.0
10:14:12,1500.0,-0.009382035583257675,-0.006979025201871991,-0.04731981083750725,-0.08154085278511047,-0.0019881922053173184,-0.0031498828320764005,625140.0,-35.3632792,149.1651171,41168.5,5.0,-19.5,-55.5,AUTO,625.1399841308594,-1.0,1.5,-1006.0,-80.5,-0.5,-1.5,0.0
10:14:14,1500.0,0.005639434530166909,-0.0045838975347578526,-0.053970810025930405,0.1729179322719574,0.0006884746835567057,-0.002371481037698686,626160.0,-35.363279,149.16511509999998,42185.0,5.0,-8.0,-43.0,AUTO,626.1599731445312,-1.5,14.0,-995.0,174.5,1.5,-1.0,0.0
10:14:16,1500.0,0.01398916495963931,-0.0017186320619657636,-0.05975577048957348,0.27706342190504074,0.002626295667141676,-0.0012607711250893772,627000.0,-35.36327865,149.16511355,43022.0,3.0,4.0,-38.5,AUTO,627.0,-0.5,13.5,-1001.5,277.5,3.0,0.0,0.0
