time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
17:55:07,0.0006157734314911067,0.0006438549753511325,-0.8236812949180603,-0.3122005816549063,0.001330764265730977,0.0006891408120281994,-35.3628535,149.164696725,66861.5,-0.5,0.5,-1.75,RTL,-0.25,-16.5,-975.5,-308.75,2.5,3.0,233552.0
17:55:08,0.007295870687812567,0.0007559245859738439,-0.8234351873397827,0.05581878125667572,-0.0002103494480252266,0.002598485560156405,-35.3628537,149.1646965,66846.5,1.0,2.0,1.5,RTL,-0.5,2.0,-1008.5,59.5,2.0,5.0,233552.0
17:55:10,0.012498234398663044,-0.0003208128910046071,-0.8236451148986816,-0.31992384791374207,0.00046601565554738045,0.005039631389081478,-35.3628541,149.1646959,67126.0,4.0,5.0,-47.0,RTL,-2.0,-17.0,-1038.0,-316.0,2.0,7.0,233552.0
17:55:12,0.013983817771077156,0.0009726834250614047,-0.8239443302154541,-0.6081132292747498,0.000287746312096715,0.0008461752440780401,-35.3628551,149.1646949,68090.0,14.0,13.0,-19.0,RTL,-1.0,-22.0,-954.0,-604.0,2.0,3.0,233552.0
17:55:13,0.017353550530970097,0.002936800383031368,-0.8235489964485169,-0.0035090625286102297,0.0027867774944752453,0.0006220467621460557,-35.362854920000004,149.1646949,68125.6,15.4,15.4,3.0,RTL,0.6,-8.4,-999.4,0.2,4.2,3.2,59245.0
17:55:14,0.011485490947961807,0.004412970971316099,-0.8227512836456299,0.46026983857154846,0.0008568456396460533,0.00630599819123745,-35.3628545,149.1646952,68109.0,15.0,16.0,-2.0,RTL,1.0,31.0,-1025.0,465.0,2.0,9.0,59245.0
17:55:16,-0.0007141786627471447,0.0023842572700232267,-0.8232781887054443,-0.2573850154876709,-0.0022930046543478966,0.0020831464789807796,-35.3628536,149.1646962,68821.0,3.0,7.0,-54.0,RTL,0.0,-3.0,-993.0,-252.0,0.0,4.0,59245.0
17:55:18,-0.002167563419789076,0.0016275702510029078,-0.8235073685646057,-0.7919316291809082,-0.005551330279558897,-0.001282273093238473,-35.3628534,149.1646967,69340.0,0.0,2.0,3.0,RTL,1.0,-44.0,-960.0,-787.0,-3.0,1.0,59245.0
17:55:19,-0.0036799075379349232,0.0013956268347101286,-0.8234549045562745,0.08937616348266601,-0.000878406292758882,0.0011843960266560317,-35.3628531,149.16469708,69331.4,-1.2,0.6,-8.2,RTL,0.0,5.6,-1019.0,93.4,1.0,3.6,222382.0
17:55:20,-0.0013823391636833549,-0.0006942952168174088,-0.8238629698753357,0.18735092878341675,-0.0014611552469432354,-0.00047955545596778393,-35.3628531,149.1646972,69464.0,-3.0,-1.0,-34.0,RTL,-1.0,20.0,-1039.0,192.0,0.0,2.0,222382.0
17:55:22,-0.0035617840476334095,0.0016081741778180003,-0.8232357501983643,-0.14446671307086945,0.0013827376533299685,0.0005228328518569469,-35.3628534,149.1646969,70431.0,0.0,0.0,-28.0,RTL,-1.0,7.0,-956.0,-139.0,3.0,3.0,222382.0
17:55:24,0.004085376393049955,0.0029006232507526875,-0.8234934210777283,0.6661680340766907,0.00023567990865558386,0.0014297845773398876,-35.3628531,149.164697,70518.0,-0.5,0.0,4.5,RTL,0.0,33.5,-1020.0,670.5,1.5,4.0,222382.0
17:55:25,-0.0016792363807326184,0.0006220149283763021,-0.8235072731971741,-0.06025631800293922,-0.0003279684809967875,0.00015587257221341133,-35.36285312,149.164697,70725.4,-3.0,-0.4,-35.8,RTL,-0.6,-0.2,-1037.4,-56.0,1.2,3.0,239669.0
17:55:26,-0.003394590225070715,0.0005309379193931818,-0.8233960866928101,-0.2120080590248108,0.002659618156030774,0.0019192518666386604,-35.3628532,149.164697,71067.0,-3.0,-1.0,-52.0,RTL,0.0,-1.0,-1004.0,-207.0,4.0,5.0,239669.0
17:55:28,0.005717307794839144,0.0017321204068139195,-0.8232372403144836,-0.2168988138437271,0.0030165459029376507,-0.006382278632372618,-35.3628532,149.1646969,71638.0,-2.0,-1.0,2.0,RTL,0.0,-30.0,-974.0,-214.0,5.0,-3.0,239669.0
