,A.BRAKE1
18:35:11.709,-1
18:35:11.912,-1
18:35:12.115,-1
18:35:12.352,-1
18:35:12.578,-1
18:35:12.804,-1
18:35:13.009,-1
18:35:13.285,-1
18:35:13.517,-1
18:35:13.721,-1
18:35:13.924,-1
18:35:14.127,-1
18:35:14.330,-1
18:35:14.535,-1
18:35:14.737,-1
18:35:14.942,-1
18:35:15.147,-1
18:35:15.354,-1
18:35:15.556,-1
18:35:15.760,-1
18:35:15.962,-1
18:35:16.168,-1
18:35:16.372,-1
18:35:16.576,-1
18:35:16.782,-1
18:35:16.991,-1
18:35:17.197,-1
18:35:17.441,-1
18:35:17.648,-1
18:35:17.875,-1
18:35:18.114,-1
18:35:18.320,-1
18:35:18.523,-1
18:35:18.725,-1
18:35:18.927,-1
18:35:19.129,-1
18:35:19.334,-1
18:35:19.540,-1
18:35:19.747,-1
18:35:19.948,-1
18:35:20.151,-1
18:35:20.355,-1
18:35:20.562,-1
18:35:20.765,-1
18:35:20.967,-1
18:35:21.171,-1
18:35:21.377,-1
18:35:21.674,-1
18:35:21.876,-1
18:35:22.175,-1
18:35:22.421,-1
18:35:22.635,-1
18:35:22.849,-1
18:35:23.055,-1
18:35:23.258,-1
18:35:23.464,-1
18:35:23.666,-1
18:35:23.871,-1
18:35:24.074,-1
18:35:24.282,-1
18:35:24.496,1
18:35:24.702,1
18:35:24.910,1
18:35:25.112,1
18:35:25.315,1
18:35:25.517,1
18:35:25.726,1
18:35:25.933,1
18:35:26.186,1
18:35:26.398,1
18:35:26.603,1
18:35:26.831,1
18:35:27.045,1
18:35:27.248,1
18:35:27.474,1
18:35:27.692,1
18:35:27.895,1
18:35:28.106,-1
18:35:28.320,-1
18:35:28.527,-1
18:35:28.742,-1
18:35:28.947,-1
18:35:29.151,-1
18:35:29.354,-1
18:35:29.559,-1
18:35:29.766,-1
18:35:29.968,-1
18:35:30.169,-1
18:35:30.372,-1
18:35:30.577,-1
18:35:30.781,-1
18:35:30.984,-1
18:35:31.198,-1
18:35:31.399,-1
18:35:31.602,-1
18:35:31.805,-1
18:35:32.012,-1
18:35:32.221,-1
18:35:32.432,-1
18:35:32.688,-1
18:35:32.902,-1
18:35:33.126,-1
18:35:33.353,-1
18:35:33.564,-1
18:35:33.767,-1
18:35:33.969,-1
18:35:34.187,-1
18:35:34.390,-1
18:35:34.593,-1
18:35:34.805,-1
18:35:35.010,-1
18:35:35.214,-1
18:35:35.416,-1
18:35:35.618,-1
18:35:35.822,-1
18:35:36.026,-1
18:35:36.227,-1
18:35:36.431,-1
18:35:36.635,-1
18:35:36.836,-1
18:35:37.044,-1
18:35:40.829,-1
18:35:41.032,-1
18:35:41.242,-1
18:35:41.447,-1
18:35:41.665,-1
18:35:41.875,-1
18:35:42.093,-1
18:35:42.343,-1
18:35:42.546,-1
18:35:42.753,-1
18:35:42.956,-1
18:35:43.158,-1
18:35:43.360,-1
18:35:43.562,-1
18:35:43.764,-1
18:35:43.968,-1
18:35:44.177,-1
18:35:44.381,-1
18:35:44.584,-1
18:35:44.787,-1
18:35:44.994,-1
18:35:45.196,-1
18:35:45.398,-1
18:35:45.613,-1
18:35:45.816,-1
18:35:46.046,-1
18:35:46.301,-1
18:35:46.508,-1
18:35:46.757,-1
18:35:47.145,-1
18:35:47.379,-1
18:35:47.585,-1
18:35:47.793,-1
18:35:47.995,-1
18:35:48.198,-1
18:35:48.413,-1
18:35:48.618,-1
18:35:48.819,-1
18:35:49.020,-1
18:35:49.222,-1
18:35:49.428,-1
18:35:49.631,1
18:35:49.836,1
18:35:50.038,1
18:35:50.243,1
18:35:50.445,1
18:35:50.647,1
18:35:50.852,1
18:35:51.057,1
18:35:51.259,1
18:35:51.470,-1
18:35:51.677,-1
18:35:51.892,-1
18:35:52.120,-1
18:35:52.352,-1
18:35:52.566,-1
18:35:52.822,-1
18:35:53.040,-1
18:35:53.308,-1
18:35:53.521,-1
18:35:53.723,-1
18:35:53.925,-1
18:35:54.127,-1
18:35:54.330,-1
18:35:54.531,-1
18:35:54.734,-1
18:35:54.936,-1
18:35:55.137,-1
18:35:55.343,-1
18:35:55.545,-1
18:35:55.748,-1
18:35:55.950,-1
18:35:56.154,-1
18:35:56.356,-1
18:35:56.561,-1
18:35:56.764,-1
18:35:56.966,-1
18:35:57.178,-1
18:35:57.439,-1
18:35:57.656,-1
18:35:57.872,-1
18:35:58.084,-1
18:35:58.302,-1
18:35:58.507,-1
18:35:58.737,-1
18:35:58.945,-1
18:35:59.147,-1
18:35:59.350,-1
18:35:59.551,-1
18:35:59.755,-1
18:35:59.958,-1
18:36:00.161,-1
18:36:00.364,-1
18:36:00.570,-1
18:36:00.772,-1
18:36:00.973,-1
18:36:01.175,-1
18:36:01.377,-1
18:36:01.583,-1
18:36:01.784,-1
18:36:02.014,-1
18:36:02.236,-1
18:36:02.458,-1
18:36:02.675,-1
18:36:02.896,-1
18:36:03.137,-1
18:36:03.342,-1
18:36:03.545,-1
18:36:03.748,-1
18:36:03.951,-1
18:36:04.153,-1
18:36:04.355,-1
18:36:04.560,-1
18:36:04.762,-1
18:36:04.964,-1
18:36:05.166,-1
18:36:05.368,-1
18:36:05.569,-1
18:36:05.772,-1
18:36:05.978,-1
18:36:06.181,-1
18:36:06.390,-1
18:36:06.592,-1
18:36:06.794,-1
18:36:06.998,-1
18:36:07.201,-1
18:36:07.412,-1
18:36:07.621,-1
18:36:07.887,-1
18:36:08.119,-1
18:36:08.356,-1
18:36:08.574,-1
18:36:08.784,-1
18:36:08.989,-1
18:36:09.214,-1
18:36:09.419,-1
18:36:09.624,-1
18:36:09.830,-1
18:36:10.033,-1
18:36:10.235,-1
18:36:10.437,-1
18:36:10.640,-1
18:36:10.842,-1
18:36:11.046,-1
18:36:11.248,-1
18:36:11.450,-1
18:36:11.653,-1
18:36:11.856,-1
18:36:12.061,-1
18:36:12.265,1
18:36:12.473,1
18:36:12.678,1
18:36:12.879,1
18:36:16.667,1
18:36:16.883,1
18:36:17.090,1
18:36:17.309,1
18:36:17.516,1
18:36:17.738,1
18:36:17.941,1
18:36:18.151,-1
18:36:18.362,-1
18:36:18.578,-1
18:36:18.788,-1
18:36:18.995,-1
18:36:19.205,-1
18:36:19.406,-1
18:36:19.613,-1
18:36:19.817,-1
18:36:20.028,-1
18:36:20.234,-1
18:36:20.438,-1
18:36:20.644,-1
18:36:20.850,-1
18:36:21.055,-1
18:36:21.264,-1
18:36:21.469,-1
18:36:21.678,-1
18:36:21.893,-1
18:36:22.103,-1
18:36:22.311,-1
18:36:22.557,-1
18:36:22.758,-1
18:36:23.011,-1
18:36:23.239,-1
