time_stamp,MODE,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
03:04:33,RTL,275948.0,0.05285565182566643,-0.0035659270361065865,-1.9372868537902832,-0.00038574240170419216,-0.06286821700632572,0.05230463296175003,-35.363408500000006,149.16443685000002,108179.5,20.5,14.5,-152.0,4.5,1.0,-998.5,2.0,-60.5,53.5
03:04:34,RTL,54970.0,-0.007467704883310944,-0.004797517045517452,-1.9571610689163208,-0.048912296537309885,0.013957082526758313,-0.05306381266564131,-35.363405,149.16443625,110104.75,32.75,-14.0,-151.0,3.75,-8.0,-1002.0,-46.25,15.5,-50.75
03:04:35,RTL,54970.0,-0.024467279203236103,0.002445255930069834,-1.9992539286613464,0.0004433896392583847,0.010833167936652899,-0.054660093039274216,-35.36340345,149.16443500000003,111268.5,12.5,-10.5,-153.0,0.5,-4.5,-1001.0,3.0,12.0,-52.5
03:04:37,RTL,141271.0,0.003195342025719583,0.0050070215947926044,-2.056729793548584,0.01246528746560216,-0.005131944082677364,-0.004343596752732992,-35.36340465,149.16443535000002,114393.0,-11.0,12.0,-153.0,-1.0,3.5,-999.0,14.5,-2.5,-2.0
03:04:39,RTL,227572.0,0.007747663883492351,0.0016114779864437878,-2.0635803937911987,0.0014684468042105436,0.005626736208796501,0.011518362909555435,-35.3634058,149.164437,117505.0,1.5,2.5,-152.0,0.0,0.5,-999.0,3.5,7.0,12.5
03:04:40,RTL,251488.0,0.004220463277306408,0.0032258235733024776,-2.0391613245010376,-0.004459672083612531,-0.0006586583913303912,0.023775918409228325,-35.363405725,149.1644371,119440.5,5.75,0.25,-152.0,0.0,0.0,-1000.0,-1.75,1.0,25.0
03:04:41,RTL,251488.0,0.0012774934875778854,0.002185195917263627,-2.0228244066238403,-0.0019173132022842765,-0.001794491778127849,0.020982775837183,-35.36340545,149.1644371,120601.5,6.0,0.0,-152.0,0.0,0.0,-1000.0,0.5,0.0,22.5
03:04:43,RTL,141348.0,0.0008669202507007867,0.0010912626166827977,-1.9898698329925537,0.00153919227886945,0.00015113968402147293,0.014252757653594017,-35.3634051,149.164437,123705.5,1.5,0.0,-152.0,0.0,0.0,-1000.0,3.0,1.5,15.5
03:04:45,RTL,31208.0,0.0022533395094797015,0.0021037606056779623,-1.9640766978263855,0.001435968209989369,0.000679653836414218,0.012864415999501944,-35.3634051,149.1644368,126815.0,0.0,0.0,-152.0,0.0,0.0,-1000.0,3.5,2.0,14.5
03:04:46,RTL,23562.0,0.0028991613653488457,0.0028789087664335966,-1.9520872831344604,-4.322023596614599e-05,0.0001246419851668179,0.010993288131430745,-35.3634052,149.16443665,128751.25,1.0,0.0,-152.0,0.0,0.0,-1000.0,1.75,1.5,12.75
03:04:47,RTL,23562.0,7.657776586711407e-05,0.005473272642120719,-1.9402539730072021,-0.01440023077884689,0.01629977743141353,0.04310762509703636,-35.3634053,149.1644366,129914.5,1.5,0.0,-151.0,0.0,0.0,-997.0,-12.0,18.0,44.5
03:04:49,RTL,74604.5,-0.0018692074081627652,-0.003846014675218612,-1.7286421656608582,0.01136648515239358,-0.015963062644004822,0.10422305017709732,-35.3634062,149.16443865,132989.5,-8.0,14.5,-151.0,1.5,3.0,-1000.5,13.5,-13.0,105.5
03:04:51,RTL,125647.0,0.06038171611726284,-0.02201865427196026,-1.5892717838287354,0.03861140087246895,-0.006484658224508166,0.02348826266825199,-35.36340655,149.16443915,136102.0,29.5,-16.0,-152.5,0.0,-5.0,-998.5,40.5,-3.5,25.0
03:04:52,RTL,78755.0,-0.03318731393665075,0.020309219369664788,-1.6538885533809662,-0.12428184691816568,0.006831435719504952,-0.07000442780554295,-35.363400825,149.164435675,138009.75,53.0,-21.25,-149.25,2.25,-13.75,-1007.25,-121.25,9.5,-67.0
03:04:53,RTL,78755.0,-0.07442957162857056,0.010531785897910595,-1.6886718273162842,0.027086752001196146,-0.008117441553622484,-0.02648841217160225,-35.3633988,149.16443429999998,139169.5,-1.0,-6.0,-153.0,-0.5,-2.5,-1003.0,29.0,-5.5,-23.5
03:04:55,RTL,74633.5,0.022455068305134773,-0.0016900596674531698,-1.6866981387138367,0.017084676772356033,-0.04947999678552151,0.05708823725581169,-35.363405400000005,149.1644361,142288.5,-32.5,19.5,-153.0,-1.5,9.0,-1000.5,19.0,-46.5,59.0
03:04:57,RTL,70512.0,-0.022458349354565144,0.007997606182470918,-1.6838861107826233,0.015207490883767605,0.02041835244745016,-0.04355521313846111,-35.363407550000005,149.1644357,145390.0,-12.0,-11.0,-151.5,-4.5,0.0,-1003.5,17.5,22.5,-41.0
03:04:58,RTL,120364.0,0.011527775990543887,0.011603005463257432,-1.7084564864635468,0.023163471836596727,-0.006486756639787927,-0.0006654284079559147,-35.363409774999994,149.1644352,147343.75,-15.25,5.25,-153.0,-1.75,3.5,-1000.0,25.25,-3.5,1.25
03:04:59,RTL,120364.0,0.02967357449233532,0.0053153205662965775,-1.707143247127533,0.04570038616657257,-0.00886146305128932,0.00325552502181381,-35.3634105,149.1644357,148516.0,0.0,8.5,-153.0,0.0,1.5,-1002.0,48.0,-6.0,5.0
03:05:01,RTL,87934.5,-0.028384404256939888,0.00671737059019506,-1.7413741946220398,0.08027995005249977,-0.007702098460868001,-0.0032821742352098227,-35.3634062,149.1644359,151424.5,10.5,3.0,-105.0,1.5,-2.0,-941.0,82.5,-5.0,-0.5
03:05:03,RTL,55505.0,0.0037245688145048916,0.0011857981444336474,-1.7543094158172607,-0.046000516042113304,0.0014471136964857578,-0.006299121771007776,-35.3634048,149.1644363,152634.5,12.0,0.0,-50.5,1.0,-3.0,-1053.5,-43.0,3.5,-3.5
03:05:04,RTL,109287.0,-0.00369558681268245,0.0018077620770782232,-1.7620124220848083,0.00743873929604888,-0.0004294514947105199,-0.005203464534133673,-35.363403825,149.1644363,153753.25,6.25,0.0,-118.0,0.5,-0.5,-1038.25,9.75,1.5,-2.5
03:05:05,RTL,109287.0,0.001701280358247459,0.0007134046045393916,-1.7658438086509705,0.03235344775021076,-0.0044493082095868886,-0.0022799436119385064,-35.3634036,149.1644362,154732.5,2.0,0.0,-142.0,0.0,0.0,-1035.0,34.5,-1.5,0.0
03:05:07,RTL,104638.0,-0.02412801026366651,0.020528893917798996,-1.8194202780723572,-0.1634267419576645,-0.01757262391038239,-0.04626362584531307,-35.363399650000005,149.1644341,157779.0,43.0,-11.0,-147.5,2.0,-9.0,-1002.0,-160.5,-14.5,-43.5
03:05:09,RTL,99989.0,-0.028608955442905426,0.005073281237855554,-1.854629099369049,0.07047102972865105,0.013858907856047153,-0.0016542950179427862,-35.3634033,149.16443575,160833.0,-70.0,27.0,-149.5,-6.5,14.5,-1003.0,72.5,15.5,0.5
03:05:10,RTL,62302.0,0.04644009843468666,0.0025337359911645763,-1.8380457758903503,0.026758394786156714,-0.04202365013770759,0.051516829524189234,-35.363409925,149.16444015000002,162774.75,-30.75,33.5,-153.25,-1.25,12.75,-1001.25,29.0,-39.25,53.5
03:05:11,RTL,62302.0,0.04861718602478504,-0.05181054770946503,-1.7781042456626892,-0.00725340424105525,-0.08035331591963768,0.11162547022104263,-35.3634111,149.1644422,163947.0,4.5,8.0,-152.0,1.5,2.5,-999.5,-4.0,-77.5,113.0
03:05:13,RTL,62198.5,0.008152824826538563,0.03936030715703964,-1.7835353016853333,-0.01026378944516182,0.00012622633948922157,0.00287935056257993,-35.363408199999995,149.16443485000002,166976.5,24.5,-23.5,-145.0,-3.5,-7.5,-999.5,-7.0,3.0,4.5
03:05:15,RTL,62095.0,0.0421803742647171,-0.00020707841031253338,-1.7852739691734314,0.03912019357085228,-0.02591690421104431,0.0041278444696217775,-35.36340345,149.16443425,170023.5,41.0,4.0,-152.0,6.0,-4.5,-999.5,41.5,-23.0,5.5
