time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
21:16:18,1500.0,-35.36322655,149.16530145000002,44242.5,55.5,97.0,1.5,AUTO,0.012900606263428926,-0.11077987775206566,1.0323862433433533,-0.3713308498263359,-0.04880644008517265,0.012144556734710932,-22.0,-43.0,-1017.0,-372.0,-47.0,12.5
21:16:20,1500.0,-35.36320845555556,149.16533627777778,44290.666666666664,161.55555555555554,249.66666666666666,-9.777777777777779,AUTO,0.03359431980384721,-0.17912969324323866,1.022663288646274,-0.06065715870095624,-0.021868293432311878,-0.0053192384592774845,-61.55555555555556,-40.22222222222222,-1010.2222222222222,-59.55555555555556,-20.11111111111111,-4.333333333333333
21:16:23,1500.0,-35.36314424,149.16545764,44702.4,318.6,509.4,-25.6,AUTO,0.07257334142923355,-0.1931627333164215,1.0142414808273315,0.005721724685281515,0.016915358230471612,-0.003900396823883057,-113.2,-65.0,-998.0,7.0,18.4,-2.8
21:16:25,1500.0,-35.363086239999994,149.16556975999998,45203.4,359.0,577.4,-29.2,AUTO,0.08176410794258118,-0.15355989038944245,1.0139714002609252,-0.0018830333836376667,0.031092630792409183,-0.0025911953300237654,-131.4,-73.2,-990.2,-0.4,32.4,-1.8
21:16:32,1500.0,-35.3629392,149.1658586,46301.0,84.0,163.0,12.0,BRAKE,0.030977485701441765,0.0917443335056305,1.0360844135284424,0.5687820911407471,-0.16054411232471466,-0.03597186133265495,-38.0,17.0,-1007.0,574.0,-158.0,-34.0
21:16:34,1500.0,-35.36293262,149.16587356000002,46227.0,55.6,95.2,-0.2,BRAKE,0.008207677770406008,0.010648898407816887,1.0362951278686523,-0.039864635467529295,-0.021093520661816002,-0.0009064531186595559,-27.0,-12.2,-1010.4,-37.2,-19.0,0.4
21:16:37,1500.0,-35.36291878,149.16589752,43566.2,35.6,33.0,184.2,AUTO,-0.0064416135661304,-0.003752257954329252,1.0333059549331665,-1.3202587425708772,0.002337995287962258,-0.012461367156356573,-9.4,-65.2,-990.4,-1319.8,3.8,-11.4
21:16:39,1500.0,-35.3629161875,149.16590711249998,40890.0,40.125,30.75,55.75,AUTO,-0.011358846037182957,-0.040030714590102434,1.0309096574783325,0.4429549276828766,-0.05883977934718132,-0.0096009363187477,-8.625,-5.875,-1087.75,441.625,-56.375,-8.5
21:16:41,1500.0,-35.36290281666667,149.16593205,40651.666666666664,147.16666666666666,171.0,-16.833333333333332,BRAKE,0.016061410851155717,-0.16563615202903748,1.009878396987915,0.07608602692683537,-0.04169568846312662,-0.00625593572234114,-43.0,-29.166666666666668,-1018.3333333333334,76.16666666666667,-39.333333333333336,-5.666666666666667
21:16:43,1500.0,-35.362879119999995,149.165974,41138.2,118.4,145.8,-24.4,BRAKE,0.03575500585138798,0.1367036759853363,1.0159608840942382,0.2328158394433558,-0.011600324511528015,0.0069843460340052845,-37.6,-24.6,-986.2,232.2,-9.4,7.2
21:16:44,1500.0,-35.3628719,149.165989475,41245.0,42.75,26.0,-1.0,BRAKE,-0.019238126929849386,0.020866877166554332,1.0127938389778137,-0.2887822985649109,-0.03138814214617014,0.01481241441797465,-10.5,-26.75,-1003.5,-290.5,-29.0,15.25
21:16:46,1500.0,-35.36286836000001,149.16599316,41280.2,30.0,0.6,-1.2,ALT_HOLD,0.0006731209898134694,-0.00030455578817054627,1.014182686805725,0.11831504814326763,-0.002803946053609252,0.002977756503969431,-6.8,5.4,-991.0,118.0,-0.6,3.4
21:16:48,1500.0,-35.3628648,149.165993975,40246.75,12.5,-3.5,154.5,AUTO,0.00847779045579955,-0.0017793136939872056,1.0134347975254059,1.095924623310566,0.002052201743936166,-0.0011556826066225767,-2.25,85.5,-938.5,1101.0,3.75,-0.25
21:16:50,1500.0,-35.3628627,149.165996,38308.333333333336,22.0,25.833333333333332,37.5,AUTO,-0.00842357070844931,-0.0520078552265962,1.0134428938229878,-0.6201034163435301,-0.03399481469144424,-0.005738256576781471,-7.5,-22.5,-1076.0,-619.0,-31.0,-4.333333333333333
