time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
08:58:37,63403.0,-35.3633154,149.1644226,155756.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,1.0,2.6666666666666665,1.3333333333333333,RTL,0.0021177917175615826,0.0006570095429196954,-1.6649866501490276,-0.001239268962914745,0.00046232536745568115,-0.0002646115996564428
08:58:38,224133.0,-35.3633154,149.1644226,157697.66666666666,1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,2.3333333333333335,2.3333333333333335,4.0,RTL,0.0019019354367628694,0.0007090455813643833,-1.66484530766805,0.00034694583155214787,0.0003119779285043478,0.002016351946319143
08:58:39,224133.0,-35.3633154,149.1644226,158862.33333333334,1.0,1.0,-152.0,0.0,0.0,-1000.0,3.0,2.0,1.3333333333333333,RTL,0.0018266326126952965,0.0006121739473504325,-1.6647769610087078,0.00062755619486173,0.0001257581946750482,-0.0002387941349297762
08:58:41,224133.0,-35.3633154,149.1644226,161972.66666666666,1.0,0.6666666666666666,-152.0,0.0,0.0,-1000.0,2.3333333333333335,2.0,2.6666666666666665,RTL,0.0018941005691885948,0.00016786952134377012,-1.6645750204722087,0.00029595204008122283,-5.9748378892739616e-05,0.001056696055456996
08:58:43,224133.0,-35.3633154,149.1644226,165087.33333333334,1.0,0.6666666666666666,-152.0,0.0,0.0,-1000.0,4.0,3.3333333333333335,3.3333333333333335,RTL,0.0018538006503755848,0.0005767770732442538,-1.6646943887074788,0.00194536242634058,0.0011113155633211136,0.0018068307545036077
08:58:44,290240.0,-35.3633154,149.1644226,167021.66666666666,1.0,1.0,-152.0,0.0,0.0,-1000.0,1.0,1.6666666666666667,1.6666666666666667,RTL,0.0019142407303055127,0.0004612392319055895,-1.6645338535308838,-0.0013537983177229762,-0.0004943903768435121,-8.679635357111692e-05
08:58:45,290240.0,-35.3633154,149.1644226,168192.0,1.0,0.0,-152.0,0.0,0.0,-999.6666666666666,2.3333333333333335,3.0,1.3333333333333333,RTL,0.0019265624384085338,0.0005289932111433396,-1.664481282234192,-3.173753308753172e-05,0.0009070635618021091,-0.000542763116148611
08:58:47,290240.0,-35.3633154,149.1644226,171294.66666666666,1.0,1.0,-152.0,0.0,0.0,-1000.0,2.3333333333333335,2.3333333333333335,2.3333333333333335,RTL,0.0018786780225733917,0.0005578109800505141,-1.664333422978719,-0.0004525586652259032,5.0169144136210285e-05,0.00032771223535140354
08:58:49,290240.0,-35.3633154,149.1644226,174409.66666666666,1.0,1.0,-152.0,0.0,0.0,-1000.0,2.0,2.0,3.3333333333333335,RTL,0.0017791622473547857,0.000590843555983156,-1.6643141905466716,3.2341728607813515e-05,-0.00017720980880161127,0.0014663083323587973
08:58:50,92048.0,-35.3633154,149.1644226,176353.66666666666,1.0,1.0,-152.0,0.0,0.0,-1000.0,3.6666666666666665,2.6666666666666665,4.0,RTL,0.0017816073959693313,0.000849202120055755,-1.6635204156239827,0.0011845924115429323,0.00031235200973848504,0.002046056557446718
08:58:51,92048.0,-35.3633154,149.1644226,177520.0,1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,2.3333333333333335,2.3333333333333335,3.0,RTL,0.002012242291433116,0.0008477655743869642,-1.6634875933329265,3.243804288407167e-05,-8.9819038597246e-05,0.001124138090138634
08:58:53,92048.0,-35.3633154,149.1644226,180626.0,1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,1.6666666666666667,2.0,2.0,RTL,0.0018592746152232091,0.0005289814725983888,-1.663525104522705,-0.00043562213735034067,-3.240699879825115e-05,0.0002402664783100287
08:58:55,92048.0,-35.3633154,149.1644226,183730.0,1.0,0.6666666666666666,-152.0,0.0,0.0,-1000.3333333333334,2.3333333333333335,2.0,2.0,RTL,0.001991818193346262,0.00024653723812662065,-1.6636427640914917,-0.00014008783424894014,-0.00025777464422086876,0.00027540729691584903
08:58:56,47267.0,-35.3633154,149.1644226,185671.66666666666,1.0,0.0,-152.0,0.0,0.0,-999.6666666666666,2.3333333333333335,3.3333333333333335,2.3333333333333335,RTL,0.0019199842354282737,0.0006020616759390881,-1.663581411043803,-0.00014650635421276093,0.0009299909385542074,6.55239758392175e-05
08:58:57,47267.0,-35.3633154,149.1644226,186837.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,RTL,0.001900944587153693,0.0004955658902569363,-1.6637262900670369,-0.0007079622397820154,-0.00031609794435401756,-0.000523443566635251
08:58:59,47267.0,-35.3633154,149.1644226,189948.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,3.0,2.6666666666666665,4.333333333333333,RTL,0.0019868522261579833,0.0006115012220107019,-1.6637629667917888,0.0006967128720134497,0.0002699982530126969,0.0022964386735111475
08:59:01,47267.0,-35.3633154,149.1644226,193052.0,1.0,1.0,-152.0,0.0,0.0,-999.3333333333334,2.6666666666666665,4.0,3.0,RTL,0.0014690820050115387,0.0004883742755434165,-1.663402835528056,0.000444133843605717,0.0017552014905959368,0.0006593164677421252
08:59:02,108820.0,-35.3633154,149.1644226,194997.66666666666,1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,3.6666666666666665,2.3333333333333335,2.0,RTL,0.0017383877420797944,0.00048398471941861015,-1.6637259324391682,0.000833172700367868,-0.00023918140990038714,-0.0005060943852489194
08:59:03,108820.0,-35.3633154,149.1644226,196165.66666666666,1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,2.6666666666666665,3.0,2.6666666666666665,RTL,0.0019267798634245992,0.00043074897257611156,-1.6636784474054973,-3.2319221645593643e-06,0.0005990950545916954,0.0006245382440586885
08:59:05,108820.0,-35.3633154,149.1644226,199270.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,3.3333333333333335,3.0,2.0,RTL,0.0021008901530876756,0.00042266697467615205,-1.6637006600697835,0.0008820720637838045,0.0005425296258181334,9.525039543708165e-05
08:59:07,108820.0,-35.3633154,149.1644226,202375.0,1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,4.333333333333333,2.3333333333333335,3.6666666666666665,RTL,0.0019044614552209775,0.0008032671951999267,-1.6628366311391194,0.0016891850003351767,-0.00014676696931322417,0.001311295898631215
08:59:08,212491.0,-35.3633154,149.1644226,204321.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,2.6666666666666665,3.0,3.0,RTL,0.0018625532587369282,0.000520971060420076,-1.6631041367848713,-0.00014384339253107706,0.0003502311495443185,0.000832318871592482
08:59:09,212491.0,-35.3633154,149.1644226,205488.33333333334,1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,1.3333333333333333,2.6666666666666665,3.3333333333333335,RTL,0.001850126194767654,0.0003930881794076413,-1.663004954655965,-0.0010972289213289816,-0.00011277354011933009,0.0011003590965022643
08:59:11,212491.0,-35.3633154,149.1644226,208593.0,1.0,0.3333333333333333,-152.0,0.0,0.0,-1000.3333333333334,2.6666666666666665,2.6666666666666665,3.0,RTL,0.0019039454249044259,0.0005173251265659928,-1.663102149963379,-0.00017458468209952116,0.00011833295381317536,0.00028958745921651524
08:59:13,212491.0,-35.3633154,149.1644226,211700.33333333334,1.0,1.0,-152.0,0.0,0.0,-1000.0,2.6666666666666665,3.0,3.6666666666666665,RTL,0.001959675340913236,0.0006268328676621119,-1.6633922656377156,0.00018225649061302343,0.0001033331888417403,0.0014385835578044255
