time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,chan4_raw
17:00:49,1500.0,-35.3632667,149.16523575,50207.5,55.5,-13.5,-11.5,0.033447147347033024,-0.03353514615446329,-0.47133828699588776,-0.41419295221567154,0.12005617842078209,0.17020724341273308,AUTO,-10.5,-36.0,-981.5,-414.0,121.0,170.5,1500.0
17:00:51,1500.0,-35.363260749999995,149.16523790000002,50012.5,5.5,14.5,7.5,0.0034855468838941306,-0.03758006542921066,-0.5391600131988525,0.6166491210460663,-0.12965472787618637,0.12972508370876312,AUTO,5.5,23.5,-1021.0,618.0,-128.0,130.0,1500.0
17:00:53,1500.0,-35.363247799999996,149.16523465,49946.5,149.5,-67.0,-1.5,0.003016619535628706,-0.12651991844177246,-0.2863526940345764,-0.4074466973543167,-0.03749282006174326,-0.010955671314150095,AUTO,-32.5,-48.0,-996.0,-407.0,-36.0,-10.0,1500.0
17:00:55,1500.0,-35.363204499999995,149.16521555,49933.0,340.5,-129.5,0.0,0.04119407758116722,-0.17777694016695023,-0.2992754429578781,-0.0033491551876068115,-0.020621472969651222,0.017377741634845734,AUTO,-75.0,-51.5,-1001.5,-3.0,-19.0,17.0,1500.0
17:00:57,1500.0,-35.363125749999995,149.16518335,49896.5,534.5,-186.0,-2.5,0.05991402082145214,-0.19483213871717453,-0.30760908126831055,-8.009374141693115e-07,0.008094276883639395,-0.0074421551544219255,AUTO,-114.5,-49.0,-1000.0,1.5,8.5,-6.5,1500.0
17:00:59,1500.0,-35.363019300000005,149.16513974999998,49983.5,628.5,-208.0,-4.5,0.09206470847129822,-0.15036704391241074,-0.3577038496732712,-0.027895621489733458,0.016907282173633575,-0.07399985566735268,AUTO,-128.0,-86.0,-983.5,-27.0,17.0,-73.0,1472.0
17:01:01,1500.0,-35.36290355,149.1650938,50029.0,639.5,-205.0,1.0,0.10734328627586365,-0.1151096299290657,-0.48356929421424866,-0.0261243749409914,-0.026662382297217846,-0.06453775614500046,AUTO,-120.5,-97.5,-978.5,-25.0,-25.0,-63.5,1472.0
17:01:03,1500.0,-35.362787049999994,149.16504805,49994.0,649.0,-206.5,-0.5,0.10364652425050735,-0.1119125708937645,-0.49635209143161774,0.025823584059253335,0.00543192820623517,0.005552088841795921,AUTO,-123.5,-100.0,-990.5,27.0,6.5,5.5,1500.0
17:01:05,1500.0,-35.362669749999995,149.1650019,50003.5,647.5,-208.5,-0.5,0.10508808121085167,-0.10898466035723686,-0.4963366538286209,0.03731224127113819,-0.00016084406524896622,-0.0005746594397351146,AUTO,-113.5,-94.0,-986.5,38.5,1.0,0.0,1500.0
17:01:07,1500.0,-35.362558199999995,149.16495780000002,50092.0,560.5,-179.5,-1.0,0.08757368475198746,-0.016942613292485476,-0.48773691058158875,0.2018335610628128,0.041265699081122875,0.019188137957826257,AUTO,-90.5,-89.0,-976.5,202.0,42.0,19.5,1500.0
17:01:09,1500.0,-35.36247365,149.16492475,50054.0,360.5,-111.5,4.5,0.042878905311226845,0.0585109107196331,-0.48196403682231903,-0.7219354510307312,0.02680549304932356,0.006746605969965458,AUTO,-61.5,-91.0,-998.5,-720.0,27.5,7.5,1500.0
17:01:11,1500.0,-35.362427249999996,149.16491665,49991.0,159.0,51.0,2.0,0.08234205096960068,0.13515492528676987,-0.47707806527614594,-0.03825034201145172,0.029965179972350597,0.007929526269435883,AUTO,-4.0,-21.0,-1010.5,-35.5,30.5,8.5,1500.0
17:01:13,1500.0,-35.3624124,149.16495595,49933.0,27.5,298.0,2.0,-0.08994584903120995,0.18766945600509644,-1.656657338142395,-0.23156096786260605,0.00836738251382485,-0.7230175137519836,AUTO,62.0,28.5,-1004.5,-230.5,9.0,-721.5,1374.0
17:01:15,1500.0,-35.36241085,149.16504930000002,49893.5,12.0,538.0,1.0,-0.21536697447299957,0.0446862131357193,-2.6965396404266357,0.017035572789609432,-0.039564989507198334,0.12886353954672813,AUTO,-16.0,125.5,-1001.0,18.0,-38.0,129.5,1500.0
17:01:17,1500.0,-35.36241065,149.16518515,49977.5,5.5,670.0,-6.0,-0.17305419594049454,0.017276251688599586,-2.6313257217407227,0.028698332607746124,-0.005709366407245398,0.004030170326586813,AUTO,-4.5,162.5,-996.5,29.0,-4.5,4.5,1500.0
17:01:19,1500.0,-35.3624108,149.16533650000002,50054.0,14.5,681.5,0.0,-0.14318538457155228,0.005189010757021606,-2.6284685134887695,-0.03987829154357314,0.01849375758320093,0.0030755327316001058,AUTO,-9.0,151.0,-975.0,-38.5,19.0,3.5,1500.0
17:01:21,1500.0,-35.362409400000004,149.1654878,49987.0,21.5,689.5,0.0,-0.1530490219593048,0.011029785964637995,-2.6282304525375366,-0.014442470856010914,0.008011737023480237,0.007848099572584033,AUTO,4.0,149.0,-990.5,-12.5,9.0,9.0,1500.0
17:01:23,1500.0,-35.3624067,149.16564019999998,49993.5,23.0,687.0,-1.0,-0.14066699147224426,-0.052983617410063744,-2.993719458580017,-0.04464853834360838,0.03038803581148386,-0.8624094128608704,AUTO,-56.0,145.0,-983.0,-43.5,31.5,-860.5,1272.0
17:01:25,1500.0,-35.36240305,149.1657908,49995.0,22.0,680.0,0.0,0.05270315706729889,-0.14876339584589005,1.78571218252182,0.026198684703558683,-0.00693677575327456,-0.729561060667038,AUTO,-150.0,-45.5,-985.0,27.5,-5.5,-728.0,1272.0
17:01:27,1500.0,-35.362401,149.1659414,49987.0,10.5,683.0,-2.0,0.08631789684295654,-0.12455307319760323,1.5005276203155518,-0.01921645412221551,0.013614590745419264,0.005048013059422374,AUTO,-132.5,-76.0,-986.5,-17.0,14.5,6.5,1500.0
17:01:29,1500.0,-35.362399249999996,149.16609265,49989.0,15.5,675.0,0.5,0.08271164447069168,-0.12759917229413986,1.5043047070503235,0.027242571115493774,-0.009476779494434595,0.009757192456163466,AUTO,-130.5,-78.5,-983.5,28.5,-7.5,11.5,1500.0
17:01:31,1500.0,-35.3623962,149.16624259999998,49983.0,15.5,673.5,-0.5,0.09002453461289406,-0.12874538451433182,1.5047830939292908,0.0657611545175314,-1.700164284557104e-05,-0.006187530932947993,AUTO,-130.5,-82.5,-983.5,67.0,1.5,-4.5,1500.0
17:01:33,1500.0,-35.36239295,149.1663924,49982.0,11.0,674.0,-1.5,0.09128817915916443,-0.12344703823328018,1.506046175956726,-0.025580018758773804,0.001885236008092761,0.004615583224222064,AUTO,-131.5,-103.5,-992.5,-23.5,3.0,6.5,1500.0
17:01:35,1500.0,-35.36239035,149.1665415,49984.0,6.5,670.5,-3.0,-0.07523053139448166,-0.13268373161554337,2.676713466644287,0.04482673108577728,0.012740641832351685,0.7299017012119293,AUTO,-133.5,91.5,-989.5,46.5,14.0,731.0,1688.0
17:01:37,1500.0,-35.362388249999995,149.16668909999999,50013.5,9.0,642.0,-9.5,-0.10409608855843544,-0.030023012310266495,-2.5696375370025635,0.09722382016479969,-0.010013173799961805,-0.10559350810945034,AUTO,-4.5,151.0,-985.0,99.5,-8.0,-103.5,1500.0
17:01:39,1500.0,-35.3623864,149.16681615,50055.0,9.0,481.0,0.0,-0.005664176540449262,-0.06743044778704643,-2.6143200397491455,0.7216507494449615,-0.027549521066248417,-0.0012568749953061342,AUTO,-5.0,135.0,-1001.5,723.0,-25.0,0.5,1500.0
17:01:41,1500.0,-35.362385950000004,149.16689545,49995.0,3.5,225.5,0.0,0.09232368692755699,-0.08437603712081909,-2.615835428237915,0.31951816007494926,-0.018435451202094555,0.005552972201257944,AUTO,-4.0,51.0,-1017.0,319.5,-16.0,7.0,1500.0
17:01:43,1500.0,-35.36238735,149.1669091,49968.5,2.5,-123.5,2.5,0.19096168130636215,-0.06815131567418575,-2.6828848123550415,-0.28718768060207367,0.03234122972935438,-0.21107064932584763,AUTO,-3.0,-33.5,-1018.0,-284.0,34.0,-208.5,1500.0
