time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,chan4_raw,RTL_ALT
17:01:18.696,AUTO,-35.3624107,149.1652509,50025,-0.15800057351589203,0.006930588744580746,-2.6287949085235596,0.082502581179142,0.0017292008269578218,0.0066282059997320175,-2,168,-994,18,-10,2,10,685,-4,1500,1500.0
17:01:18.900,AUTO,-35.3624108,149.165289,50043,-0.1434948891401291,0.002766219899058342,-2.6276984214782715,0.03774649649858475,-0.010028448887169361,0.005577764008194208,-4,169,-993,39,-8,6,11,686,-4,1500,1500.0
17:01:19.103,AUTO,-35.3624108,149.1653081,50052,-0.1376425325870514,0.0006749238236807287,-2.6272478103637695,0.03548917546868324,-0.02388433925807476,0.00010680814739316702,-4,148,-978,36,-22,1,13,684,-4,1500,1500.0
17:01:19.305,AUTO,-35.3624108,149.1653271,50055,-0.14088864624500275,0.002555327257141471,-2.627715826034546,-0.06767843663692474,0.009899921715259552,-0.00048512709327042103,-8,154,-979,-66,10,0,14,682,-1,1500,1500.0
17:01:19.507,AUTO,-35.3624108,149.1653459,50053,-0.1454821228981018,0.007822694256901741,-2.629221200942993,-0.012078146450221539,0.02708759345114231,0.0066361925564706326,-10,148,-971,-11,28,7,15,681,1,1500,1500.0
17:01:19.708,AUTO,-35.3624108,149.1653459,50053,-0.1454821228981018,0.007822694256901741,-2.629221200942993,-0.012078146450221539,0.02708759345114231,0.0066361925564706326,-10,148,-971,-11,28,7,15,681,1,1500,1500.0
17:01:19.910,AUTO,-35.3624108,149.1653459,50053,-0.1454821228981018,0.007822694256901741,-2.629221200942993,-0.012078146450221539,0.02708759345114231,0.0066361925564706326,-10,148,-971,-11,28,7,15,681,1,1500,1500.0
17:01:20.112,AUTO,-35.3624108,149.1653459,50053,-0.1454821228981018,0.007822694256901741,-2.629221200942993,-0.012078146450221539,0.02708759345114231,0.0066361925564706326,-10,148,-971,-11,28,7,15,681,1,1500,1500.0
17:01:20.315,AUTO,-35.3624108,149.1653459,50053,-0.1454821228981018,0.007822694256901741,-2.629221200942993,-0.012078146450221539,0.02708759345114231,0.0066361925564706326,-10,148,-971,-11,28,7,15,681,1,1500,1500.0
17:01:20.517,AUTO,-35.3624104,149.1654023,50017,-0.1510045826435089,0.011407488957047462,-2.629974365234375,0.10501120984554291,-0.0026133304927498102,0.009098855778574944,-5,156,-994,106,-1,10,19,684,3,1500,1500.0
17:01:20.719,AUTO,-35.36241,149.1654401,50000,-0.15975703299045563,0.007684134412556887,-2.628896474838257,-0.014551358297467232,0.008537199348211288,0.0029212525114417076,-8,163,-989,-12,9,4,24,687,2,1500,1500.0
17:01:20.922,AUTO,-35.36241,149.1654401,50000,-0.15975703299045563,0.007684134412556887,-2.628896474838257,-0.014551358297467232,0.008537199348211288,0.0029212525114417076,-8,163,-989,-12,9,4,24,687,2,1500,1500.0
17:01:21.123,AUTO,-35.3624098,149.1654591,49993,-0.15762107074260712,0.008281686343252659,-2.628744125366211,0.05411641672253609,0.015779901295900345,0.01280948519706726,-1,164,-991,55,16,14,23,688,1,1500,1500.0
17:01:21.324,AUTO,-35.3624095,149.1654783,49988,-0.153472900390625,0.01215741503983736,-2.628479480743408,-0.01754939742386341,0.01593608781695366,0.010002895258367062,-5,150,-997,-16,17,11,21,690,0,1500,1500.0
17:01:21.525,AUTO,-35.3624093,149.1654973,49986,-0.15262514352798462,0.00990215688943863,-2.627981424331665,-0.011335544288158417,8.7386230006814e-05,0.005693303886801004,13,148,-984,-9,1,7,22,689,0,1500,1500.0
17:01:21.726,AUTO,-35.3624093,149.1654973,49986,-0.15262514352798462,0.00990215688943863,-2.627981424331665,-0.011335544288158417,8.7386230006814e-05,0.005693303886801004,13,148,-984,-9,1,7,22,689,0,1500,1500.0
17:01:21.930,AUTO,-35.3624093,149.1654973,49986,-0.15262514352798462,0.00990215688943863,-2.627981424331665,-0.011335544288158417,8.7386230006814e-05,0.005693303886801004,13,148,-984,-9,1,7,22,689,0,1500,1500.0
17:01:22.132,AUTO,-35.3624093,149.1654973,49986,-0.15262514352798462,0.00990215688943863,-2.627981424331665,-0.011335544288158417,8.7386230006814e-05,0.005693303886801004,13,148,-984,-9,1,7,22,689,0,1500,1500.0
