time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE
12:55:54,45487.0,0.031629242934286594,0.030591617804020643,-0.20720187574625015,-0.0295642064884305,-0.1186065562069416,0.09028342738747597,9.5,9.5,-997.0,-29.0,-117.5,89.5,-35.363260749999995,149.1652346,17027.0,-67.0,2.0,-150.5,AUTO
12:55:55,239097.0,-0.022007944877259433,-0.0474435668438673,0.017041079234331846,0.09156718477606773,0.0623738756403327,0.11685066763311625,0.25,3.75,-941.25,92.25,62.25,116.0,-35.3632649,149.1652342,18834.5,-3.5,-16.5,-119.0,AUTO
12:55:56,239097.0,0.04797901771962643,-0.015008330345153809,0.03370812255889177,0.035565827041864395,0.03825453668832779,-0.01997007429599762,-4.0,0.0,-955.5,36.0,38.5,-19.5,-35.3632645,149.1652327,19599.5,16.0,-5.5,-77.5,AUTO
12:55:58,239097.0,-0.002817540411342634,0.014914968516677618,0.023374824784696102,-0.036157650873064995,-0.001023198914481327,-0.002245683630462736,1.0,-6.5,-977.0,-35.0,0.0,-2.0,-35.363261800000004,149.165237,20552.0,4.5,29.5,-23.0,AUTO
12:55:59,260757.0,-0.03647784609347582,0.003353804520884296,0.019219056237488985,0.06157449632883072,-0.02124664280563593,-0.0033053492661565542,0.5,2.25,-981.0,62.0,-20.0,-3.25,-35.363261525,149.165239225,20581.25,-3.25,-0.5,14.25,AUTO
12:56:00,260757.0,-0.037252568639814854,-0.02442138083279133,0.017406601458787918,-0.04683077335357666,-0.025528399273753166,-0.006656174780800939,-4.5,12.0,-1020.5,-45.5,-24.5,-6.5,-35.3632616,149.1652382,20446.5,3.5,-27.0,8.5,AUTO
12:56:02,260757.0,-0.03131471760571003,-0.09657499939203262,-0.43017278611660004,-0.06949348747730255,-0.04684266820549965,-0.39995722472667694,-30.0,1.5,-1008.5,-68.0,-45.5,-399.5,-35.3632555,149.1652247,20508.0,73.0,-101.0,-15.0,AUTO
12:56:03,259006.0,0.024042761622695252,-0.10882203467190266,-0.8672936409711838,0.00029597943648695946,0.02852566773071885,-0.22534562385408208,-45.25,-23.0,-1012.75,1.5,28.75,-225.5,-35.3632439,149.165204975,20746.25,132.75,-178.5,-26.25,AUTO
12:56:04,259006.0,0.04021685943007469,-0.0831826962530613,-0.9227283596992493,0.10021938942372799,0.018326283432543278,0.0500782635062933,-51.0,-29.0,-1005.0,101.0,18.5,49.5,-35.36323435,149.16518895000002,20963.0,155.5,-206.5,-33.0,AUTO
12:56:06,259006.0,0.04147161357104778,-0.05147208273410797,-0.9076453149318695,-0.04920890927314758,0.008389785420149565,-0.002994777634739876,-59.5,-37.0,-996.0,-48.0,9.0,-3.0,-35.36320415,149.1651395,21664.0,177.0,-226.5,-35.0,AUTO
12:56:07,300000.0,0.040627071633934975,-0.025755847455002367,-0.90851691365242,-0.017185114789754152,0.04861079249531031,-0.003162530018016696,-54.75,-36.25,-996.75,-16.0,49.0,-3.25,-35.363184700000005,149.16510807499998,22085.5,171.5,-218.5,-32.25,AUTO
12:56:08,300000.0,0.039808595553040504,0.01102406345307827,-0.9088093340396881,0.07782107591629028,0.04294377751648426,-0.003728428448084742,-48.5,-34.0,-991.0,78.5,43.0,-4.0,-35.363173700000004,149.16509050000002,22325.5,153.5,-194.5,-29.0,AUTO
