time_stamp,RTL_ALT,EK2_ALT_SOURCE,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro
17:33:52,1500.0,0.0,AUTO,-0.013306887762155384,-0.11584741001327832,-1.9750331441561382,-0.002042823083077868,-0.04738417950769266,-0.1601606272161007,633840.0,-35.362393250000004,149.1669115,49865.0,-99.33333333333333,-186.0,-58.833333333333336,633.8399861653646,-41.666666666666664,-20.666666666666668,-947.5,1.5,-43.0,-157.16666666666666
17:34:02,1500.0,0.0,AUTO,-0.007829309169513484,-0.1500899444023768,-2.1361789306004844,-0.07940713999172051,-0.06012977287173271,-0.0046389087025697036,625843.3333333334,-35.362535900000005,149.16669815,41869.833333333336,-127.5,-148.16666666666666,-2.1666666666666665,625.8433227539062,-36.666666666666664,-27.0,-1015.6666666666666,-77.5,-56.333333333333336,-1.8333333333333333
17:35:25,1500.0,0.0,ALT_HOLD,-0.018045211880235,-0.0032390898559242487,-2.0692297220230103,-0.6616385877132416,0.028015032410621643,-0.008178230840712786,605190.0,-35.3632213,149.16550310000002,21212.5,-86.5,-98.0,189.0,605.1900024414062,-21.0,-15.5,-955.0,-652.0,31.0,-4.0
17:35:37,1500.0,0.0,AUTO,0.03187574185431004,0.024804310966283084,-2.1001908779144287,1.137585350871086,0.1197370451875031,-0.03784335553646088,599276.0,-35.36330466,149.16532865999997,15299.8,-69.6,-45.2,140.4,599.2759765625,-21.8,47.2,-1146.0,1143.2,122.6,-33.8
17:35:45,1500.0,0.0,AUTO,0.0075966642471030354,-0.009352240478619933,-1.9886377096176147,-0.010229816287755966,-0.026309602521359922,0.07320596128702164,602286.0,-35.363330579999996,149.16527544,18311.8,-38.0,-129.0,-146.4,602.2859741210938,-26.0,-16.0,-998.8,-6.0,-23.2,77.0
17:36:13,1500.0,0.0,AUTO,0.009559772451341684,0.0032028299423732926,0.7814488240650722,0.02062376695019858,0.0014923731297520654,0.002812938964260476,612910.0,-35.36361938571429,149.1647366,28935.14285714286,-6.571428571428571,16.0,-12.285714285714286,612.9099905831473,0.8571428571428571,-6.0,-999.2857142857143,24.0,4.142857142857143,5.571428571428571
17:37:13,1500.0,0.0,AUTO,0.0013878918252885342,-0.0024864908773452044,0.7627411723136902,-0.05490855220705271,-0.001855725864879787,-0.00013523120433092117,600238.0,-35.3635867,149.1648011,16264.4,10.8,9.8,-32.4,600.23798828125,-1.8,-8.8,-999.0,-56.8,0.2,2.6
17:37:23,1500.0,0.0,AUTO,-0.003818309772759676,0.0009851885843090713,0.7637199878692627,-0.30415546596050264,-0.014421289786696434,0.0015511643374338745,598912.0,-35.36356144,149.16482245999998,14934.4,15.6,9.2,58.4,598.9119750976563,-0.4,-37.6,-1139.4,-309.8,-11.6,4.0
17:37:25,1500.0,0.0,AUTO,-0.019041785039007664,-0.012330002337694167,0.7681830525398254,-0.006101492047309876,-0.004883191781118512,0.025628348463214934,599048.0,-35.36356042,149.16482672,15071.6,32.6,4.4,-62.2,599.0479858398437,-4.0,-6.0,-1047.4,-7.8,-2.2,27.8
17:38:19,1500.0,0.0,AUTO,0.007843836540511498,-0.013025580439716578,-1.9887301325798035,-0.7384766737620035,0.002185700344853103,-0.005284579994622618,626375.0,-35.36349898333333,149.16494511666664,42400.0,-1.3333333333333333,0.16666666666666666,55.333333333333336,626.3749796549479,1.0,-40.833333333333336,-1096.5,-739.3333333333334,3.1666666666666665,-3.3333333333333335
17:38:25,1500.0,0.0,ALT_HOLD,0.001503975413340543,-0.009597758230354105,-0.5574031557355609,-0.0005102308932691813,0.0012832347336890443,-0.0025375387132433908,631248.5714285715,-35.36348581428571,149.16493457142857,47272.71428571428,31.285714285714285,-26.428571428571427,-122.42857142857143,631.2485700334821,-8.428571428571429,-4.142857142857143,-998.2857142857143,1.4285714285714286,2.5714285714285716,-0.5714285714285714
17:38:37,1500.0,0.0,AUTO,0.04887218959629536,-0.016971263044979423,-0.5671282708644867,-0.02389455062802881,-0.02717019524425268,0.0017533532809466124,629160.0,-35.3634696,149.1649325,45184.0,7.5,19.75,-145.5,629.1599731445312,3.0,-3.0,-998.25,-25.25,-26.25,3.5
