time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
17:32:51,271211.0,-35.3627172,149.16514404999998,98849.5,3.0,9.0,-31.0,-0.5,-9.5,-960.0,-48.5,1.0,4.0,RTL,0.012848635436967015,-4.003774665761739e-05,-0.13576442748308182,-0.05353279411792755,-0.0014169240603223443,0.00028277572710067034
17:32:53,271211.0,-35.36271705,149.16514455,98988.5,2.5,8.5,0.5,1.0,-18.0,-1012.0,-126.5,5.0,0.5,RTL,0.006023412570357323,0.002188907004892826,-0.1349409818649292,-0.13160645961761475,0.0025541174691170454,-0.0029806821839883924
17:32:54,205737.0,-35.36271685,149.16514565,99088.25,1.5,4.25,-27.0,1.5,-2.75,-1038.75,29.5,2.25,1.75,RTL,-0.0072706734063103795,0.003582292119972408,-0.13527552783489227,0.024110347032546997,-0.00023253934341482818,-0.0021601320477202535
17:32:55,205737.0,-35.3627167,149.16514725000002,99526.0,-0.5,-6.0,-51.5,2.0,-12.0,-1005.5,-316.0,-2.0,3.5,RTL,-0.025589795783162117,0.002685804385691881,-0.13605473935604095,-0.32225053012371063,-0.004631990101188421,-0.00017148954793810844
17:32:57,205737.0,-35.3627167,149.1651481,100199.5,-2.0,-21.5,-4.0,-0.5,7.5,-987.5,186.5,1.0,5.0,RTL,-0.006928494112798944,-0.0013548384013120085,-0.13560644537210464,0.18176667392253876,-0.0009816550300456583,0.0018910497892647982
17:32:58,200.0,-35.362716825,149.16514725000002,100184.0,-1.0,-18.5,2.75,-1.5,4.25,-1011.75,-103.25,3.0,3.75,RTL,-0.005285929073579609,-0.002078961319057271,-0.13569360598921776,-0.10825887322425842,0.0003106002986896783,0.00047165562864392996
17:32:59,200.0,-35.36271695000001,149.16514595,100262.5,-0.5,-10.5,-22.0,-2.0,10.5,-1032.0,254.0,3.0,4.0,RTL,0.011876784730702639,-0.0031205688137561083,-0.135797880589962,0.24960511922836304,0.0007434588624164462,0.0007374309934675694
17:33:01,200.0,-35.3627172,149.1651445,101165.5,2.5,5.5,-41.5,0.0,8.5,-972.5,319.5,2.0,2.5,RTL,0.013482787646353245,-0.0003302241093479097,-0.13577862083911896,0.31556322425603867,0.00026017765048891306,-0.0008379834471270442
17:33:02,201931.0,-35.3627171,149.165144625,101433.25,3.0,6.25,-7.0,0.25,-3.5,-969.75,-154.25,3.5,5.25,RTL,3.7939753383398056e-05,0.0003242830894123472,-0.13518472388386726,-0.1593710519373417,0.001277715666219592,0.0015364526771008968
17:33:03,201931.0,-35.3627171,149.1651448,101447.0,2.0,5.0,2.0,0.0,16.0,-1006.0,683.0,-2.0,1.0,RTL,0.01382501982152462,0.0010920674540102482,-0.1343439519405365,0.679401159286499,-0.005251840688288212,-0.00312981684692204
17:33:05,201931.0,-35.3627169,149.165146,101638.0,0.0,-1.0,-41.0,1.0,-1.0,-1033.0,-230.0,0.0,4.0,RTL,-0.01291821338236332,0.001651188125833869,-0.1357232928276062,-0.2358960658311844,-0.0027862517163157463,0.0008579534478485584
17:33:06,200.0,-35.3627169,149.16514636000002,102297.8,0.0,-5.6,-50.0,0.4,-8.2,-979.4,-115.0,0.4,3.6,RTL,-0.006252595141995698,0.0002759448834694922,-0.135914209485054,-0.11991717666387558,-0.0021703820675611496,7.432964630424977e-05
17:33:07,200.0,-35.3627169,149.16514675000002,102671.0,0.0,-8.0,-13.0,0.0,-6.0,-970.0,-147.5,4.0,3.0,RTL,-0.010917252162471414,1.57139147631824e-05,-0.13515785336494446,-0.15206827223300934,0.001765442080795765,-0.0006771492771804333
17:33:09,200.0,-35.3627169,149.16514695,102720.5,0.0,-12.5,-11.5,0.0,-11.0,-1021.5,-118.0,1.5,1.5,RTL,-0.006612320663407445,-0.0002181342351832427,-0.13518479466438293,-0.12199795246124268,-0.0009188634576275945,-0.0016042650677263737
17:33:10,81402.0,-35.3627169,149.165147,102988.0,0.0,-11.25,-45.0,0.5,-4.5,-1030.25,-66.0,2.0,2.75,RTL,-0.006870022974908352,7.934533277875744e-05,-0.1354823261499405,-0.07005429267883301,-0.0003589947591535747,-0.0007264510495588183
17:33:11,81402.0,-35.3627169,149.1651472,103319.0,0.0,-12.0,-59.0,1.0,-20.0,-1001.0,-325.0,-2.0,1.0,RTL,-0.015217716805636883,0.0005796189652755857,-0.13586820662021637,-0.3289327323436737,-0.004975923337042332,-0.0028788484632968903
17:33:13,81402.0,-35.3627168,149.16514765,104025.5,-0.5,-19.0,1.5,-0.5,-3.0,-991.0,-52.5,5.5,4.0,RTL,-0.010599333327263594,-0.0004710334324045107,-0.13510040193796158,-0.056403324007987976,0.0034283928107470274,0.0008052978664636612
17:33:14,46140.0,-35.3627168,149.165147475,104006.25,-0.25,-17.0,-3.0,0.0,1.5,-1031.25,40.25,2.0,2.25,RTL,-0.006999394270678749,-0.00021412092701211805,-0.1352611780166626,0.036739200353622437,-7.142330287024379e-05,-0.0015112565597519279
17:33:15,46140.0,-35.3627168,149.1651473,104064.0,-1.0,-16.0,-22.0,-2.0,27.0,-1035.0,281.0,5.0,6.0,RTL,-0.008625824935734272,-0.0003831085341516882,-0.13588033616542816,0.2771958112716675,0.0026518472004681826,0.002178625436499715
17:33:17,46140.0,-35.3627171,149.1651453,105142.0,1.5,-3.0,-29.0,0.0,19.0,-965.5,268.5,4.0,4.0,RTL,0.008977169636636972,-0.002419126918539405,-0.13535652309656143,0.26535073667764664,0.0019065550295636058,0.00042228854727
17:33:18,215758.0,-35.3627171,149.165145075,105287.25,2.0,0.25,0.0,0.0,-9.5,-987.5,-106.0,3.25,3.0,RTL,0.005170410237042233,-0.0005409769000834785,-0.13517257571220398,-0.10945912078022957,0.0015027935151010752,-0.00036713003646582365
17:33:19,215758.0,-35.3627171,149.1651451,105271.0,2.0,2.0,3.0,0.0,29.0,-1001.0,353.0,5.0,8.0,RTL,0.00046196699258871377,0.0006559061584994197,-0.13479706645011902,0.34945836663246155,0.0033302325755357742,0.005136118270456791
17:33:21,215758.0,-35.362717,149.1651452,105610.0,1.0,2.0,-50.0,0.0,-14.0,-1034.0,-340.0,2.0,0.0,RTL,-0.0005843391991220415,0.00041825673542916775,-0.13562926650047302,-0.3445117473602295,-0.0005181654123589396,-0.0037010908126831055
17:33:22,292736.0,-35.36271698,149.16514579999998,106271.0,1.0,-0.8,-40.0,0.4,-5.2,-965.0,-147.6,3.0,4.0,RTL,-0.006657057488337159,0.000829874345799908,-0.1356950044631958,-0.15102817118167877,0.0007739061722531915,0.0006127997767180204
17:33:23,292736.0,-35.3627169,149.1651462,106504.0,0.0,-3.0,-12.0,0.0,21.0,-976.0,236.0,0.0,5.0,RTL,-0.012213765643537045,0.0013317882549017668,-0.1354382485151291,0.23211278021335602,-0.002796563319861889,0.0023140599951148033
17:33:25,292736.0,-35.3627168,149.1651473,106502.5,0.0,-11.5,-3.5,1.5,-16.0,-1026.5,-51.5,-2.0,0.5,RTL,-0.012674689292907715,0.0013232790515758097,-0.13536372035741806,-0.05343233048915863,-0.0048592290841042995,-0.003068778198212385
17:33:26,200.0,-35.3627168,149.1651478,106909.8,-0.8,-17.8,-49.4,0.0,-0.4,-1022.2,57.6,-0.2,2.8,RTL,-0.01156368087977171,-0.0011659050593152641,-0.13590843975543976,0.05473571289330721,-0.0025483709760010242,-0.0005264909472316503
17:33:27,200.0,-35.3627168,149.1651476,107325.0,0.0,-18.0,-55.0,0.0,-4.0,-985.0,-273.0,2.0,4.0,RTL,-0.013293281197547913,-0.0018362149130553007,-0.136550635099411,-0.27690693736076355,-0.0002589062787592411,0.0009156228043138981
17:33:29,200.0,-35.3627169,149.1651462,107789.0,0.0,-9.0,2.0,-1.0,-9.0,-1002.0,-434.0,-1.0,1.0,RTL,-0.006696273572742939,-0.00011100177653133869,-0.13513711094856262,-0.4376380443572998,-0.004201714880764484,-0.0024276217445731163
17:33:30,300000.0,-35.36271694,149.16514582000002,107788.0,0.4,-5.2,-10.0,0.0,-4.8,-1030.0,-77.6,2.0,3.2,RTL,0.001240832172334194,-0.0011945766804274172,-0.13491766452789306,-0.07998240664601326,-0.00018989250529557466,-7.749879732728004e-05
