time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,alt,VFR_HUD_alt,EK2_ALT_SOURCE,RTL_ALT
09:18:12.155,AUTO,-35.3624488,149.1667283,22744,0.017109623178839684,-0.016022564843297005,1.1828505992889404,0.0012863893061876297,-0.00252311653457582,0.0006743590347468853,-15,-10,-1000,4,1,4,24,77,-109,606740,606.739990234375,0.0,1500.0
09:18:12.356,AUTO,-35.3624468,149.1667346,23600,0.01594310626387596,-0.01567256636917591,1.1825793981552124,0.003907104954123497,-0.0015882065054029226,0.0004507112316787243,-15,-9,-1000,7,2,4,24,77,-110,607600,607.5999755859375,0.0,1500.0
09:18:12.557,AUTO,-35.3624468,149.1667346,23600,0.01594310626387596,-0.01567256636917591,1.1825793981552124,0.003907104954123497,-0.0015882065054029226,0.0004507112316787243,-15,-9,-1000,7,2,4,24,77,-110,607600,607.5999755859375,0.0,1500.0
09:18:12.757,AUTO,-35.3624461,149.1667367,23890,0.016266247257590294,-0.016052650287747383,1.1828418970108032,-0.004987325984984636,-0.004176054149866104,0.0024294541217386723,-14,-10,-1000,-1,0,6,25,77,-110,607890,607.8900146484375,0.0,1500.0
09:18:12.958,AUTO,-35.3624454,149.1667387,24176,0.01661771349608898,-0.016293348744511604,1.1831215620040894,0.004174978472292423,1.00000761449337e-05,0.0017237847205251455,-17,-9,-1000,7,4,5,25,77,-110,608170,608.1699829101562,0.0,1500.0
09:18:13.159,AUTO,-35.3624448,149.1667408,24462,0.01639702171087265,-0.016393644735217094,1.1831330060958862,-0.0037802536971867085,0.0008662962354719639,-0.0006731059402227402,-15,-10,-1000,0,5,3,25,77,-110,608460,608.4599609375,0.0,1500.0
09:18:13.359,AUTO,-35.3624441,149.1667428,24748,0.016256486997008324,-0.01691274531185627,1.1830629110336304,0.005470786243677139,-0.004769338294863701,0.0012921248562633991,-14,-9,-1000,9,0,5,25,77,-110,608740,608.739990234375,0.0,1500.0
09:18:13.560,AUTO,-35.3624441,149.1667428,24748,0.016256486997008324,-0.01691274531185627,1.1830629110336304,0.005470786243677139,-0.004769338294863701,0.0012921248562633991,-14,-9,-1000,9,0,5,25,77,-110,608740,608.739990234375,0.0,1500.0
09:18:13.761,AUTO,-35.3624434,149.1667449,25034,0.016716565936803818,-0.01710631512105465,1.183000922203064,0.004149542655795813,-0.0009372455533593893,0.0013282662257552147,-15,-10,-1000,7,3,5,25,77,-111,609030,609.0299682617188,0.0,1500.0
09:18:13.962,AUTO,-35.3624434,149.1667449,25034,0.016716565936803818,-0.01710631512105465,1.183000922203064,0.004149542655795813,-0.0009372455533593893,0.0013282662257552147,-15,-10,-1000,7,3,5,25,77,-111,609030,609.0299682617188,0.0,1500.0
