time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz
18:15:08,-7.333333333333333,11.333333333333334,-1002.6666666666666,65.66666666666667,14.0,2.0,AUTO,-0.013856342838456234,-0.005079701775684953,-0.0876189594467481,0.06530589113632838,0.01408541388809681,0.002948943292722106,591496.6666666666,-35.36326123333333,149.1652408,7491.666666666667,-0.3333333333333333,-59.666666666666664,-150.0
18:15:09,-2.6666666666666665,6.0,-999.0,33.333333333333336,7.333333333333333,2.0,AUTO,0.0631197951734066,0.010186413923899332,-0.08354459206263225,0.03293895783523718,0.007087510234365861,0.0021552940209706626,593450.0,-35.36326163333334,149.16523426666666,9444.333333333334,-6.0,-16.666666666666668,-152.66666666666666
18:15:10,3.0,-2.6666666666666665,-997.3333333333334,-89.33333333333333,-18.666666666666668,0.3333333333333333,AUTO,0.030961017745236557,0.00496009584943143,-0.08424988140662511,-0.09051244209210078,-0.02006457932293415,0.0007634322779874007,594613.3333333334,-35.3632621,149.16523443333332,10607.666666666666,-7.333333333333333,22.0,-149.0
18:15:11,1.0,-1.6666666666666667,-1001.3333333333334,4.666666666666667,3.0,-25.333333333333332,AUTO,-0.019686089207728703,-0.005755515769124031,-0.10500892003377278,0.004060913032541673,0.0031951493583619595,-0.025539585078756016,596540.0,-35.3632625,149.16523693333332,12533.666666666666,1.0,7.0,-151.66666666666666
18:15:12,-1.0,0.0,-1000.3333333333334,20.666666666666668,8.333333333333334,-25.666666666666668,AUTO,-0.008006718785812458,-0.0018734389644426603,-0.12531627962986627,0.020152969906727474,0.008068693801760674,-0.025750871126850445,597710.0,-35.3632623,149.16523686666667,13705.666666666666,3.6666666666666665,-5.333333333333333,-152.0
18:15:13,-1.3333333333333333,0.3333333333333333,-1000.0,6.333333333333333,4.333333333333333,-15.666666666666666,AUTO,0.008689640865971645,0.005816854536533356,-0.15085841715335846,0.005924420198425651,0.004070422301689784,-0.015849994805951912,599660.0,-35.363261800000004,149.16523583333333,15654.0,1.0,-4.0,-152.0
18:15:14,0.0,0.0,-1000.0,-1.0,-0.3333333333333333,-13.333333333333334,AUTO,0.008823683485388756,0.006563578577091296,-0.16109732290109,-0.0022312397292504707,-0.0005571390502154827,-0.013058222830295563,600830.0,-35.363261666666666,149.16523553333332,16823.0,-0.3333333333333333,1.0,-152.0
18:15:15,0.0,0.0,-1000.0,-0.6666666666666666,0.0,-16.666666666666668,AUTO,0.003704297977189223,0.004398231239368518,-0.17775278786818186,-0.0020279071759432554,-0.0005495373625308275,-0.01662546768784523,602780.0,-35.3632616,149.1652357,18771.333333333332,-2.6666666666666665,5.0,-152.0
18:15:16,0.0,-0.3333333333333333,-1000.0,0.0,0.6666666666666666,-19.0,AUTO,0.0023015175635615983,0.0037076030081758895,-0.19045091172059378,-0.0005395411474940678,0.0003468538828504582,-0.01916731397310893,603950.0,-35.36326163333334,149.16523600000002,19941.0,-3.0,5.0,-152.0
18:15:17,0.0,0.0,-1000.0,1.3333333333333333,0.3333333333333333,-19.666666666666668,AUTO,0.0013420853453377883,0.0031019628513604403,-0.2145111858844757,0.0008440165935705105,6.12876998881499e-05,-0.01964121622343858,605900.0,-35.3632617,149.16523636666668,21891.333333333332,-2.0,4.0,-153.0
