time_stamp,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:23:46,-35.3630112,149.16538045,50010.5,619.0,294.5,-3.5,AUTO,0.06735428795218468,-0.15908967703580856,0.5398385524749756,-0.03773440234363079,0.04504011385142803,-0.003998036670964211,-151.0,-73.5,-993.0,-36.0,45.5,-3.0,1500.0
16:23:48,-35.3628997,149.16544549999998,50012.0,617.0,296.0,3.5,AUTO,0.06872635707259178,-0.14722146838903427,0.5266263484954834,0.12407196313142776,0.001452649012207985,-0.009970165672712028,-132.5,-52.0,-982.5,125.5,2.5,-9.0,1500.0
16:23:50,-35.3627861,149.1655116,49989.0,622.0,297.0,-1.0,AUTO,0.07348806411027908,-0.14166657626628876,0.5129456520080566,0.17162677645683289,-0.015495505183935165,-0.015225959941744804,-144.5,-56.5,-988.0,111.0,-6.5,-26.5,1500.0
16:23:52,-35.362709833333334,149.1655560833333,50026.166666666664,606.3333333333334,286.0,-4.5,AUTO,0.07241445407271385,-0.09920916147530079,0.5082021951675415,0.08178914089997609,0.05542971845716238,-0.00640071004939576,-135.5,-69.5,-990.1666666666666,83.16666666666667,56.166666666666664,-5.666666666666667,1500.0
16:23:54,-35.362599974999995,149.16562005,50031.5,448.5,210.5,2.5,AUTO,0.07702670060098171,0.008467022387776524,0.5006821751594543,0.29811641573905945,0.043588938657194376,0.007453266531229019,-106.0,-63.0,-996.25,296.5,44.25,8.25,1500.0
16:23:56,-35.3625306,149.1656618,49991.0,205.0,98.0,0.0,AUTO,0.021356025710701942,0.06373938173055649,0.4914496839046478,-0.7061487436294556,0.03545751795172691,0.023252032697200775,-44.0,-69.0,-1013.0,-709.0,36.0,23.0,1500.0
16:23:58,-35.36251356,149.16567282,49987.2,77.4,28.2,0.0,AUTO,0.003743716329336166,0.05427192151546478,0.48696871399879454,-0.02407950460910797,-0.027777668088674545,0.0033653467427939175,-16.0,-16.4,-1000.6,-24.0,-26.2,4.2,1500.0
16:24:00,-35.3625088,149.1656748,49997.0,1.0,-10.0,0.0,AUTO,-0.005996927618980408,-0.003812456736341119,0.4806644022464752,0.44630423188209534,-0.02680470235645771,-0.006685201078653336,0.0,22.0,-1000.5,105.0,-27.5,-7.0,1500.0
16:24:02,-35.362508,149.16567415,50004.5,13.0,2.0,0.0,RTL,0.0058051415253430605,0.005588795989751816,0.4770717918872833,0.6095534265041351,0.00987006421200931,-0.007271705195307732,-1.0,20.0,-999.5,610.0,11.0,-6.0,1500.0
16:24:04,-35.3625086,149.16567435000002,50002.0,-23.5,-18.5,0.0,RTL,-0.005243895458988845,0.03841523081064224,0.47103147208690643,-0.21273452788591385,0.011435260996222496,-0.007344431011006236,4.5,-18.0,-991.5,-216.0,12.0,-6.0,1500.0
