time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
05:13:48,0.6666666666666666,-65.33333333333333,-1004.3333333333334,-1389.0,8.0,-1.0,0.011311291561772427,0.008037765976041555,1.651820182800293,-1.390274961789449,0.00633753533475101,-0.002133327148233851,-35.36325913333334,149.16523823333333,20289.0,-28.666666666666668,-5.0,103.33333333333333,28830.0,RTL
05:13:50,4.333333333333333,41.666666666666664,-991.6666666666666,268.6666666666667,6.666666666666667,7.0,-0.015478424107035002,0.013656827621161938,1.6518956820170085,0.2646388038992882,0.004916796072696646,0.006754667575781544,-35.363261333333334,149.1652385,18226.666666666668,-19.666666666666668,-7.0,102.0,28830.0,RTL
05:13:52,2.3333333333333335,-8.0,-1006.6666666666666,-722.6666666666666,-0.6666666666666666,0.6666666666666666,-0.05662061149875323,0.011208429001271725,1.6515409549077351,-0.7258218129475912,-0.0033218207148214183,0.00011386149950946371,-35.3632653,149.16523809999998,16176.666666666666,18.333333333333332,-6.0,99.33333333333333,54128.0,RTL
05:13:54,-1.3333333333333333,47.0,-995.6666666666666,1148.3333333333333,-2.3333333333333335,0.6666666666666666,-0.0174930552020669,0.0034469691260407367,1.6505799690882366,1.1475436687469482,-0.005428503267467022,-9.713609082003434e-05,-35.3632665,149.16523756666666,14157.666666666666,41.333333333333336,-3.6666666666666665,102.0,54128.0,RTL
05:13:56,-6.666666666666667,1.0,-1026.0,606.3333333333334,3.0,4.333333333333333,0.033547362933556236,-0.0021520223623762527,1.650985876719157,0.6078671813011169,0.0006373839763303598,0.0035905979263285794,-35.36326293333334,149.16523753333334,12098.0,22.0,-3.0,99.0,54128.0,RTL
05:13:57,-6.0,-23.0,-1052.0,-559.6666666666666,6.0,5.666666666666667,0.03809709846973419,-0.0009276646693858007,1.6495895385742188,-0.5600862304369608,0.003866393235512078,0.005436983658000827,-35.3632596,149.16523796666667,11214.333333333334,-5.666666666666667,-4.0,35.0,42279.0,RTL
05:13:58,-3.0,30.666666666666668,-1002.6666666666666,506.6666666666667,12.333333333333334,4.0,0.05615868295232455,0.0024024340624843412,1.6493186155954997,0.5052107100685438,0.010014083236455917,0.003425224373737971,-35.363258,149.16523830000003,11037.0,-25.666666666666668,-4.666666666666667,20.666666666666668,42279.0,RTL
05:14:00,2.3333333333333335,-25.666666666666668,-992.6666666666666,-171.66666666666666,2.0,1.3333333333333333,0.025348497554659843,0.009621429567535719,1.6494874556859334,-0.17284310360749564,-0.00042427835675577324,0.001107257364007334,-35.36325803333333,149.1652387,10479.333333333334,-44.666666666666664,-7.333333333333333,35.0,42279.0,RTL
05:14:02,2.3333333333333335,-40.666666666666664,-1003.0,-494.3333333333333,-3.0,0.0,-0.008864810690283775,0.00900467112660408,1.649120291074117,-0.4960071484868725,-0.006415090523660183,-0.0013776511962835987,-35.36326116666666,149.1652384,9781.666666666666,-23.0,-7.0,34.666666666666664,42279.0,RTL
05:14:03,-0.6666666666666666,35.333333333333336,-1001.0,732.0,0.3333333333333333,1.0,0.011127756258550411,0.001608213138145705,1.6497894128163655,0.7297201057275137,-0.0025038491003215313,0.000640560407191515,-35.363261599999994,149.1652379,9350.0,-9.0,-5.666666666666667,34.333333333333336,34354.0,RTL
