time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
18:01:44,0.0016593348700553179,0.0030289185233414173,-0.23337171971797943,0.003217187477275729,0.00025672174524515867,-0.01977062039077282,607380.0,-35.3632618,149.1652366,23442.0,-2.0,3.0,-154.0,AUTO,0.0,0.0,-1000.0,3.0,1.0,-20.0
18:01:45,-0.0027781716198660433,0.0036739347502589225,-0.25217109322547915,-0.003148513427004218,0.0015383345889858902,-0.0026590040884912013,609328.0,-35.363261879999996,149.16523668,25391.4,-3.2,0.2,-153.2,AUTO,0.0,-0.4,-998.2,-2.4,2.0,-3.0
18:01:46,0.009067912586033344,0.0036433041095733643,-0.24512147903442383,0.020908525213599205,-0.002811437239870429,0.024531735107302666,610500.0,-35.3632621,149.1652365,26564.0,-5.0,-1.0,-154.0,AUTO,0.0,1.0,-1000.0,21.0,-2.0,23.0
18:01:47,0.006925827730447054,0.0015723457327112556,-0.21485885381698608,-0.007102508097887039,0.001013970235362649,0.02289455197751522,612434.0,-35.36326236,149.16523683999998,28498.6,-1.4,7.6,-153.0,AUTO,0.4,-0.4,-999.8,-5.4,1.2,22.0
18:01:48,0.0014546107267960906,0.0018775787902995944,-0.1987942010164261,-0.006968533620238304,0.0011876113712787628,0.022012140601873398,613600.0,-35.3632624,149.1652373,29663.0,0.0,8.0,-153.0,AUTO,0.0,-1.0,-1000.0,-5.0,2.0,21.0
18:01:49,-0.001138361368793994,0.001394246006384492,-0.17624606788158417,0.00035405047237873076,0.00021425221348181367,0.016573804430663586,615548.0,-35.36326236000001,149.16523795999998,31612.2,0.0,4.0,-153.0,AUTO,0.0,-0.4,-1000.2,1.0,0.8,16.2
18:01:50,-0.0001463510561734438,0.0012478389544412494,-0.1643267422914505,0.00552211981266737,-0.0014011720195412636,0.014756654389202595,616710.0,-35.3632623,149.1652381,32778.0,0.0,1.0,-153.0,AUTO,0.0,0.0,-1001.0,6.0,0.0,14.0
18:01:51,0.00131795946508646,0.0012356424704194069,-0.14754192233085633,0.00035378423053771256,-0.00022086622193455695,0.012804064340889454,618660.0,-35.363262260000006,149.16523797999997,34723.2,0.0,0.0,-153.0,AUTO,0.0,0.0,-1000.0,1.4,0.6,12.2
18:01:52,0.0012679711217060685,0.0009938409784808755,-0.13877148926258087,-0.0014448683941736817,-2.1264306269586086e-05,0.010247946716845036,619830.0,-35.3632622,149.1652379,35892.0,0.0,0.0,-153.0,AUTO,0.0,0.0,-1000.0,0.0,1.0,10.0
18:01:53,0.0022522238083183765,0.0016125790774822236,-0.1260561615228653,0.0002699762349948287,0.001051152392756194,0.010281124524772168,621768.0,-35.36326216,149.16523768000002,37831.0,0.0,0.0,-153.0,AUTO,0.0,0.0,-999.6,1.0,1.4,9.6
