time_stamp,MODE,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:48:54,ALT_HOLD,1500.0,0.3333333333333333,0.3333333333333333,-998.6666666666666,63.666666666666664,1.6666666666666667,-1.0,0.009143487395097813,0.004720223446687062,1.037582278251648,0.06434763471285503,0.0011587510040650766,-0.001830749543538938,-35.36238143333333,149.16692206666664,20064.0,-10.0,5.0,-5.333333333333333
20:48:56,AUTO,1500.0,-0.3333333333333333,-92.33333333333333,-923.3333333333334,-917.0,-1.6666666666666667,-6.333333333333333,0.010595719950894514,0.0007323875712851683,1.0366703271865845,-0.9091790715853373,-0.003285789086172978,-0.006623044871957973,-35.3623813,149.16692236666665,18611.666666666668,2.6666666666666665,1.3333333333333333,188.66666666666666
20:48:58,AUTO,1500.0,0.0,8.666666666666666,-1067.6666666666667,138.66666666666666,3.6666666666666665,2.3333333333333335,0.010932097832361857,0.006088745314627886,1.0379834175109863,0.1384092370669047,0.0031572055692474046,0.0020462049481769404,-35.3623805,149.1669226,16219.333333333334,-4.666666666666667,3.6666666666666665,6.333333333333333
20:49:00,AUTO,1500.0,0.0,-1.0,-991.0,-36.666666666666664,-1.3333333333333333,1.6666666666666667,0.0045569749393810826,0.004121255284796159,1.0375840266545613,-0.03625993927319845,-0.002910299925133586,0.001957626392443975,-35.3623807,149.16692296666668,16520.666666666668,-3.0,-0.6666666666666666,-21.333333333333332
20:49:02,AUTO,1500.0,-0.6666666666666666,7.0,-1004.3333333333334,3.6666666666666665,0.3333333333333333,1.6666666666666667,0.013516198998938004,0.0019286304013803601,1.0378216902414958,0.002584259957075119,-0.0007536336391543349,0.0015385789253438513,-35.362380333333334,149.1669224,16703.333333333332,-4.666666666666667,1.0,-2.0
20:49:04,BRAKE,1500.0,0.3333333333333333,1.6666666666666667,-1029.3333333333333,24.333333333333332,1.6666666666666667,0.0,0.011425070464611053,0.00495396601036191,1.0372341076533,0.023869385321935017,0.0004000723905240496,-0.0002908704870302851,-35.36238006666667,149.16692223333334,17129.333333333332,-11.0,5.333333333333333,-47.666666666666664
20:49:06,BRAKE,1500.0,0.6666666666666666,0.0,-978.0,35.333333333333336,-1.0,0.0,0.007708343677222729,0.004419364811231692,1.037291685740153,0.034674679239590965,-0.0022859241192539534,0.00023007804217437902,-35.3623807,149.16692273333334,18011.666666666668,-8.333333333333334,3.0,-22.333333333333332
20:49:08,ALT_HOLD,1500.0,0.0,-7.333333333333333,-995.3333333333334,-45.333333333333336,1.0,0.3333333333333333,0.0014649491058662534,0.004242569208145142,1.0380374193191528,-0.045008917649587,-0.0005569038912653923,-0.0001295071366863946,-35.3623816,149.16692333333333,18251.666666666668,-3.0,0.3333333333333333,-4.333333333333333
20:49:10,AUTO,1500.0,0.3333333333333333,-105.0,-929.0,-1495.6666666666667,-2.0,-3.0,0.0017208256758749485,0.0005523318929287294,1.0362642208735149,-1.490358789761861,-0.0035972134210169315,-0.0037922144401818514,-35.36238156666666,149.1669236,16823.333333333332,4.666666666666667,0.3333333333333333,187.33333333333334
20:49:12,AUTO,1500.0,2.3333333333333335,-1.0,-1065.6666666666667,133.66666666666666,2.6666666666666665,-0.3333333333333333,-0.013327913048366705,0.010859911950925985,1.0378998915354412,0.13370681802431741,0.002019751894598206,-0.0006534217391163111,-35.362382133333334,149.16692529999997,14446.333333333334,7.333333333333333,-4.666666666666667,8.666666666666666
