time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT,LAND_SPEED
17:18:29.149,LAND,-35.363262,149.1652406,19082,-0.04810964688658714,0.009000653401017189,-0.005041154567152262,-0.878412127494812,-0.0008241379400715232,0.005696984939277172,0,-13,-898,-872,0,7,0,-17,84,1500.0,140.0
17:18:29.351,LAND,-35.363262,149.1652406,19082,-0.04810964688658714,0.009000653401017189,-0.005041154567152262,-0.878412127494812,-0.0008241379400715232,0.005696984939277172,0,-13,-898,-872,0,7,0,-17,84,1500.0,140.0
17:18:29.557,LAND,-35.363262,149.1652406,19082,-0.04810964688658714,0.009000653401017189,-0.005041154567152262,-0.878412127494812,-0.0008241379400715232,0.005696984939277172,0,-13,-898,-872,0,7,0,-17,84,1500.0,140.0
17:18:29.760,LAND,-35.363262,149.1652406,19082,-0.04810964688658714,0.009000653401017189,-0.005041154567152262,-0.878412127494812,-0.0008241379400715232,0.005696984939277172,0,-13,-898,-872,0,7,0,-17,84,1500.0,140.0
17:18:29.963,LAND,-35.363262,149.1652406,19082,-0.04810964688658714,0.009000653401017189,-0.005041154567152262,-0.878412127494812,-0.0008241379400715232,0.005696984939277172,0,-13,-898,-872,0,7,0,-17,84,1500.0,140.0
17:18:30.174,LAND,-35.3632619,149.1652413,17585,-0.04027043282985687,0.004268404096364975,-0.006703715771436691,-1.1730951070785522,0.0005353392334654927,0.0009425675962120295,-2,-31,-1008,-1171,0,2,-2,-33,90,1500.0,140.0
17:18:30.383,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:30.586,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:30.819,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:31.096,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:31.304,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:31.506,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:31.708,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:31.910,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:32.112,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:32.315,LAND,-35.3632619,149.1652409,17100,-0.025179272517561913,0.002695741131901741,-0.00704624317586422,-1.6841747760772705,-0.00505458889529109,-0.0037141386419534683,-1,-78,-887,-1688,-4,-2,-3,-32,96,1500.0,140.0
17:18:32.518,LAND,-35.363262,149.165239,15896,0.019786765798926353,0.00036586823989637196,-0.00776054710149765,-0.0160323865711689,-0.00443605612963438,-0.0038809499237686396,-2,-46,-910,-23,-4,-2,-2,-24,94,1500.0,140.0
17:18:32.722,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:32.924,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:33.130,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:33.334,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:33.537,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:33.740,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:33.942,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:34.161,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:34.366,LAND,-35.3632621,149.1652374,14988,0.018862467259168625,0.0008384810062125325,-0.008072314783930779,-0.3944474458694458,0.0011265298817306757,-0.0008248166413977742,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:34.575,LAND,-35.3632621,149.1652374,14988,0.027887163683772087,0.004833878483623266,-0.008132746443152428,1.1884750127792358,0.003447856055572629,-0.002610687632113695,-1,-51,-977,-401,1,0,0,-10,76,1500.0,120.0
17:18:34.818,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:35.066,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:35.337,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:35.601,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:35.803,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:36.008,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:36.211,LAND,-35.363262,149.1652376,13334,0.009983377531170845,0.007170965429395437,-0.007898347452282906,0.8869544863700867,0.002786491997539997,-0.00455806590616703,1,27,-1162,885,3,-3,0,1,79,1500.0,120.0
17:18:36.415,LAND,-35.363262,149.1652387,12393,-0.02639368735253811,0.006376347970217466,-0.009786351583898067,-1.165350079536438,0.004360035061836243,0.012428341433405876,-1,-48,-1021,-1164,4,13,0,-8,79,1500.0,120.0
17:18:36.619,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:36.822,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:37.024,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:37.226,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:37.428,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:37.629,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:37.832,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:38.034,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:38.235,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:38.438,LAND,-35.363262,149.1652391,11798,-0.023931149393320084,0.00610694382339716,-0.010127870365977287,-1.2696282863616943,0.002111223526299,-0.01013267133384943,0,-52,-979,-1269,2,-8,-1,-12,80,1500.0,160.0
17:18:38.643,LAND,-35.3632619,149.1652402,10264,-1.962580790859647e-05,0.00627797469496727,-0.010782906785607338,0.8675466775894165,-0.0018180302577093244,-0.0015401311684399843,0,-11,-1016,535,-3,-10,-2,-19,109,1500.0,160.0
17:18:38.850,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:39.090,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:39.293,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:39.507,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:39.711,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:39.915,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:40.119,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:40.322,LAND,-35.3632619,149.1652402,9427,0.009860947728157043,0.0046111466363072395,-0.010760055854916573,1.2277507781982422,-0.0007745278999209404,0.000436051981523633,0,22,-994,1223,0,1,-3,-22,111,1500.0,160.0
17:18:40.523,LAND,-35.3632619,149.1652394,8123,-0.010166754014790058,0.0022994158789515495,-0.011675244197249413,-0.8077797293663025,-0.00377804902382195,0.0005343765951693058,-2,-44,-1225,-811,-3,1,-3,-19,91,1500.0,160.0
17:18:40.725,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:40.928,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:41.130,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
