time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,VFR_HUD_alt,EK2_ALT_SOURCE
07:49:34,1500.0,0.02729711402207613,0.0001280702999792993,0.1313994973897934,0.03908234275877476,-0.0004119090735912323,-0.007693932857364416,622345.0,-35.36331725,149.16518194999998,38399.5,5.0,3.0,-143.5,-1.0,-0.5,-1020.0,39.0,0.5,-7.0,AUTO,622.344970703125,0.0
07:49:36,1500.0,0.013663765043020248,0.010133525589480996,0.07304904982447624,-0.09083366580307484,-0.004304185276851058,-0.04945159889757633,625340.0,-35.363316850000004,149.16519065,41398.0,-2.5,71.5,-145.5,8.5,-13.5,-1000.5,-89.5,-3.0,-49.0,AUTO,625.3399658203125,0.0
07:49:38,1500.0,-0.10352901369333267,0.011269346810877323,-0.02247952902689576,0.06611056439578533,0.018760138656944036,-0.028318934608250856,628360.0,-35.363316749999996,149.1651924,44412.5,-4.5,-85.5,-142.5,-8.0,15.0,-1001.5,66.5,19.0,-27.5,AUTO,628.3599853515625,0.0
07:49:40,1500.0,0.06464437954127789,0.03336931299418211,-0.027280722744762897,0.0481711815809831,-0.12358918320387602,0.039863059762865305,631370.0,-35.36332415,149.16516735,47421.5,-81.0,-74.0,-150.5,3.0,29.0,-996.0,48.5,-122.5,40.0,AUTO,631.3699645996094,0.0
07:49:42,1500.0,0.01855105347931385,-0.0691236611455679,0.10717373713850975,-0.48764656484127045,0.21636749245226383,0.025785868521779776,633755.0,-35.3633207,149.16517134999998,49810.0,127.0,81.5,-29.0,-18.5,-36.0,-885.5,-486.0,217.5,26.5,ALT_HOLD,633.7549743652344,0.0
07:49:44,1500.0,0.011828482151031494,-0.018583045806735754,0.09444055333733559,-0.023000121116638184,0.007132367230951786,0.005387390963733196,631605.0,-35.363293049999996,149.1651818,47660.5,151.5,15.5,181.0,-30.5,-64.0,-976.5,-24.5,7.5,6.5,ALT_HOLD,631.60498046875,0.0
07:49:46,1500.0,-0.017036463133990765,-0.005004760110750794,0.08356563001871109,-0.8555878140032291,0.001198207726702094,-0.02712398301810026,627980.0,-35.363268500000004,149.16518195,44035.0,119.5,-14.5,167.0,-26.0,-12.0,-992.0,-852.0,1.5,-26.5,ALT_HOLD,627.97998046875,0.0
07:49:48,1500.0,0.033913061022758484,0.008737460942938924,0.07575307786464691,-0.4652656763792038,-0.04570683836936951,0.07137337885797024,625165.0,-35.36325315,149.1651836,41220.0,54.0,6.5,58.0,-7.0,-43.0,-1056.0,-465.0,-44.0,72.0,AUTO,625.1650085449219,0.0
07:49:50,1500.0,0.00400897185318172,-0.13158569857478142,1.0613762140274048,-0.3332208842039108,-0.06419512629508972,0.31714092195034027,624830.0,-35.3632425,149.16520165,40881.5,99.0,130.5,-6.5,-36.0,-33.0,-1011.5,-333.0,-62.5,318.5,AUTO,624.8299865722656,0.0
07:49:52,1500.0,0.04036783240735531,-0.159441776573658,1.0755765438079834,-0.039457536302506924,0.047448255121707916,-0.005284384766127914,625090.0,-35.3632145,149.16525465,41143.0,217.0,326.0,-21.5,-83.0,-36.5,-1009.5,-39.0,48.0,-4.0,AUTO,625.0899963378906,0.0
07:49:54,1500.0,0.06424418836832047,-0.10751323774456978,1.0688970685005188,-0.04087602719664574,0.032695913687348366,0.0009657118935137987,625640.0,-35.36317125,149.1653388,41693.0,253.0,410.5,-27.5,-99.0,-59.5,-993.5,-40.5,33.5,1.5,AUTO,625.6399841308594,0.0
07:49:56,1500.0,0.06280279159545898,-0.1307372972369194,1.0622718334197998,0.09910524496808648,-0.06469015404582024,-0.009877421660348773,626155.0,-35.363125100000005,149.1654317,42211.0,254.5,430.5,-16.0,-98.5,-38.0,-985.5,99.5,-63.0,-8.5,AUTO,626.1549682617188,0.0
07:49:58,1500.0,0.03688943502493203,-0.10560524370521307,1.0514314770698547,-0.038865262642502785,0.05641657114028931,0.006916288286447525,626600.0,-35.36307215,149.1655371,42654.0,323.5,513.5,-27.0,-115.5,-52.5,-954.0,-38.5,57.5,8.0,ALT_HOLD,626.5999755859375,0.0
07:50:00,1500.0,0.01474218349903822,-0.001567190047353506,1.0518772602081299,0.9557802379131317,-0.00035820831544697285,0.03464494738727808,624950.0,-35.36301075,149.1656319,41002.5,332.5,322.0,203.5,-104.5,-24.0,-943.0,952.5,0.5,35.5,ALT_HOLD,624.9499816894531,0.0
07:50:02,1500.0,-0.015706548583693802,-0.00401983386836946,1.0436578392982483,-0.06353124976158142,0.0052568071987479925,-0.05184116493910551,620820.0,-35.3629552,149.1656833,36878.0,278.5,156.0,187.5,-85.5,46.5,-1016.5,-59.5,6.0,-50.5,ALT_HOLD,620.8199768066406,0.0
07:50:04,1500.0,0.08397448435425758,0.033032769337296486,1.0430378317832947,-0.7414350807666779,-0.08524127677083015,0.02738508681068197,617845.0,-35.36291625,149.16570595,33897.0,98.0,57.5,60.5,-32.0,-44.5,-1093.5,-742.0,-83.5,28.0,AUTO,617.8450012207031,0.0
07:50:06,1500.0,0.014723735861480236,-0.12017897516489029,1.1061326265335083,-0.21771299839019775,-0.06562396511435509,0.028776731342077255,617630.0,-35.362904400000005,149.16572785,33684.5,76.5,147.0,-16.0,-34.0,-29.5,-1019.5,-217.0,-63.5,29.5,AUTO,617.6300048828125,0.0
07:50:08,1500.0,0.050953831523656845,-0.1436292827129364,1.095420479774475,0.08861871063709259,0.04237527493387461,-0.007945747813209891,618345.0,-35.362879649999996,149.16578315,34400.0,185.0,335.0,-51.5,-80.5,-40.0,-1017.5,88.0,43.5,-6.5,AUTO,618.3450012207031,0.0
07:50:10,1500.0,0.06641269847750664,-0.10055191069841385,1.094125509262085,0.005417968728579581,0.031670736614614725,-0.002134175389073789,619645.0,-35.36284125,149.1658688,35702.0,216.5,417.0,-65.5,-83.5,-49.5,-992.0,6.0,33.0,-0.5,AUTO,619.6449890136719,0.0
07:50:12,1500.0,0.06340105459094048,-0.12893230840563774,1.0924939513206482,0.016511509660631418,-0.06991162151098251,-0.002441767428535968,620980.0,-35.362800750000005,149.16596264999998,37032.5,224.5,438.5,-55.0,-97.5,-59.0,-987.5,17.0,-68.0,-1.5,AUTO,620.9800109863281,0.0
07:50:14,1500.0,0.08758260309696198,-0.1812870278954506,0.9547188580036163,0.015126063721254468,-0.11904576886445284,-0.16672765463590622,622205.0,-35.36275405000001,149.16606835,38257.5,280.5,522.0,-46.0,-107.5,-68.5,-936.5,15.0,-116.5,-165.0,AUTO,622.2049865722656,0.0
07:50:16,1500.0,0.13084545359015465,-0.016534456983208656,0.6986350119113922,0.029936986975371838,-0.015902474522590637,-0.06659590359777212,623615.0,-35.36269685,149.16618655,39671.0,294.5,500.5,-108.5,-108.0,-100.5,-992.0,30.0,-14.0,-65.5,AUTO,623.614990234375,0.0
07:50:18,1500.0,0.08058265224099159,-0.0841631954535842,0.958524763584137,-0.01070120045915246,-0.06941094622015953,0.360652070492506,625290.0,-35.3626519,149.16629905000002,41345.0,233.0,519.0,-35.5,-78.5,-91.0,-889.0,-10.0,-67.5,361.5,ALT_HOLD,625.2900085449219,0.0
07:50:20,1500.0,0.033717524260282516,-0.052004456520080566,1.138425886631012,-0.24213337898254395,0.04979660548269749,0.06600108928978443,623090.0,-35.3626103,149.16641275,39143.5,242.0,476.5,204.5,-115.0,-123.5,-972.5,-245.5,51.5,67.0,ALT_HOLD,623.0899963378906,0.0
