,A.LAND2
14:02:25.962,-1.0
14:02:26.164,-1.0
14:02:26.368,-1.0
14:02:26.570,-1.0
14:02:26.772,-1.0
14:02:26.974,-1.0
14:02:27.184,-1.0
14:02:27.386,-1.0
14:02:27.589,-1.0
14:02:27.791,-1.0
14:02:27.993,-1.0
14:02:28.196,-1.0
14:02:28.397,-1.0
14:02:28.603,-1.0
14:02:28.806,-1.0
14:02:29.009,-1.0
14:02:29.213,-1.0
14:02:29.414,-1.0
14:02:29.616,-1.0
14:02:29.819,-1.0
14:02:30.020,-1.0
14:02:30.223,-1.0
14:02:30.426,-1.0
14:02:30.627,-1.0
14:02:30.828,-1.0
14:02:31.030,-1.0
14:02:31.231,-1.0
14:02:31.434,-1.0
14:02:31.637,-1.0
14:02:31.842,-1.0
14:02:32.047,-1.0
14:02:32.250,-1.0
14:02:32.454,-1.0
14:02:32.657,-1.0
14:02:32.859,-1.0
14:02:33.061,-1.0
14:02:33.264,-1.0
14:02:33.469,-1.0
14:02:33.671,-1.0
14:02:33.875,-1.0
14:02:34.079,-1.0
14:02:34.281,-1.0
14:02:34.484,-1.0
14:02:34.687,-1.0
14:02:34.888,-1.0
14:02:35.091,-1.0
14:02:35.293,-1.0
14:02:35.496,-1.0
14:02:35.700,-1.0
14:02:35.903,-1.0
14:02:36.105,-1.0
14:02:36.310,-1.0
14:02:36.515,-1.0
14:02:36.717,-1.0
14:02:36.920,-1.0
14:02:37.128,-1.0
14:02:37.329,-1.0
14:02:37.532,-1.0
14:02:37.739,-1.0
14:02:37.941,-1.0
14:02:38.143,-1.0
14:02:38.347,-1.0
14:02:38.550,-1.0
14:02:38.751,-1.0
14:02:38.953,-1.0
14:02:39.155,-1.0
14:02:39.357,-1.0
14:02:39.560,-1.0
14:02:39.762,-1.0
14:02:39.964,-1.0
14:02:40.167,-1.0
14:02:40.369,-1.0
14:02:40.570,-1.0
14:02:40.771,-1.0
14:02:40.973,-1.0
14:02:41.175,-1.0
14:02:41.377,-1.0
14:02:41.583,-1.0
14:02:41.785,-1.0
14:02:41.988,-1.0
14:02:42.191,-1.0
14:02:42.393,-1.0
14:02:42.596,-1.0
14:02:42.798,0.333
14:02:43.000,0.353
14:02:43.204,0.353
14:02:43.406,0.353
14:02:43.608,0.353
14:02:43.810,0.353
14:02:44.012,0.353
14:02:44.215,0.353
14:02:44.418,1.0
14:02:44.620,1.0
14:02:44.822,1.0
14:02:45.024,1.0
14:02:45.226,1.0
14:02:45.430,1.0
14:02:45.634,1.0
14:02:45.840,1.0
14:02:46.044,1.0
14:02:46.247,1.0
14:02:46.450,1.0
14:02:46.651,1.0
14:02:46.852,1.0
14:02:47.054,1.0
14:02:47.256,1.0
14:02:47.458,1.0
14:02:47.663,1.0
14:02:47.865,1.0
14:02:48.067,1.0
14:02:48.269,1.0
14:02:48.470,1.0
14:02:48.676,1.0
14:02:48.878,0.975
14:02:49.080,0.975
14:02:49.283,0.975
14:02:49.488,0.975
14:02:49.691,0.975
14:02:49.895,0.975
14:02:50.098,0.975
14:02:50.301,0.994
14:02:50.503,0.994
14:02:50.707,0.959
14:02:50.909,0.935
14:02:51.110,0.935
14:02:51.312,0.935
14:02:51.513,0.935
14:02:51.715,0.935
14:02:51.917,0.935
14:02:52.120,0.935
14:02:52.322,0.935
14:02:52.530,0.935
14:02:52.734,1.0
14:02:52.935,1.0
14:02:53.139,1.0
14:02:53.344,1.0
14:02:53.551,1.0
14:02:53.754,1.0
14:02:53.955,1.0
14:02:54.159,1.0
14:02:54.361,1.0
14:02:54.564,1.0
14:02:54.768,0.99
14:02:54.969,1.0
14:02:55.172,1.0
14:02:55.374,1.0
14:02:55.578,1.0
14:02:55.780,1.0
14:02:55.983,1.0
14:02:56.185,1.0
14:02:56.390,1.0
14:02:56.591,0.992
14:02:56.793,0.992
14:02:56.995,1.0
14:02:57.201,1.0
14:02:57.403,1.0
14:02:57.605,1.0
14:02:57.806,1.0
14:02:58.009,1.0
14:02:58.219,1.0
14:02:58.421,1.0
14:02:58.623,0.808
14:02:58.826,0.45
14:02:59.028,0.29
14:02:59.230,0.29
14:02:59.433,0.29
14:02:59.641,0.29
14:02:59.848,0.29
14:03:00.050,0.29
14:03:00.251,0.29
14:03:00.453,0.29
14:03:00.656,0.31
14:03:00.858,0.29
14:03:01.059,0.31
14:03:01.265,0.31
14:03:01.469,0.31
14:03:01.671,0.31
14:03:01.873,0.31
14:03:02.075,0.31
14:03:02.279,0.31
14:03:02.482,-1.0
14:03:02.684,0.45
14:03:02.886,0.467
14:03:03.087,0.4
14:03:03.290,0.4
14:03:03.493,0.4
14:03:03.696,0.4
14:03:03.903,0.4
14:03:04.108,0.4
14:03:04.310,0.4
14:03:04.514,0.4
14:03:04.718,0.4
14:03:04.920,0.35
14:03:05.123,0.756
14:03:05.328,0.756
14:03:05.530,0.756
