,A.ALT_HOLD2
08:14:49.627,-1.0
08:14:49.827,-1.0
08:14:50.028,-1.0
08:14:50.229,-1.0
08:14:50.430,-1.0
08:14:50.631,-1.0
08:14:50.831,-1.0
08:14:51.032,-1.0
08:14:51.233,-1.0
08:14:51.434,-1.0
08:14:51.635,-1.0
08:14:51.835,-1.0
08:14:52.037,-1.0
08:14:52.237,-1.0
08:14:52.438,-1.0
08:14:52.639,-1.0
08:14:52.840,-1.0
08:14:53.040,-1.0
08:14:53.241,-1.0
08:14:53.442,-1.0
08:14:53.643,-1.0
08:14:53.843,-1.0
08:14:54.044,-1.0
08:14:54.245,-1.0
08:14:54.445,-1.0
08:14:54.646,-1.0
08:14:54.847,-1.0
08:14:55.047,-1.0
08:14:55.248,-1.0
08:14:55.449,-1.0
08:14:55.650,-1.0
08:14:55.850,-1.0
08:14:56.051,-1.0
08:14:56.251,-1.0
08:14:56.452,-1.0
08:14:56.653,-1.0
08:14:56.854,-1.0
08:14:57.054,-1.0
08:14:57.255,-1.0
08:14:57.456,-1.0
08:14:57.656,-1.0
08:14:57.857,-1.0
08:14:58.058,-1.0
08:14:58.259,-1.0
08:14:58.459,-1.0
08:14:58.660,-1.0
08:14:58.860,-1.0
08:14:59.061,-1.0
08:14:59.262,-1.0
08:14:59.463,-1.0
08:14:59.663,-1.0
08:14:59.864,-1.0
08:15:00.065,-1.0
08:15:00.265,-1.0
08:15:00.466,-1.0
08:15:00.667,-1.0
08:15:00.867,-1.0
08:15:01.068,-1.0
08:15:01.269,-1.0
08:15:01.470,-1.0
08:15:01.671,-1.0
08:15:01.871,-1.0
08:15:02.072,-1.0
08:15:02.273,-1.0
08:15:02.474,0.002
08:15:02.674,0.002
08:15:02.875,0.002
08:15:03.076,0.002
08:15:03.277,0.002
08:15:03.478,0.002
08:15:03.678,-1.0
08:15:03.879,-1.0
08:15:04.080,-1.0
08:15:04.280,-1.0
08:15:04.481,0.002
08:15:04.682,0.002
08:15:04.883,0.003
08:15:05.084,0.003
08:15:05.284,0.003
08:15:05.485,0.003
08:15:05.685,0.003
08:15:05.886,0.003
08:15:06.087,0.003
08:15:06.288,0.003
08:15:06.489,0.005
08:15:06.690,0.005
08:15:06.891,0.003
08:15:07.092,0.003
08:15:07.293,-1.0
08:15:07.493,-1.0
08:15:07.694,-1.0
08:15:07.895,-1.0
08:15:08.095,-1.0
08:15:08.297,-1.0
08:15:08.497,-1.0
08:15:08.698,-1.0
08:15:08.899,-1.0
08:15:09.099,-1.0
08:15:09.300,-1.0
08:15:09.501,-1.0
08:15:09.702,-1.0
08:15:09.903,-1.0
08:15:10.104,-1.0
08:15:10.304,-1.0
08:15:10.505,-1.0
08:15:10.706,-1.0
08:15:10.906,-1.0
08:15:11.107,-1.0
08:15:11.308,-1.0
08:15:11.509,-1.0
08:15:11.709,-1.0
08:15:11.910,-1.0
08:15:12.111,-1.0
08:15:12.311,-1.0
08:15:12.512,-1.0
08:15:12.712,-1.0
08:15:12.913,-1.0
08:15:13.113,-1.0
08:15:13.314,-1.0
08:15:13.515,-1.0
08:15:13.716,-1.0
08:15:13.917,-1.0
08:15:14.117,-1.0
08:15:14.318,-1.0
08:15:14.519,-1.0
08:15:14.720,-1.0
08:15:14.921,-1.0
08:15:15.121,-1.0
08:15:15.322,-1.0
08:15:15.523,-1.0
08:15:15.723,-1.0
08:15:15.924,-1.0
08:15:16.125,-1.0
08:15:16.325,-1.0
08:15:16.526,-1.0
08:15:16.727,-1.0
08:15:16.927,-1.0
08:15:17.128,-1.0
08:15:17.329,-1.0
08:15:17.529,-1.0
08:15:17.730,-1.0
08:15:17.931,-1.0
08:15:18.131,-1.0
08:15:18.332,-1.0
08:15:18.533,-1.0
08:15:18.734,-1.0
08:15:18.935,-1.0
08:15:19.135,-1.0
08:15:19.336,-1.0
08:15:19.537,-1.0
08:15:19.737,0.002
08:15:19.938,0.002
08:15:20.139,0.002
08:15:20.339,0.002
08:15:20.540,0.002
08:15:20.741,0.003
08:15:20.941,0.002
08:15:21.142,0.002
08:15:21.342,0.002
08:15:21.543,0.002
08:15:21.744,0.002
08:15:21.945,0.002
08:15:22.146,-1.0
08:15:22.347,-1.0
08:15:22.547,-1.0
08:15:22.748,-1.0
08:15:22.948,0.003
08:15:23.149,0.003
08:15:23.350,0.003
08:15:23.550,0.003
08:15:23.751,0.003
08:15:23.952,0.005
08:15:24.152,-1.0
08:15:24.353,-1.0
08:15:24.553,-1.0
08:15:24.754,-1.0
08:15:24.955,-1.0
08:15:25.156,-1.0
08:15:25.356,-1.0
08:15:25.557,-1.0
08:15:25.758,-1.0
08:15:25.959,-1.0
08:15:26.160,-1.0
08:15:26.360,-1.0
08:15:26.561,-1.0
08:15:26.762,-1.0
08:15:26.962,-1.0
08:15:27.163,-1.0
08:15:27.363,-1.0
08:15:27.564,-1.0
08:15:27.765,-1.0
08:15:27.966,-1.0
08:15:28.166,-1.0
08:15:28.367,-1.0
08:15:28.568,-1.0
08:15:28.769,-1.0
08:15:28.969,-1.0
08:15:29.171,-1.0
08:15:29.371,-1.0
08:15:29.572,-1.0
08:15:29.773,-1.0
08:15:29.973,-1.0
08:15:30.174,-1.0
08:15:30.375,-1.0
08:15:30.575,-1.0
08:15:30.776,-1.0
08:15:30.977,-1.0
08:15:31.179,-1.0
08:15:31.380,-1.0
08:15:31.581,-1.0
08:15:31.781,-1.0
08:15:31.982,-1.0
08:15:32.183,-1.0
08:15:32.384,-1.0
08:15:32.585,-1.0
08:15:32.785,-1.0
08:15:32.986,-1.0
08:15:33.187,-1.0
08:15:33.388,-1.0
08:15:33.589,-1.0
08:15:33.790,-1.0
08:15:33.991,-1.0
08:15:34.191,-1.0
08:15:34.392,-1.0
08:15:34.593,-1.0
08:15:34.793,-1.0
08:15:34.994,-1.0
08:15:35.195,-1.0
08:15:35.396,-1.0
08:15:35.596,-1.0
08:15:35.797,-1.0
08:15:35.998,-1.0
08:15:36.199,-1.0
08:15:36.400,-1.0
08:15:36.600,-1.0
08:15:36.801,-1.0
08:15:37.002,-1.0
08:15:37.203,-1.0
08:15:37.404,-1.0
08:15:37.605,-1.0
08:15:37.806,-1.0
08:15:38.006,-1.0
08:15:38.207,-1.0
08:15:38.408,-1.0
08:15:38.608,-1.0
08:15:38.809,-1.0
08:15:39.010,-1.0
08:15:39.211,-1.0
08:15:39.412,-1.0
08:15:39.612,-1.0
08:15:39.813,-1.0
08:15:40.014,-1.0
08:15:40.214,-1.0
08:15:40.415,-1.0
08:15:40.616,-1.0
08:15:40.816,-1.0
08:15:41.017,-1.0
08:15:41.218,-1.0
08:15:41.419,-1.0
08:15:41.620,0.002
08:15:41.820,0.002
08:15:42.021,0.002
08:15:42.222,0.002
08:15:42.423,0.002
08:15:42.623,0.002
08:15:42.824,0.002
08:15:43.025,0.002
08:15:43.226,0.002
08:15:43.426,0.002
08:15:43.627,0.003
08:15:43.828,0.005
08:15:44.028,0.005
08:15:44.229,0.003
08:15:44.429,0.005
08:15:44.630,0.005
08:15:44.831,0.002
08:15:45.031,0.002
08:15:45.232,0.002
08:15:45.433,0.002
08:15:45.634,0.003
08:15:45.835,0.003
08:15:46.035,0.003
