time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,EK2_ALT_SOURCE
13:35:07,1500.0,-0.031914105638861656,0.03637378104031086,0.23504619300365448,-0.12925609946250916,0.013155840337276459,-0.006172049790620804,634090.0,-35.3632611,149.16523834999998,50157.0,1.5,13.5,10.0,634.0899963378906,-0.6666666666666666,7.0,-972.3333333333334,46.666666666666664,12.0,-13.333333333333334,AUTO,0.0
13:35:09,1500.0,0.029931794852018356,-0.10673639923334122,0.42530857026576996,0.5060375779867172,-0.02079448476433754,0.7593680918216705,633900.0,-35.3632575,149.16524075,49962.5,73.5,43.0,0.0,633.9099731445312,-8.0,-5.5,-1014.5,57.0,-36.5,332.5,AUTO,0.0
13:35:11,1500.0,0.0007172932382673025,-0.19214225560426712,0.7209100723266602,-0.1056794747710228,-0.010213008616119623,-0.058657772839069366,633865.0,-35.3632291,149.16526205,49930.0,260.5,159.0,0.0,633.8699951171875,-51.5,-16.5,-1006.0,0.5,-34.5,-85.0,AUTO,0.0
13:35:13,1500.0,0.03531400548915068,-0.21363775928815207,0.6879679361979166,0.10564238329728444,-0.014590056302646795,-0.02101411670446396,633836.6666666666,-35.363176,149.1653021,49901.0,421.0,261.3333333333333,0.0,633.8399658203125,-99.5,-34.5,-1000.5,111.5,-23.0,-24.5,AUTO,0.0
13:35:15,1500.0,0.06261082552373409,-0.1698520928621292,0.665977269411087,0.0031365780159831047,0.03321230877190828,-0.011083708610385656,633895.0,-35.363072900000006,149.16538155,49960.0,559.0,355.0,-6.0,633.8900146484375,-135.5,-57.0,-996.0,-18.5,25.0,-5.0,AUTO,0.0
13:35:19,1500.0,0.06593606248497963,-0.14256227016448975,0.6394445896148682,-0.04958614148199558,-0.00931392062921077,0.005535878648515791,633930.0,-35.3628655,149.1655437,49997.5,582.0,365.0,0.5,633.9366658528646,-147.0,-82.0,-994.6666666666666,-58.333333333333336,-2.3333333333333335,9.0,AUTO,0.0
13:35:21,1500.0,0.07115569338202477,-0.11349806562066078,0.6328750550746918,0.14690926298499107,0.05857751797884703,-0.007746470044367015,633955.0,-35.3627869,149.16560479999998,50016.0,577.0,360.5,-4.0,633.9549865722656,-139.5,-77.0,-993.0,147.5,59.0,-7.0,AUTO,0.0
13:35:23,1500.0,0.07436418284972508,-0.006497633517331754,0.6254585385322571,0.17743144432703653,0.049748279775182404,0.01439417153596878,634023.3333333334,-35.362682033333336,149.16568583333333,50087.333333333336,447.3333333333333,283.0,2.0,634.0299682617188,-115.0,-57.5,-990.5,34.5,46.0,8.0,AUTO,0.0
13:35:25,1500.0,0.049332255497574806,0.046810638159513474,0.6198508739471436,0.1175777018070221,0.0060210456140339375,-0.01908706594258547,633955.0,-35.362623049999996,149.1657321,50019.5,274.5,178.0,3.0,633.9549865722656,-67.5,-32.5,-1008.0,119.5,7.0,-18.5,AUTO,0.0
13:35:27,1500.0,0.003234678129956592,0.06932396627962589,0.6118333339691162,-0.03976800665259361,-0.017113075591623783,-0.00263424520380795,633915.0,-35.36259065,149.1657597,49981.5,101.5,60.0,0.5,633.9149780273438,-20.0,-18.5,-999.0,-38.5,-15.5,-2.0,AUTO,0.0
13:35:29,1500.0,-0.018344100564718246,0.02301876712590456,0.6069522798061371,0.029354870319366455,-0.024009655229747295,-0.008944689994677901,633920.0,-35.362583650000005,149.1657667,49984.0,18.0,-13.0,-0.5,633.9199829101562,-1.0,2.0,-998.5,30.0,-22.0,-7.5,AUTO,0.0
13:35:31,1500.0,0.00012336857616901398,-0.008106690598651767,0.6017305850982666,0.0822766125202179,0.0025230376049876213,-0.0041540798847563565,633930.0,-35.3625832,149.16576505,49993.5,13.5,-14.5,0.0,633.9299926757812,-2.5,7.5,-999.0,83.5,4.0,-3.0,RTL,0.0
13:35:33,1500.0,0.0036094540264457464,0.010788210667669773,0.5971378087997437,0.42069000005722046,0.04276994615793228,0.003345099277794361,633910.0,-35.362582,149.1657639,49976.0,3.0,-4.0,0.0,633.9099731445312,-2.0,36.0,-1007.0,423.0,43.0,4.0,RTL,0.0
13:35:35,1500.0,-0.004353540949523449,0.05329802632331848,0.5924462676048279,-0.5523583292961121,0.025801202282309532,-0.01197698526084423,633920.0,-35.3625855,149.1657605,49982.0,-51.0,-29.0,0.0,633.9199829101562,12.0,-27.0,-990.0,-553.0,27.0,-10.0,RTL,0.0
13:35:37,1500.0,-0.033834739588201046,0.14284730702638626,0.5868817567825317,0.002310320734977722,0.022387680306565017,0.005096727516502142,633895.0,-35.362609500000005,149.16574395,49962.0,-186.0,-118.5,1.0,633.8949890136719,45.5,31.0,-1006.0,3.0,23.5,5.5,RTL,0.0
13:35:39,1500.0,-0.05209093540906906,0.17601098120212555,0.5823211669921875,0.2830425798892975,0.05308980494737625,0.01849549077451229,633880.0,-35.3626464,149.1657165,49940.0,-318.0,-206.0,1.0,633.8800048828125,77.0,68.0,-997.0,283.0,54.0,19.0,RTL,0.0
13:35:41,1500.0,-0.065290167927742,0.16588146425783634,0.5836970806121826,-0.19265681877732277,0.25845713913440704,-0.011993542313575745,633915.0,-35.362730400000004,149.16565065,49983.0,-434.5,-283.0,3.0,633.9149780273438,92.0,47.5,-949.5,-192.0,259.0,-11.0,RTL,0.0
13:35:43,1500.0,-0.08232397213578224,-0.060897346585989,0.5980575084686279,0.2809730675071478,0.13678409066051245,-0.02251934539526701,634055.0,-35.36281785,149.16558275,50120.0,-446.5,-287.5,-24.0,634.0549926757812,98.0,65.5,-941.5,280.0,137.5,-21.5,RTL,0.0
13:35:45,1500.0,-0.04049849510192871,-0.02469082921743393,0.5927413105964661,0.22123844921588898,-0.0040323445573449135,0.04310672730207443,634000.0,-35.3628695,149.1655403,50065.0,-273.0,-182.0,12.0,634.0,62.0,78.0,-1010.0,223.0,-2.0,44.0,RTL,0.0
13:35:47,1500.0,-0.04747486114501953,-0.03835257515311241,0.5953291654586792,0.7473316788673401,0.3138350248336792,0.056296948343515396,633910.0,-35.3629255,149.1654971,49975.0,-306.0,-185.0,-19.0,633.9099731445312,68.0,80.0,-965.0,748.0,315.0,57.0,RTL,0.0
13:35:49,1500.0,-0.06604316830635071,-0.00374833052046597,0.592670202255249,0.1357567012310028,0.22696413099765778,0.003161182627081871,633920.0,-35.3629898,149.1654492,49982.0,-393.0,-248.0,-29.0,633.9199829101562,88.0,47.0,-965.0,134.0,228.0,4.0,RTL,0.0
13:35:51,1500.0,-0.07170354574918747,0.008083570748567581,0.591689944267273,0.01822912134230137,0.3208290934562683,0.031045084819197655,633960.0,-35.3630703,149.1653867,50022.0,-471.0,-298.0,-33.0,633.9599609375,106.0,69.0,-932.0,18.0,322.0,32.0,RTL,0.0
13:35:53,1500.0,-0.03080175071954727,-0.05878383666276932,0.5939290523529053,-0.3321749269962311,0.051274608820676804,-0.04926544427871704,634030.0,-35.3631366,149.1653333,50093.0,-239.0,-157.0,13.0,634.0299682617188,65.0,7.0,-998.0,-334.0,52.0,-47.0,RTL,0.0
13:35:55,1500.0,-0.02820228412747383,0.08407541364431381,0.5898455381393433,0.13979919254779816,-0.4771272540092468,-0.018544599413871765,633840.0,-35.3631779,149.1653001,49908.0,-306.0,-176.0,-5.0,633.8399658203125,74.0,58.0,-1057.0,141.0,-475.0,-16.0,RTL,0.0
13:35:57,1500.0,-0.04690227285027504,0.004010546486824751,0.5928847193717957,-0.5071277618408203,-0.07320310920476913,0.001125423121266067,633950.0,-35.3632276,149.1652628,50018.0,-265.0,-155.0,-2.0,633.9500122070312,67.0,20.0,-1004.0,-505.0,-71.0,2.0,RTL,0.0
13:35:59,1500.0,-0.00883989967405796,-0.05620211362838745,0.5951411128044128,0.40807121992111206,0.026020994409918785,0.01972646266222,633950.0,-35.3632575,149.1652392,50014.0,-75.0,-44.0,3.0,633.9500122070312,16.0,51.0,-1003.0,410.0,27.0,21.0,RTL,0.0
13:36:01,1500.0,0.0037374875973910093,-0.016695279628038406,0.5936737060546875,-0.35083964467048645,0.017665104940533638,-0.001582243712618947,633920.0,-35.3632634,149.1652345,49981.0,-10.0,0.0,0.0,633.9199829101562,1.0,-32.0,-1006.0,-352.0,19.0,0.0,RTL,0.0
13:36:03,1500.0,-0.012284385971724987,-0.006037777755409479,0.5918145775794983,0.13931819796562195,-0.016660230234265327,0.004640904720872641,633920.0,-35.3632646,149.1652354,49989.0,-4.0,0.0,0.0,633.9199829101562,2.0,23.0,-990.0,142.0,-14.0,6.0,RTL,0.0
13:36:05,1500.0,-0.005971856837277301,-0.0023579552944283932,0.5919572710990906,0.012900504283607006,0.005561803700402379,0.0034412711393088102,633925.0,-35.363264400000006,149.1652369,49989.5,11.0,-1.5,0.0,633.9249877929688,-0.5,0.0,-996.5,13.0,6.5,4.5,RTL,0.0
13:36:07,1500.0,-0.009707008488476276,-0.0005202086176723242,0.5915426015853882,-0.16951870918273926,-0.0018984355265274644,-0.001698795473203063,633920.0,-35.3632635,149.1652375,49988.0,9.0,-5.0,0.0,633.9199829101562,-2.0,9.0,-1002.0,-167.0,0.0,0.0,RTL,0.0
13:36:09,1500.0,-0.0062132226303219795,-0.001962085487321019,0.5931492447853088,-1.4293467998504639,0.001444690627977252,-0.0057611288502812386,633110.0,-35.3632623,149.1652368,49175.0,2.0,0.0,97.0,633.1099853515625,-2.0,-61.0,-976.0,-1429.0,3.0,-3.0,RTL,0.0
13:36:11,1500.0,-0.01112294290214777,-0.000953345384914428,0.5927853584289551,-1.3945667743682861,-0.00040463695768266916,-0.003658704925328493,630860.0,-35.3632619,149.1652365,46927.0,-3.0,6.0,97.0,630.8599853515625,-1.0,-52.0,-1006.0,-1394.0,1.0,-1.0,RTL,0.0
13:36:13,1500.0,-0.007385509554296732,-0.0015148193342611194,0.5918120741844177,-1.2543292045593262,0.005002307705581188,-0.005503543186932802,628810.0,-35.3632618,149.1652364,44877.0,-4.0,7.0,98.0,628.8099975585938,0.0,-48.0,-1053.0,-1253.0,6.0,-3.0,RTL,0.0
13:36:15,1500.0,-0.0019579636864364147,-0.0013202906120568514,0.590915322303772,-1.1685642004013062,0.001520822406746447,-0.00130535289645195,626780.0,-35.3632618,149.1652367,42842.0,-4.0,6.0,97.0,626.7799682617188,0.0,-65.0,-1056.0,-1169.0,3.0,0.0,RTL,0.0
13:36:17,1500.0,-0.002202945528551936,-0.0009772978955879807,0.5913718342781067,-0.08657806366682053,-0.0002213359111919999,0.0009032038506120443,624650.0,-35.3632615,149.1652363,40712.0,-7.0,10.0,98.0,624.6499633789062,-1.0,35.0,-959.0,-81.0,1.0,2.0,RTL,0.0
13:36:23,1500.0,0.005390946753323078,0.00015968985098879784,0.5909863710403442,1.455227017402649,-0.0034102913923561573,0.0029700882732868195,618510.0,-35.3632626,149.1652388,34579.0,0.0,-5.0,99.0,618.510009765625,0.0,65.0,-1006.0,1457.0,-1.0,5.0,RTL,0.0
13:36:25,1500.0,0.01370408944785595,-0.0004379903257358819,0.5916505455970764,1.4663276672363281,0.001256434479728341,0.0064547075890004635,616480.0,-35.3632626,149.1652385,32545.0,3.0,-8.0,99.0,616.47998046875,0.0,50.0,-1013.0,1467.0,3.0,8.0,RTL,0.0
