time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
12:13:09,42.0,-13.75,-1021.0,-112.25,-48.5,-37.25,AUTO,619315.0,-35.363264175,149.16523502500002,35351.75,-117.0,116.75,-167.25,-0.00185004819650203,-0.04936097748577595,0.10905665159225464,-0.11316879111109301,-0.048888033648836426,-0.036671040172223
12:13:10,26.5,-13.5,-1015.5,-242.5,17.0,-192.5,AUTO,620675.0,-35.3632698,149.1652482,36709.5,-40.5,94.0,-177.5,-0.1273917481303215,-0.061926260590553284,0.025529764592647552,-0.24379518628120422,0.017099988646805286,-0.19214672595262527
12:13:12,-28.0,60.666666666666664,-1023.3333333333334,189.33333333333334,125.33333333333333,72.0,AUTO,622960.0,-35.36326806666666,149.16524273333334,38996.333333333336,-72.33333333333333,-211.33333333333334,-113.33333333333333,-0.1406673863530159,0.09999896089235942,-0.2568531632423401,0.18985690673192343,0.12532049169143042,0.07282920430103938
12:13:14,19.75,57.5,-1041.0,121.75,-88.0,91.5,AUTO,625412.5,-35.363310975,149.16519484999998,41446.25,-218.25,-69.25,-179.5,0.13894671574234962,-0.02802951051853597,-0.16070476174354553,0.12145661190152168,-0.08880827948451042,0.09258327260613441
12:13:16,14.833333333333334,-42.833333333333336,-966.6666666666666,-26.666666666666668,-64.0,44.166666666666664,AUTO,628306.6666666666,-35.36332591666667,149.16519424999998,44340.0,77.66666666666667,219.0,-121.0,0.2258638714750608,-0.18966727207104364,-0.11521978303790092,-0.027932916147013504,-0.06519958314796288,0.04457049878935019
12:13:18,-65.0,-108.5,-1083.3333333333333,-146.16666666666666,166.83333333333334,5.833333333333333,AUTO,629136.0,-35.36325868,149.16525209999998,45172.2,524.8,177.0,-81.4,-0.07123598249163479,-0.12906850576400758,-0.044815614074468615,-0.14094090163707734,0.16942070722579955,-0.000723247992573306
12:13:19,-85.8,-23.8,-1054.6,4.8,193.6,-10.4,AUTO,630856.0,-35.363201880000005,149.1652423,46890.4,302.8,-189.8,-156.2,-0.19638168513774873,0.1803531154990196,-0.11643043160438538,0.003832117887213826,0.19323225319385529,-0.011647567339241504
12:13:20,-54.0,27.0,-992.0,126.0,91.0,-32.0,AUTO,632240.0,-35.3631941,149.1652189,48270.0,36.0,-302.0,-138.0,-0.1715010553598404,0.31769299507141113,-0.1692747324705124,0.12555886805057526,0.090621717274189,-0.03341732174158096
12:13:22,38.0,40.0,-967.3333333333334,-11.333333333333334,-38.333333333333336,-19.0,LOITER,633896.6666666666,-35.363216200000004,149.16518853333332,49929.333333333336,-229.0,-9.333333333333334,-31.666666666666668,0.19990100463231406,0.07909742246071498,0.05563931663831075,-0.01190692683060964,-0.03947279043495655,-0.02080573847827812
12:13:23,38.5,-32.25,-880.75,-65.75,-5.0,-23.0,LOITER,633407.5,-35.3632356,149.1652004,49441.0,-129.0,114.0,133.0,-0.03993620863184333,-0.07696731947362423,0.006169912172481418,-0.058272793889045715,-0.005918699811445549,-0.025195781607180834
12:13:24,16.0,100.0,-978.0,1914.5,5.5,4.5,LOITER,632145.0,-35.363242299999996,149.16520925,48180.0,-55.0,44.0,196.5,-0.17363619804382324,-0.053203774616122246,-0.0052842553704977036,1.9126248359680176,0.004768598824739456,0.002251723315566778
12:13:25,-29.0,20.0,-1027.0,-757.0,12.5,14.5,LAND,629863.3333333334,-35.36325576666667,149.1651952,45898.0,44.666666666666664,-107.66666666666667,191.0,-0.04806037340313196,-0.15445804099241892,0.0010349258470038574,-1.105556125442187,0.04305710457265377,0.03700181934982538
12:13:26,-43.0,-59.25,-1055.0,-1582.25,78.0,44.5,LAND,628666.6666666666,-35.363250933333326,149.1651852,44698.0,109.33333333333333,-106.33333333333333,128.66666666666666,-0.019069599608580273,-0.08729718377192815,-0.009739441641916832,-1.513727108637492,0.06780095770955086,0.028735986600319546
12:13:28,-37.0,17.0,-1049.3333333333333,-128.16666666666666,13.166666666666666,-2.6666666666666665,LAND,627245.0,-35.363235233333334,149.16519651666667,43280.333333333336,105.66666666666667,-38.833333333333336,44.166666666666664,0.003304255660623312,-0.006902080634608865,-0.02512177862226963,0.08538471758365632,0.008369756396859884,-0.009422012325376272
12:13:30,-23.285714285714285,-0.2857142857142857,-937.5714285714286,-9.142857142857142,-0.5714285714285714,8.571428571428571,LAND,627155.7142857143,-35.3632225,149.16520152857143,43189.857142857145,52.142857142857146,-9.428571428571429,27.285714285714285,0.004165143173720155,-0.002032955227020596,-0.03965195747358458,-0.00685833820274898,-0.0012023645602831884,0.006227067106270364
