,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN
12:36:20.176,300000.0,0.25,0.1,1000.0,30.0,2.9,18000.0,1000.0,17776.0,1270.0
12:36:24.214,259734.0,0.25,0.1,1000.0,30.0,4.2,8400.0,1000.0,12417.0,3000.0
12:36:28.248,207978.0,0.25,0.1,1000.0,30.0,5.1,5900.0,1000.0,32000.0,2530.0
12:36:32.268,62238.0,0.25,0.1,1000.0,30.0,5.1,10100.0,1000.0,9714.0,3000.0
12:36:36.303,33908.0,0.25,0.1,1000.0,30.0,4.6,18000.0,1000.0,12271.0,1200.0
12:36:40.346,250446.0,0.25,0.1,1000.0,30.0,2.0,3400.0,1000.0,10460.0,2350.0
12:36:44.383,300000.0,0.25,0.1,1000.0,30.0,3.3,3200.0,1000.0,21946.0,0.0
12:36:48.409,26047.0,0.25,0.1,1000.0,30.0,2.1,5600.0,1000.0,32000.0,0.0
12:36:52.428,200.0,0.25,0.1,1000.0,30.0,3.3,3400.0,1000.0,20304.0,1130.0
12:36:56.456,61789.0,0.25,0.1,1000.0,30.0,0.1,9700.0,1000.0,2107.0,1410.0
12:37:00.482,169343.0,0.25,0.1,1000.0,30.0,0.2,8900.0,1000.0,19594.0,1690.0
12:37:04.515,190769.0,0.25,0.1,1000.0,30.0,0.1,7600.0,1000.0,32000.0,0.0
12:37:08.040,200.0,0.25,0.1,1000.0,30.0,4.8,16300.0,1000.0,29903.0,0.0
12:37:12.069,200.0,0.25,0.1,1000.0,30.0,2.6,500.0,1000.0,30822.0,2410.0
12:37:16.111,300000.0,0.25,0.1,1000.0,30.0,0.2,18000.0,1000.0,21698.0,1480.0
12:37:20.134,200.0,0.25,0.1,1000.0,30.0,2.2,18000.0,1000.0,10313.0,180.0
12:37:24.151,200.0,0.25,0.1,1000.0,30.0,0.0,11100.0,1000.0,7951.0,1390.0
12:37:28.178,50560.0,0.25,0.1,1000.0,30.0,3.5,6400.0,1000.0,0.0,1630.0
12:37:32.219,276585.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,32000.0,2600.0
12:37:36.253,233295.0,0.25,0.1,1000.0,30.0,3.3,15600.0,1000.0,0.0,1900.0
12:37:40.280,59184.0,0.25,0.1,1000.0,30.0,3.8,500.0,1000.0,10591.0,0.0
12:37:44.301,200.0,0.25,0.1,1000.0,30.0,0.3,500.0,1000.0,25627.0,1180.0
12:37:48.320,35281.0,0.25,0.1,1000.0,30.0,2.3,7700.0,1000.0,15287.0,2880.0
12:37:52.362,212482.0,0.25,0.1,1000.0,30.0,4.3,3100.0,1000.0,7726.0,2210.0
12:37:56.394,300000.0,0.25,0.1,1000.0,30.0,1.6,11100.0,1000.0,23821.0,1690.0
12:38:00.413,34299.0,0.25,0.1,1000.0,30.0,4.9,2800.0,1000.0,10017.0,0.0
12:38:04.436,108938.0,0.25,0.1,1000.0,30.0,0.0,500.0,1000.0,28399.0,2480.0
12:38:08.468,34905.0,0.25,0.1,1000.0,30.0,5.0,6200.0,1000.0,0.0,2370.0
12:38:12.498,232447.0,0.25,0.1,1000.0,30.0,0.7,15800.0,1000.0,4435.0,1320.0
12:38:16.043,206039.0,0.25,0.1,1000.0,30.0,2.6,7200.0,1000.0,14124.0,2030.0
