,A.BRAKE1
16:11:15.721,-1
16:11:15.922,-1
16:11:16.123,-1
16:11:16.324,-1
16:11:16.525,-1
16:11:16.726,-1
16:11:16.927,-1
16:11:17.128,-1
16:11:17.329,-1
16:11:17.531,-1
16:11:17.732,-1
16:11:17.934,-1
16:11:18.136,-1
16:11:18.337,-1
16:11:18.539,-1
16:11:18.739,-1
16:11:18.940,-1
16:11:19.142,-1
16:11:19.343,-1
16:11:19.544,-1
16:11:19.745,-1
16:11:19.947,-1
16:11:20.147,-1
16:11:20.348,-1
16:11:20.549,-1
16:11:20.750,-1
16:11:20.951,-1
16:11:21.154,-1
16:11:21.355,-1
16:11:21.556,-1
16:11:21.758,-1
16:11:21.959,-1
16:11:22.163,-1
16:11:22.364,-1
16:11:22.565,-1
16:11:22.766,-1
16:11:22.967,-1
16:11:23.167,-1
16:11:23.368,-1
16:11:23.569,-1
16:11:23.770,-1
16:11:23.971,-1
16:11:24.172,-1
16:11:24.373,-1
16:11:24.574,-1
16:11:24.774,-1
16:11:24.975,-1
16:11:25.176,-1
16:11:25.377,-1
16:11:25.578,-1
16:11:25.780,-1
16:11:25.981,-1
16:11:26.183,-1
16:11:26.384,-1
16:11:26.585,-1
16:11:26.786,-1
16:11:26.987,1
16:11:27.188,1
16:11:27.389,1
16:11:27.590,1
16:11:27.791,1
16:11:27.992,1
16:11:28.193,1
16:11:28.394,1
16:11:28.594,1
16:11:28.795,1
16:11:28.996,-1
16:11:29.197,-1
16:11:29.398,-1
16:11:29.599,-1
16:11:29.801,-1
16:11:30.002,-1
16:11:30.204,-1
16:11:30.405,-1
16:11:30.606,-1
16:11:30.807,-1
16:11:31.009,-1
16:11:31.211,-1
16:11:31.412,-1
16:11:31.613,-1
16:11:31.814,-1
16:11:32.014,-1
16:11:32.216,-1
16:11:32.418,-1
16:11:32.618,-1
16:11:32.819,-1
16:11:33.021,-1
16:11:33.222,-1
16:11:33.423,-1
16:11:33.625,-1
16:11:33.826,-1
16:11:34.027,-1
16:11:34.228,-1
16:11:34.430,-1
16:11:34.632,-1
16:11:34.833,-1
16:11:35.034,-1
16:11:35.234,-1
16:11:35.435,-1
16:11:35.636,-1
16:11:35.837,-1
16:11:36.038,-1
16:11:36.239,-1
16:11:36.440,-1
16:11:36.641,-1
16:11:36.842,-1
16:11:37.042,-1
16:11:37.243,-1
16:11:37.444,-1
16:11:37.646,-1
16:11:37.848,-1
16:11:38.049,-1
16:11:38.250,-1
16:11:38.451,-1
16:11:38.652,-1
16:11:38.853,-1
16:11:39.053,-1
16:11:39.255,-1
16:11:39.455,-1
16:11:39.656,-1
16:11:39.857,-1
16:11:40.058,-1
16:11:40.259,-1
16:11:40.460,-1
16:11:40.661,-1
16:11:40.862,-1
16:11:41.063,-1
16:11:41.264,-1
16:11:41.466,-1
16:11:41.667,-1
16:11:41.868,-1
16:11:42.069,-1
16:11:42.272,-1
16:11:42.473,-1
16:11:42.675,-1
16:11:42.876,-1
