time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
16:52:54,-0.0005764148275678357,0.0030433222418650985,-0.24260532607634863,-0.016744284104788676,0.0019062322389800102,-0.017058380724241335,608495.0,-35.36326176666667,149.1652366666667,24469.666666666668,-2.5,2.3333333333333335,-152.66666666666666,0.0,-0.5,-997.3333333333334,-16.166666666666668,2.3333333333333335,-17.0,AUTO
16:52:56,0.01068100876485308,0.002250026969704777,-0.22812840094168982,0.0003424093786937495,-0.0012742826947942376,0.023834038836260635,611618.3333333334,-35.3632622,149.16523655,27593.5,-3.5,4.0,-152.33333333333334,0.16666666666666666,0.16666666666666666,-999.5,1.1666666666666667,-0.3333333333333333,23.166666666666668,AUTO
16:52:58,5.986245620685319e-07,0.0015575865594049294,-0.18625382085641226,-0.0011967185031001766,8.107279427349567e-05,0.019293562198678654,614735.0,-35.3632623,149.1652377,30707.5,0.0,6.333333333333333,-152.16666666666666,0.16666666666666666,-0.6666666666666666,-1000.0,-0.16666666666666666,0.6666666666666666,18.666666666666668,AUTO
16:53:00,0.00143937441559198,0.001439773419406265,-0.15501666565736136,0.0021508270680593946,0.0004004298922761033,0.014236961957067251,617853.3333333334,-35.3632623,149.16523801666668,33827.333333333336,0.0,0.3333333333333333,-153.0,0.0,0.0,-999.6666666666666,2.5,1.1666666666666667,13.666666666666666,AUTO
16:53:02,0.0020673615120661757,0.0012897188134957105,-0.13170905162890753,0.0012345868453849107,0.0013255489563258986,0.010854475976278385,620965.0,-35.3632622,149.16523783333335,36941.333333333336,0.0,0.0,-152.66666666666666,0.0,0.0,-999.8,2.4,2.2,10.8,AUTO
16:53:04,0.002796312514692545,0.0014783264370635152,-0.11504968106746674,-4.448383115231991e-05,0.0004750815569423139,0.008128698822110892,623900.0,-35.3632621,149.16523754,39871.8,0.0,0.0,-153.0,0.0,0.0,-999.6,1.0,1.6,7.6,AUTO
16:53:05,0.0025665995199233294,0.0012316108914092183,-0.10942648351192474,-0.002013023942708969,7.58440000936389e-05,0.004656190052628517,625070.0,-35.3632621,149.1652375,41041.0,-1.0,0.0,-153.0,0.0,0.0,-1000.0,-1.0,1.0,4.0,AUTO
16:53:06,0.0025780726379404464,0.0014294498056794207,-0.1010852021475633,0.0007268081147534152,-0.0006610318184054146,0.007026838061089317,627048.3333333334,-35.36326208333333,149.1652374,43024.0,-0.5,1.0,-152.83333333333334,0.0,0.0,-1000.1666666666666,1.6666666666666667,0.16666666666666666,6.666666666666667,LOITER
16:53:08,-0.03087740597159912,0.01992825325578451,0.17115349570910135,-0.12398954977591832,-0.04502747828761736,0.25983947856972617,629736.6666666666,-35.36326283333334,149.16523608333333,45711.833333333336,-19.0,-22.0,-53.666666666666664,1.0,2.5,-839.3333333333334,-122.66666666666667,-43.833333333333336,259.5,LOITER
16:53:12,0.04572484791278839,-0.01728347986936569,0.2456788867712021,0.9040874779224396,0.039456216618418694,-0.03039938844740391,627424.0,-35.363264040000004,149.1652342,43398.0,15.6,33.8,196.0,-1.0,23.2,-994.8,903.8,40.0,-29.8,AUTO
16:53:14,-0.0010798308067023754,0.0035300402087159455,0.19317179545760155,-0.1170073077082634,-0.003607259539421648,-0.016372606391087174,624455.0,-35.363261225,149.165239025,40429.25,7.5,14.0,33.5,-1.2,-6.8,-1076.2,-328.8,-3.2,-16.2,AUTO
