time_stamp,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
11:33:06,583950.0,-35.3632622,149.1652375,0.0,0.0,0.0,2.4,-1.2025503747281618e-05,0.0015808180905878544,0.021596599370241165,0.00034656544448807836,0.0003171771066263318,0.0014797800453379751,0.0,1.4,-1000.0,0.0,0.2,0.4,AUTO
11:33:07,583950.0,-35.3632622,149.1652375,0.0,0.0,0.0,0.0,0.0010572384344413877,0.001629523583687842,0.021410170942544937,0.02852480858564377,-0.0065972646698355675,0.0035873425658792257,0.0,1.0,-1035.0,29.0,-5.0,2.0,AUTO
11:33:08,584950.0,-35.36326208,149.16523754,984.8,0.2,3.2,-126.4,0.012654729513451457,0.00030899992561899124,0.02098400704562664,0.026989928830880673,-0.002994181402027607,0.0014840102638117969,0.0,-0.2,-1056.6,27.2,-2.2,0.6,AUTO
11:33:09,586040.0,-35.3632619,149.1652381,2071.0,2.0,17.0,-147.0,0.04188840836286545,-0.004474010318517685,0.02091652899980545,0.04293447732925415,-0.00904325395822525,0.003160442691296339,0.0,-2.0,-1003.0,43.0,-8.0,2.0,AUTO
11:33:10,587952.0,-35.36326106,149.16524342,3985.4,4.8,43.6,-146.4,-0.006942363642156124,0.012783527560532092,-0.05407270528376103,-0.08165853731334209,0.012152613140642643,-0.06009693965315819,3.6,-9.6,-1001.6,-80.8,12.8,-60.0,AUTO
11:33:11,589100.0,-35.3632608,149.1652463,5139.0,1.0,14.0,-149.0,-0.05050284415483475,0.00239787669852376,-0.08054456114768982,-0.06588180363178253,-0.003099939553067088,-0.03349633142352104,2.0,-4.0,-998.0,-65.0,-2.0,-33.0,AUTO
11:33:12,591032.0,-35.36326104,149.16524274,7067.6,-7.4,-51.6,-149.6,-0.03102814182639122,0.0030798327206866816,-0.10595496892929077,0.06274982392787934,0.006990454188780859,-0.0067703822045587,-4.6,9.6,-1001.6,62.8,7.0,-6.6,AUTO
11:33:13,592200.0,-35.3632617,149.165238,8232.0,-15.0,-53.0,-152.0,0.018130188807845116,0.00998479314148426,-0.10809508711099625,0.06696538627147675,0.008724919520318508,0.0020728271920233965,-7.0,15.0,-1004.0,67.0,9.0,1.0,AUTO
11:33:14,594158.0,-35.363263599999996,149.16523486,10194.2,-8.4,10.6,-150.6,0.04714230624958873,-0.024146351090166718,-0.0713390439748764,-0.048234067112207415,-0.035672486666589974,0.04672682285308838,2.2,1.4,-998.0,-47.6,-34.6,46.0,AUTO
11:33:15,595310.0,-35.3632635,149.1652363,11349.0,23.0,23.0,-149.0,-0.012283549644052982,-0.026813961565494537,-0.05993211269378662,-0.056977588683366776,0.07720966637134552,-0.06829045712947845,-1.0,-6.0,-1005.0,-56.0,77.0,-68.0,AUTO
