time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
06:46:04,190627.0,0.5,4.5,-963.0,21.5,-27.5,-20.5,-35.363264900000004,149.1652343,32763.5,-10.5,-18.0,-82.5,0.0235573158133775,-0.04123480059206486,0.18843649327754974,0.02015656977891922,-0.02862094435840845,-0.020853990223258734,AUTO
06:46:06,190627.0,-1.0,4.0,-983.0,149.5,20.5,-9.5,-35.36326255,149.16523635,33840.5,19.5,26.0,-30.0,0.009447489632293582,0.007762222021938214,0.14478859305381775,0.14822696894407272,0.020097391679883003,-0.01002742350101471,AUTO
06:46:07,57988.0,0.0,-2.75,-975.0,269.0,36.5,16.75,-35.363261175,149.165238625,34005.75,7.25,13.25,-2.25,-0.009673489832493942,0.02442035637795925,0.13618464022874832,0.2689977325499058,0.0349782615667209,0.016612427280051634,AUTO
06:46:08,57988.0,0.0,-3.5,-1014.5,-159.5,-72.5,-12.5,-35.363261,149.16523895,33913.0,1.5,-1.5,7.5,-0.004533642902970314,-0.013115988578647375,0.12443720921874046,-0.1606195569038391,-0.07394133321940899,-0.012941212859004736,AUTO
06:46:10,57988.0,-24.0,-9.0,-1027.5,12.0,-13.0,402.0,-35.363254100000006,149.16524420000002,34071.5,105.0,50.0,-28.0,-0.0016299625858664513,-0.10876812040805817,0.5332704782485962,0.010590940713882446,-0.014645518269389868,0.4023999753408134,AUTO
06:46:11,200.0,-44.0,-18.75,-1030.0,39.0,49.5,-101.75,-35.363241675,149.165253375,34446.25,189.25,92.75,-51.5,-0.00581056484952569,-0.12369982339441776,0.6578157991170883,0.03815299738198519,0.04863494634628296,-0.1020744126290083,AUTO
06:46:12,200.0,-47.0,-11.0,-1006.0,295.5,118.0,-19.0,-35.363223149999996,149.16526595,35081.5,209.5,103.0,-69.5,0.02879694104194641,-0.019116682466119528,0.6187557876110077,0.2948416918516159,0.11778934672474861,-0.019749717321246862,AUTO
06:46:14,200.0,-31.5,-30.0,-981.0,-108.5,18.5,10.5,-35.363193,149.16528720000002,36254.0,125.5,67.0,-40.5,0.019961954094469547,0.02219650987535715,0.6033314764499664,-0.10835450142621994,0.017998073250055313,0.01118924142792821,AUTO
06:46:15,159132.0,-21.25,-5.75,-981.0,123.25,17.5,3.75,-35.363183475,149.165294275,36587.75,82.75,43.25,-23.0,0.015033569652587175,0.038405208848416805,0.5995447784662247,0.12293715006671846,0.01692555216141045,0.003932177438400686,AUTO
06:46:16,159132.0,-8.5,2.5,-979.5,24.0,-20.0,-6.5,-35.3631782,149.16529789999998,36733.5,33.5,17.5,-6.0,0.014648792333900928,0.052764853462576866,0.596476137638092,0.02365851402282715,-0.02090632915496826,-0.006415908690541983,AUTO
06:46:18,159132.0,-16.0,-13.5,-1025.0,-143.5,-15.5,-10.5,-35.36317355,149.16530065,36771.0,63.5,35.5,-10.5,0.0027766707353293896,-0.09538273885846138,0.5874883234500885,-0.14390137046575546,-0.016482681035995483,-0.011329788714647293,AUTO
06:46:19,269670.0,-29.25,-20.0,-1023.0,-33.0,21.5,-4.75,-35.36316475,149.16530625,36981.25,128.5,71.75,-33.5,0.01993076433427632,-0.07711845450103283,0.5821664035320282,-0.03382799029350281,0.02100022108061239,-0.005194727797061205,AUTO
06:46:20,269670.0,-31.0,-38.0,-999.0,-191.5,135.5,-2.0,-35.3631522,149.1653148,37398.5,136.0,78.5,-45.5,0.02856937237083912,0.006184633821249008,0.5801735818386078,-0.19196810014545918,0.13481057807803154,-0.0029324700008146465,AUTO
06:46:22,269670.0,2.0,-5.5,-982.5,86.5,-89.5,2.0,-35.363139950000004,149.1653252,37984.5,5.0,6.5,-6.5,0.0012774151691701263,0.04481212515383959,0.5720075368881226,0.08623769879341125,-0.09125456027686596,0.001970896148122847,AUTO
06:46:23,281348.0,0.5,-22.75,-995.75,-328.25,-98.5,7.25,-35.36314025,149.165325825,37988.0,2.75,-2.25,2.25,-0.011544588720425963,-0.03446397272637114,0.5696246325969696,-0.328183826059103,-0.09988053515553474,0.007428981363773346,AUTO
06:46:24,281348.0,-15.0,-9.5,-1024.5,-112.0,4.5,-7.0,-35.3631375,149.1653277,38018.0,71.0,29.5,-12.5,-0.005308051768224686,-0.09747423976659775,0.5672646462917328,-0.11262310296297073,0.003214411437511444,-0.007911573047749698,AUTO
