time_stamp,RTL_ALT,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
05:28:53,5847.0,RTL,-1.0,2.25,-1025.25,57.75,6.5,4.5,-35.362578175,149.165441075,95856.5,1.0,-2.75,-5.75,0.0055322672124020755,-0.00045914287693449296,0.23764675483107567,0.054041486233472824,0.003944176773075014,0.001131636556237936
05:28:54,5847.0,RTL,0.5,13.5,-1037.5,260.0,-0.5,3.5,-35.3625781,149.1654408,95986.5,1.0,0.0,-32.5,0.006664643413387239,-0.0004594741330947727,0.2379157468676567,0.25607067346572876,-0.0040050083771348,-0.00014129525516182184
05:28:56,5847.0,RTL,0.0,-11.0,-958.5,-144.5,2.5,0.0,-35.3625781,149.16544115,96971.0,1.0,0.5,-32.5,-0.004770002560690045,0.0017092167981900275,0.23804891109466553,-0.14782097190618515,-0.000257113017141819,-0.00394866825081408
05:28:57,300000.0,RTL,0.25,-7.25,-990.75,-87.5,3.25,4.0,-35.362578150000004,149.1654417,97111.25,1.0,-3.5,1.75,-0.006758478935807943,0.0021848249016329646,0.237733144313097,-0.09141802950762212,0.0005695972358807921,0.0005302706267684698
05:28:58,300000.0,RTL,1.0,14.0,-999.5,535.0,1.5,2.0,-35.3625782,149.16544205000002,97087.5,1.5,-6.0,3.0,-0.0012588551617227495,0.0016068358672782779,0.23795534670352936,0.5326262712478638,-0.0016838867450132966,-0.001661346759647131
05:29:00,300000.0,RTL,0.0,0.0,-1014.0,104.0,1.0,5.0,-35.3625784,149.1654428,97594.5,4.0,-12.5,-55.5,-0.009974056854844093,0.0007349766965489835,0.23792137205600739,0.10082999616861343,-0.0014724694192409515,0.00102769467048347
05:29:01,200.0,RTL,-0.75,2.25,-956.0,94.0,3.5,3.5,-35.362578475,149.16544249999998,98229.5,4.0,-13.5,-32.5,-0.004686000989750028,-0.0005919716859352775,0.2378968484699726,0.0906332591548562,0.0007630816544406116,0.00013124261749908328
05:29:02,200.0,RTL,-2.0,-21.0,-970.0,-464.5,0.5,4.5,-35.3625784,149.16544199999998,98383.5,3.0,-12.0,-4.0,-0.004819999099709094,-0.0007449419499607757,0.23767878860235214,-0.46787887811660767,-0.0019319119164720178,0.000859155086800456
05:29:04,200.0,RTL,0.0,5.0,-1040.0,280.0,2.0,4.0,-35.3625781,149.1654406,98392.5,1.0,0.5,-16.0,0.012838325928896666,-0.0010102703236043453,0.2378317415714264,0.2773921121843159,-0.0007297012489289045,0.00028667901642620564
05:29:05,140464.0,RTL,-0.5,4.75,-1011.0,88.25,1.75,4.75,-35.362577949999995,149.16544,98887.75,0.0,4.5,-53.25,0.011099022347480059,-0.0006735951901646331,0.23807468637824059,0.0851810984313488,-0.0007136337808333337,0.0012589215184561908
05:29:06,140464.0,RTL,0.0,-13.0,-968.5,-264.5,4.5,1.0,-35.3625779,149.1654397,99294.0,0.0,7.5,-46.0,0.009101778967306018,-0.0007053096196614206,0.23839730769395828,-0.2682536020874977,0.0019313321681693196,-0.0022238160017877817
05:29:08,140464.0,RTL,2.5,-2.0,-993.5,254.0,1.0,1.5,-35.3625779,149.16544045,99577.0,0.0,8.5,3.5,0.0028586358530446887,0.0028076940216124058,0.23822591453790665,0.2511056065559387,-0.002196199377067387,-0.0019623853731900454
05:29:09,200.0,RTL,0.75,1.0,-1037.75,61.75,1.0,4.0,-35.362578150000004,149.165441475,99634.25,0.5,0.5,-20.25,-0.006822499097324908,0.0008763415862631518,0.2377072609961033,0.058490616269409657,-0.001942322007380426,1.798500306904316e-05
05:29:10,200.0,RTL,0.0,8.5,-1028.0,139.5,0.0,5.0,-35.3625782,149.1654416,99890.5,1.0,-2.5,-47.5,-0.0017146047321148217,-4.63570713691297e-05,0.23777101933956146,0.13632968440651894,-0.003423108020797372,0.0014753477880731225
05:29:12,200.0,RTL,-0.5,-13.0,-953.0,1.0,2.0,5.0,-35.3625782,149.16544084999998,100777.0,1.0,0.0,-11.0,0.00788467947859317,-0.0005522437713807449,0.23727650195360184,-0.001758873462677002,-0.0007933111628517509,0.0011454953346401453
05:29:13,159984.0,RTL,0.0,-5.5,-1001.0,45.75,2.75,4.5,-35.3625782,149.165440625,100787.5,1.0,2.75,4.0,0.006525016506202519,0.0001569388186908327,0.23799900338053703,0.042701780796051025,0.0006667423585895449,0.0007753698737360537
05:29:14,159984.0,RTL,1.0,17.5,-1023.0,160.0,4.0,1.0,-35.3625782,149.1654409,100778.0,1.0,3.5,-4.0,-0.0045858971134293824,0.0015704479883424938,0.2383347675204277,0.15614894032478333,0.000995988491922617,-0.0026952633634209633
05:29:16,159984.0,RTL,0.0,15.0,-987.5,265.0,0.0,5.0,-35.3625783,149.16544245,101532.0,2.5,-7.0,-51.5,-0.012691819109022617,0.001349165744613856,0.2384173944592476,0.26188839972019196,-0.0035807648673653603,0.0010831907857209444
05:29:17,174319.0,RTL,0.0,4.25,-967.25,174.5,1.0,3.25,-35.36257845,149.16544285,101943.25,3.5,-13.0,-9.25,-0.009476502949837595,0.00036438690926843265,0.23784365877509117,0.1718420349061489,-0.0017746028606779873,-0.0005502641433849931
05:29:18,174319.0,RTL,-0.5,10.5,-996.0,-79.0,3.5,4.0,-35.3625785,149.16544275,101968.0,4.0,-14.0,2.5,-0.011975736124441028,-0.0002328691061848076,0.23737015575170517,-0.08315467834472656,0.0013637362280860543,0.00020954199135303497
05:29:20,174319.0,RTL,-1.0,-12.5,-1034.0,-320.5,7.5,2.5,-35.3625783,149.1654415,102127.0,3.0,-7.5,-37.0,-0.0006942815380170941,-0.0011851400486193597,0.2376338392496109,-0.3234310671687126,0.00509668025188148,-0.001355435699224472
05:29:21,200.0,RTL,-0.25,-4.5,-980.75,-97.5,2.0,4.0,-35.362578125000006,149.16544082500002,102761.5,1.25,-1.25,-49.75,0.0043504722489160486,-0.0005944685399299487,0.2384396456182003,-0.10017922148108482,-0.0006001174333505332,0.00044007727410644293
05:29:22,200.0,RTL,-0.5,23.0,-955.5,404.0,0.0,3.5,-35.3625781,149.1654406,103073.5,1.0,1.0,-24.5,0.007122305338270962,-0.0006312146579148248,0.23863383382558823,0.40123961865901947,-0.0029318596934899688,-3.655953332781792e-05
05:29:24,200.0,RTL,1.0,-23.0,-1017.0,-551.5,5.5,3.5,-35.3625781,149.16544155,103130.0,1.0,0.0,-0.5,-0.01622706837952137,0.003482405561953783,0.23824233561754227,-0.5545770823955536,0.003192777279764414,-0.00020034192129969597
05:29:25,300000.0,RTL,1.0,-5.25,-1032.0,-6.75,0.5,2.0,-35.362578275,149.165442825,103398.25,2.25,-9.75,-42.75,-0.016450207913294435,0.0029856322798877954,0.2378077208995819,-0.00909670814871788,-0.0025488973478786647,-0.0016257909592241049
05:29:26,300000.0,RTL,0.5,-8.0,-1000.0,-226.0,-1.5,4.0,-35.3625784,149.16544325,103786.0,3.0,-14.5,-56.5,-0.018852414563298225,0.0006751483233529143,0.23807062208652496,-0.22875194251537323,-0.00449987081810832,0.0010600367095321417
05:29:28,300000.0,RTL,-1.0,-15.5,-980.0,-547.0,2.5,4.5,-35.3625785,149.1654423,104395.0,4.0,-13.0,1.0,-0.010476857889443636,-0.001998569758143276,0.2380654737353325,-0.5494005382061005,0.00020950462203472853,0.0013583579566329718
05:29:29,63735.0,RTL,-1.25,-4.0,-1023.5,-31.75,2.0,3.0,-35.3625784,149.16544132500002,104368.25,3.5,-7.25,-4.0,0.004332841173891211,-0.0024486611364409328,0.23813370615243912,-0.03363171964883804,-0.000159663351951167,-0.00036281178472563624
05:29:30,63735.0,RTL,0.0,-11.0,-1040.0,-60.0,5.5,1.0,-35.3625783,149.16544095,104471.0,3.0,-2.5,-28.5,0.004669370886404067,-0.0011925701692234725,0.23786921054124832,-0.06146992743015289,0.003127638017758727,-0.002489076927304268
05:29:32,63735.0,RTL,-0.5,1.5,-953.5,-96.0,5.5,3.5,-35.362578049999996,149.1654404,105454.5,0.5,2.0,-37.5,0.004134591086767614,-0.0002673743510968052,0.23848804086446762,-0.09891358762979507,0.003252436174079776,-0.00017884024418890476
05:29:33,193131.0,RTL,-0.25,8.75,-986.75,28.25,4.0,4.75,-35.362578,149.16544015,105643.75,0.0,5.25,0.5,0.006627259572269395,-0.0001594798086443916,0.23831256106495857,0.025502383708953857,0.001365340081974864,0.0011892950278706849
05:29:34,193131.0,RTL,-0.5,-29.0,-997.0,-443.5,1.5,2.5,-35.362578,149.16544,105621.5,0.0,6.0,3.5,0.0033682413632050157,-0.0006364471919368953,0.2379959374666214,-0.4453250989317894,-0.0003285562270320952,-0.001345637021586299
05:29:36,193131.0,RTL,1.0,-9.5,-1017.0,-95.5,5.5,1.5,-35.362578,149.1654409,106073.5,0.5,4.5,-54.0,-0.005867569096153602,0.002538883942179382,0.239183247089386,-0.09724881500005722,0.003052429878152907,-0.0017467712750658393
05:29:37,200.0,RTL,1.5,-5.0,-960.75,20.25,1.0,2.75,-35.3625782,149.1654422,106717.25,1.25,-3.5,-34.5,-0.012830656487494707,0.003153459692839533,0.23831810802221298,0.01783675979822874,-0.0018018825212493539,-0.0008283092174679041
05:29:38,200.0,RTL,0.0,-6.0,-972.5,-355.0,-0.5,3.5,-35.3625783,149.16544275,106889.5,2.0,-9.0,-6.0,-0.022318328730762005,0.0020961786503903568,0.23819532990455627,-0.3580577112734318,-0.00280208105687052,-0.00011383241508156061
05:29:40,200.0,RTL,-0.5,-7.5,-1033.0,80.0,1.0,4.0,-35.3625784,149.1654422,106895.0,3.0,-12.0,-15.0,0.001845370963565074,-0.0018483735038898885,0.237923726439476,0.07852984964847565,-0.0016780011355876923,0.0009572352282702923
05:29:41,93126.0,RTL,-1.0,3.75,-1014.75,68.0,2.25,3.5,-35.36257835,149.1654413,107371.5,3.0,-5.5,-54.25,0.004806812357855961,-0.0017141452408395708,0.23864370211958885,0.0662583417724818,0.0003763778950087726,5.977792898193002e-05
05:29:42,93126.0,RTL,-0.5,-6.5,-973.0,-198.5,4.0,3.5,-35.36257825,149.16544095,107794.5,2.5,-2.0,-52.0,0.0006655522156506777,-0.000554217433091253,0.23862195760011673,-0.20138118416070938,0.0019229855388402939,-0.00016823108308017254
05:29:44,93126.0,RTL,0.0,-16.0,-999.0,-516.5,1.0,4.5,-35.3625781,149.1654408,108165.0,1.0,1.0,3.5,-0.008298871805891395,0.0001121567802329082,0.23825634270906448,-0.5191653966903687,-0.0013120630756020546,0.0011587475892156363
05:29:45,300000.0,RTL,0.25,-13.0,-1039.0,-186.25,3.0,2.75,-35.3625781,149.16544085,108186.5,1.0,0.75,-15.0,-0.0005570977809838951,0.0005477278609760106,0.23812361806631088,-0.1878635175526142,0.0010418398305773735,-0.0004355483688414097
05:29:46,300000.0,RTL,1.0,-2.5,-1035.0,88.0,3.5,1.5,-35.3625781,149.16544115,108401.0,1.0,0.5,-44.0,-0.0009654347086325288,0.0009882467857096344,0.23873095959424973,0.08633074164390564,0.0009362348355352879,-0.001732553238980472
05:29:48,300000.0,RTL,0.5,-1.5,-954.0,-232.0,1.5,3.5,-35.3625783,149.1654422,109344.0,2.0,-7.0,-19.0,-0.01484485063701868,0.0006170850101625547,0.2385917231440544,-0.23395191878080368,-0.0004467439139261842,-9.792693890631199e-05
05:29:49,129296.0,RTL,0.25,4.0,-1001.25,54.5,1.75,3.25,-35.362578424999995,149.16544225,109391.0,3.25,-9.25,3.0,-0.007212904311018065,-0.000821707071736455,0.23818207159638405,0.05262615159153938,-0.0003053690306842327,-0.00022249110043048859
05:29:50,129296.0,RTL,0.0,-20.0,-1023.0,-213.5,3.0,2.0,-35.3625785,149.1654423,109372.0,4.0,-10.0,-0.5,-0.006106705230195075,-0.000636781653156504,0.23831376433372498,-0.21475471556186676,0.001150388503447175,-0.0015091260429471731
05:29:52,129296.0,RTL,0.0,-10.0,-990.0,-212.5,1.5,3.5,-35.3625785,149.1654424,110055.0,4.0,-11.0,-55.5,-0.008935521822422743,0.00019192816254332,0.23847448825836182,-0.21408963203430176,-0.0006517040310427547,0.00048673327546566725
05:29:53,174412.0,RTL,-1.0,7.75,-957.5,84.5,2.25,2.75,-35.36257835,149.165441825,110558.75,3.25,-9.25,-16.5,0.0005087992176413536,-0.00046914386621210724,0.2383449822664261,0.0832840334624052,0.00017259130254387856,-0.00042597472202032804
05:29:54,174412.0,RTL,-0.5,-19.0,-979.5,-534.5,2.5,3.5,-35.36257825,149.1654413,110618.5,2.0,-6.0,1.5,-0.0009093593107536435,-0.0008904212154448032,0.2382851094007492,-0.5362649261951447,0.00038869644049555063,-0.00010140903759747744
05:29:56,174412.0,RTL,0.0,3.0,-1041.0,114.5,1.0,1.5,-35.362578,149.1654403,110715.0,0.0,3.0,-31.5,0.009680290706455708,-0.0006620140338782221,0.23850886523723602,0.11367829889059067,-0.0011225787457078695,-0.0014698650920763612
05:29:57,175581.0,RTL,-0.5,2.5,-986.0,82.0,1.5,2.25,-35.3625779,149.165440025,111325.0,0.0,5.75,-51.5,0.009358408948173746,-0.00011401095616747625,0.2388005293905735,0.0810737144201994,-0.0008709740359336138,-0.0012523005134426057
05:29:58,175581.0,RTL,0.0,-6.0,-956.5,-235.0,8.0,1.5,-35.3625779,149.1654399,111671.0,0.0,7.5,-30.5,0.00326733838301152,0.00043062011718575377,0.23908720910549164,-0.23721539974212646,0.005863213329575956,-0.002160991891287267
05:30:00,175581.0,RTL,1.5,-17.5,-1010.5,-78.5,-1.0,0.0,-35.3625779,149.1654402,111772.5,0.0,6.5,3.0,0.008338699582964182,0.0005830157606396824,0.23849858343601227,-0.0788896232843399,-0.003397971682716161,-0.0038693139795213938
05:30:01,200.0,RTL,0.25,1.75,-1036.5,60.25,2.25,2.5,-35.3625779,149.1654404,111957.5,0.0,5.5,-35.5,0.003354314849275397,0.0005355696193873882,0.23797918856143951,0.05864183884114027,0.0005131251527927816,-0.00044828414684161544
05:30:02,200.0,RTL,0.0,-4.5,-1007.5,-22.0,3.0,4.5,-35.362578,149.16544045,112305.0,0.0,4.5,-54.0,0.0042038628162117675,-4.991315563529497e-05,0.2386300414800644,-0.023189976811408997,0.0009868199122138321,0.0009633494773879647
05:30:04,200.0,RTL,0.0,-21.0,-983.0,-560.0,-0.5,3.0,-35.3625781,149.1654408,112968.0,0.0,2.0,-1.0,-0.007265211548656225,0.00013908735127188265,0.23834950476884842,-0.5626727938652039,-0.0026375683955848217,0.0004809160018339753
05:30:05,77519.0,RTL,-0.5,-3.25,-1015.25,-104.75,2.0,3.75,-35.3625781,149.16544055,112944.5,0.0,2.75,-1.5,0.005005592422094196,-0.001167826951132156,0.2377988025546074,-0.1063319779932499,0.00026050530141219497,0.0005456551443785429
05:30:06,77519.0,RTL,-1.0,-9.0,-1043.0,-52.0,4.0,3.0,-35.3625781,149.16544015,113023.0,0.0,4.5,-25.0,0.011213928926736116,-0.0018930843216367066,0.23839347809553146,-0.05334147810935974,0.002252887934446335,-0.00034152285661548376
05:30:08,77519.0,RTL,0.0,-1.5,-962.0,-144.0,6.0,2.5,-35.3625779,149.1654395,113980.0,0.0,12.5,-40.0,0.007057135924696922,0.0007598398660775274,0.2389339730143547,-0.1459987312555313,0.004179538227617741,-0.000780087080784142
05:30:09,178664.0,RTL,0.0,9.0,-991.5,211.0,2.5,2.0,-35.3625779,149.16543985,114189.25,-1.0,11.25,-0.25,0.007235895725898445,0.0017548399337101728,0.23829511553049088,0.20890525728464127,0.0006699146470054984,-0.0012388874602038413
05:30:10,178664.0,RTL,0.0,-23.0,-1008.0,-554.5,-1.0,0.5,-35.3625779,149.16544005,114170.0,-1.0,9.0,3.0,-0.0024172483244910836,0.0006918382568983361,0.2378980964422226,-0.5568065643310547,-0.0035893925232812762,-0.0026732138358056545
05:30:12,178664.0,RTL,0.5,-10.5,-1020.0,-202.0,5.0,1.0,-35.3625781,149.16544045,114606.0,0.0,6.0,-54.5,-0.0002846397692337632,0.0003708312287926674,0.2385765239596367,-0.20423335582017899,0.0032062018290162086,-0.001958761247806251
05:30:13,272890.0,RTL,0.0,-4.75,-961.75,-113.0,1.25,2.5,-35.3625781,149.165441,115261.5,1.0,2.25,-36.75,-0.00349416647804901,0.0010865925578400493,0.23896894231438637,-0.11541860364377499,-0.0002748395490925759,-0.0007366173667833209
05:30:14,272890.0,RTL,0.0,23.5,-966.0,461.0,1.0,3.5,-35.3625782,149.1654412,115447.5,1.0,0.0,-7.0,0.003003105754032731,0.0007099868962541223,0.23792552202939987,0.4586109071969986,-0.0012560505419969559,0.0003483190666884184
05:30:16,272890.0,RTL,0.0,-22.0,-1033.0,-369.0,3.5,0.5,-35.3625782,149.16544115,115450.5,2.0,-0.5,-12.5,-0.0008948337053880095,-0.0014078068197704852,0.23837298154830933,-0.3713633120059967,0.0019425591453909874,-0.0025349778588861227
05:30:17,247975.0,RTL,-0.25,-1.0,-1016.75,35.0,3.75,2.75,-35.3625782,149.165441,115906.5,2.0,0.25,-53.0,0.0034362427541054785,-0.0010101790394401178,0.23847315087914467,0.03301015682518482,0.0021012487704865634,-0.00010531186126172543
05:30:18,247975.0,RTL,-0.5,6.5,-977.5,30.5,1.5,2.5,-35.3625782,149.1654409,116329.5,2.0,0.5,-52.0,0.001188642461784184,0.00045201514149084687,0.23903696238994598,0.027991682291030884,-0.0006613512523472309,-0.0008118947735056281
05:30:20,247975.0,RTL,0.0,10.0,-994.5,-51.0,3.5,2.5,-35.3625781,149.16544095,116707.0,1.0,1.5,3.0,-0.00417489360916079,0.0007536495104432106,0.23852909356355667,-0.053895726799964905,0.0023882598616182804,-0.0008953912183642387
05:30:21,300000.0,RTL,0.25,-7.25,-1034.25,-116.0,1.5,2.0,-35.362578150000004,149.165441525,116722.5,1.25,-1.0,-14.5,-0.007072776366840117,0.0012817918905057013,0.2384604774415493,-0.11771543696522713,-0.00016513012815266848,-0.0009256833873223513
05:30:22,300000.0,RTL,0.0,-7.5,-1033.0,-229.5,2.5,3.5,-35.3625782,149.1654419,116928.0,2.0,-4.0,-42.0,-0.010944627691060305,0.0009362436539959162,0.23840633779764175,-0.23184777796268463,0.0005492893978953362,0.0006487156497314572
05:30:24,300000.0,RTL,0.0,25.0,-959.5,401.0,-1.0,2.0,-35.3625784,149.16544215,117856.5,3.0,-8.5,-18.5,-0.0029957499355077744,-0.0003716458013514057,0.23836539685726166,0.3990430012345314,-0.0026818887563422322,-0.0005948793841525912
05:30:25,50129.0,RTL,-0.5,9.25,-1004.0,136.75,2.25,1.0,-35.3625784,149.165441925,117905.5,3.25,-7.5,2.75,-0.0038283218746073544,-0.0007377971342066303,0.2385123036801815,0.1343725025653839,0.0006969391251914203,-0.0019026011577807367
05:30:26,50129.0,RTL,0.0,-8.0,-1020.0,-309.5,4.0,0.5,-35.3625784,149.165442,117889.5,3.0,-7.0,-1.5,-0.012222847435623407,0.0006267185235628858,0.23821094632148743,-0.31173717975616455,0.0023661856539547443,-0.0024956543929874897
05:30:28,50129.0,RTL,0.5,2.0,-994.0,-42.0,-0.5,3.5,-35.3625783,149.1654421,118587.0,2.5,-8.5,-54.0,-0.007347193546593189,0.0011905938445124775,0.2387065887451172,-0.04432090371847153,-0.002706929575651884,0.0007916059112176299
05:30:29,88895.0,RTL,-0.25,-5.25,-963.25,-17.75,1.75,2.75,-35.3625783,149.165442025,119055.5,2.0,-8.5,-13.25,-0.003963631548685953,0.0007476422033505514,0.23805878683924675,-0.0190968606621027,0.00026850111316889524,8.032750338315964e-05
05:30:30,88895.0,RTL,-0.5,15.0,-994.0,14.5,2.0,4.5,-35.3625782,149.1654419,119099.5,1.5,-7.5,2.0,-0.007810352835804224,0.000972486101090908,0.23853405565023422,0.012450873851776123,0.00036952842492610216,0.0013389987871050835
05:30:32,88895.0,RTL,-1.0,-9.5,-1036.5,-313.0,1.0,4.0,-35.3625781,149.16544065,119210.5,0.5,-1.0,-31.5,0.00480412133038044,-0.0020762240746989846,0.23831559717655182,-0.3152092769742012,-0.0010092123411595821,0.001312940032221377
05:30:33,25818.0,RTL,-1.25,-3.5,-986.5,-135.75,3.0,3.0,-35.362578,149.165439775,119823.5,0.0,5.5,-50.5,0.011236921534873545,-0.0017097129602916539,0.23856830224394798,-0.1374855749309063,0.0015891084331087768,0.00034916558070108294
05:30:34,25818.0,RTL,0.0,17.0,-961.0,355.0,2.0,4.0,-35.3625779,149.1654394,120163.5,0.0,9.5,-28.5,0.017192778177559376,-0.0009538581653032452,0.23819776624441147,0.35374073684215546,1.8657417967915535e-05,0.0009902806486934423
05:30:36,25818.0,RTL,0.0,10.5,-1005.0,-118.5,1.0,3.5,-35.3625777,149.16543869999998,120257.0,-2.0,16.5,3.5,0.010512473294511437,-0.0007704828167334199,0.23872985690832138,-0.12143514305353165,-0.0004754947731271386,0.0005843173712491989
05:30:37,214565.0,RTL,0.75,-5.25,-1033.5,-89.75,1.5,1.0,-35.3625777,149.16543877499998,120421.0,-2.0,19.5,-32.5,0.011781553272157907,0.0004092477920494275,0.23856442794203758,-0.09193264693021774,0.00022950739366933703,-0.0013478136097546667
05:30:38,214565.0,RTL,1.0,-5.0,-1009.0,-175.0,3.5,2.0,-35.3625777,149.16543925000002,120755.5,-2.0,18.0,-51.5,0.0032973423367366195,0.0018726871930994093,0.23916780948638916,-0.1779721723869443,0.0016186401480808854,-0.0009791313204914331
05:30:40,214565.0,RTL,0.5,-23.0,-982.5,-537.0,1.5,3.5,-35.362578049999996,149.16544095,121391.5,0.0,5.0,-1.0,-0.010318714659661055,0.0014904857380315661,0.2383127436041832,-0.5397768020629883,0.0001663758885115385,0.00025533512234687805
05:30:41,66923.0,RTL,-0.25,-8.0,-1018.0,-145.0,-0.25,1.0,-35.3625782,149.16544137499997,121365.5,1.0,-0.25,0.25,-0.00408515494200401,0.00032826529240992386,0.2387867495417595,-0.14719830825924873,-0.001683324750047177,-0.0019379216246306896
