,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG
05:31:17.491,300000.0,1.1,0.4,-2.6,0.25,0.3,0.0,2876.0,1000.0,1.0,0.1,50.0,50.0,327.0,0.0
05:31:21.013,105897.0,0.0,1.1,10.1,0.25,4.8,0.0,32000.0,590.0,1.0,0.1,50.0,50.0,147.0,0.0
05:31:25.036,196711.0,1.1,0.9,1.2,0.25,1.0,0.0,4828.0,430.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:31:29.060,123370.0,1.1,2.0,-5.7,0.25,5.1,0.0,29097.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:31:33.110,217842.0,0.0,0.0,-10.0,0.25,2.7,0.0,12395.0,220.0,1.0,0.1,50.0,50.0,759.0,0.0
05:31:37.137,202182.0,0.1,0.8,-4.6,0.25,0.0,0.0,22961.0,1000.0,1.0,0.1,50.0,50.0,637.0,0.0
05:31:41.163,200.0,1.1,1.5,2.6,0.25,5.1,0.0,32000.0,880.0,1.0,0.1,50.0,50.0,0.0,0.0
05:31:45.204,48125.0,1.0,2.0,2.7,0.25,0.0,0.0,0.0,800.0,1.0,0.1,50.0,50.0,641.0,0.0
05:31:49.234,248123.0,0.5,1.6,-0.1,0.25,5.0,0.0,0.0,0.0,1.0,0.1,50.0,50.0,674.0,0.0
05:31:53.253,2291.0,0.5,0.0,3.0,0.25,3.8,0.0,28031.0,260.0,1.0,0.1,50.0,50.0,0.0,0.0
05:31:57.285,169870.0,1.1,0.8,-1.8,0.25,1.4,0.0,8303.0,320.0,1.0,0.1,50.0,50.0,586.0,0.0
05:32:01.320,205824.0,0.0,0.5,5.5,0.25,4.7,0.0,32000.0,0.0,1.0,0.1,50.0,50.0,432.0,0.0
05:32:05.352,300000.0,1.1,1.5,6.4,0.25,0.0,0.0,17174.0,1000.0,1.0,0.1,50.0,50.0,593.0,0.0
05:32:09.374,93928.0,0.7,0.0,2.9,0.25,4.4,0.0,13912.0,0.0,1.0,0.1,50.0,50.0,226.0,0.0
05:32:13.400,98959.0,1.1,2.0,-10.0,0.25,1.7,0.0,0.0,790.0,1.0,0.1,50.0,50.0,367.0,0.0
05:32:17.431,291259.0,0.6,2.0,7.6,0.25,3.8,0.0,13230.0,890.0,1.0,0.1,50.0,50.0,507.0,0.0
05:32:21.462,161970.0,0.3,2.0,7.0,0.25,5.1,0.0,17790.0,870.0,1.0,0.1,50.0,50.0,642.0,0.0
05:32:25.479,13925.0,0.7,1.1,-0.5,0.25,4.1,0.0,26073.0,60.0,1.0,0.1,50.0,50.0,63.0,0.0
05:32:29.512,300000.0,0.5,0.6,1.0,0.25,4.3,0.0,13715.0,390.0,1.0,0.1,50.0,50.0,1000.0,0.0
05:32:33.040,257935.0,0.6,2.0,-10.0,0.25,5.1,0.0,18622.0,0.0,1.0,0.1,50.0,50.0,747.0,0.0
05:32:37.068,180427.0,1.1,1.3,-1.3,0.25,4.8,0.0,0.0,70.0,1.0,0.1,50.0,50.0,0.0,0.0
05:32:41.096,233826.0,1.0,0.8,-4.1,0.25,3.8,0.0,1475.0,720.0,1.0,0.1,50.0,50.0,0.0,0.0
