time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,chan4_raw,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
16:40:44,-0.027764802798628807,-0.04862409457564354,-0.1555778943002224,-0.028679225593805313,0.1043643057346344,-0.43303896486759186,-18.0,0.0,-963.0,-27.0,105.0,-432.0,AUTO,1452.0,-35.3632664,149.1652396,48605.0,68.5,-52.5,-140.5,1500.0
16:40:46,0.037919657304883,0.04958636127412319,-0.3133806139230728,-0.08099477738142014,-0.03532607853412628,0.02002367563545704,2.0,-2.0,-970.0,-79.0,-33.5,20.5,AUTO,1500.0,-35.363258849999994,149.1652317,50167.5,-3.0,17.5,-23.5,1500.0
16:40:48,-0.025466940365731716,-0.02972600795328617,-0.28304147720336914,0.562419593334198,-0.042523471638560295,0.013045720756053925,2.5,9.0,-1016.5,562.0,-40.5,13.0,AUTO,1500.0,-35.36326095,149.16523765,50071.0,-13.0,3.0,15.5,1500.0
16:40:50,0.009618715848773718,-0.08287958428263664,-0.8084476888179779,-0.5042470991611481,-0.029633204452693462,-0.6810568273067474,-20.5,-30.0,-1006.5,-503.0,-28.0,-680.0,AUTO,1500.0,-35.363258,149.1652301,49953.5,56.5,-72.0,-1.5,1500.0
16:40:52,0.045679161325097084,-0.15497007220983505,-0.9050680696964264,0.017816320061683655,-0.016584448982030153,0.03323846124112606,-49.0,-46.0,-1002.0,18.0,-15.0,33.0,AUTO,1500.0,-35.36323875,149.16520150000002,49940.0,173.0,-196.0,0.0,1500.0
16:40:54,0.05390971340239048,-0.19484911113977432,-0.8895760774612427,-0.08146282355301082,-0.013846757297869772,0.010058991611003876,-95.5,-59.5,-1004.5,-80.0,-12.5,10.5,AUTO,1500.0,-35.363196099999996,149.165142,49913.5,302.0,-353.0,0.5,1500.0
16:40:56,-0.07480168901383877,-0.1617489457130432,-0.0025755055248737335,0.011847065761685371,-0.0017816530889831483,0.7880164980888367,-133.5,56.0,-991.5,12.5,-1.0,788.5,AUTO,1815.0,-35.36313135,149.16505005,49951.0,399.5,-469.5,-5.5,1500.0
16:40:58,-0.14444053173065186,0.006028100266121328,1.3538997769355774,-0.043114544823765755,-0.03158472012728453,0.13625939190387726,8.5,154.0,-992.0,-41.5,-29.5,136.5,AUTO,1500.0,-35.36305525,149.1649425,50021.0,427.5,-497.5,-5.0,1500.0
16:41:00,-0.08570640534162521,-0.029328560456633568,1.285803198814392,0.24655397888273,-0.038290902972221375,0.0007224150467664003,-5.0,137.5,-990.0,246.5,-36.5,1.5,AUTO,1500.0,-35.36297935,149.16483515,50050.5,397.0,-464.5,-3.5,1500.0
16:41:02,-0.00833975023124367,-0.06903231516480446,1.2882110476493835,-0.6145838797092438,-0.005553959286771715,-5.751376738771796e-05,-3.5,82.5,-992.5,-612.0,-4.0,1.0,AUTO,1500.0,-35.362917550000006,149.1647479,50043.5,276.0,-316.5,2.0,1500.0
16:41:04,0.05062856525182724,-0.13916950672864914,1.2833983302116394,-0.17289751768112183,-0.04335176944732666,-0.011894797906279564,-15.5,45.0,-1008.0,-170.0,-41.5,-10.5,AUTO,1500.0,-35.3628806,149.1647034,49981.5,146.0,-82.5,0.0,1500.0
16:41:06,0.10092012584209442,-0.17496855556964874,1.0647188425064087,0.28608061745762825,-0.00444269081344828,0.37054386734962463,-43.5,-32.5,-1011.0,286.5,-3.0,371.5,AUTO,1500.0,-35.362861800000005,149.16472090000002,49915.0,96.5,217.5,1.0,1500.0
16:41:08,0.11446867138147354,-0.1708448976278305,0.98807492852211,-0.04528308380395174,-0.029174309689551592,-0.8895727396011353,-76.5,-91.5,-998.5,-45.0,-27.0,-888.0,AUTO,1232.0,-35.3628434,149.16480025,49893.5,129.5,462.5,-0.5,1500.0
16:41:10,0.1463053971529007,0.12061799317598343,-0.48438696563243866,-0.014607799705117941,-0.011007418390363455,-0.7092721164226532,106.0,-108.5,-993.0,-13.5,-9.5,-708.0,AUTO,1232.0,-35.362816,149.16492435,49943.5,164.5,627.0,-7.0,1500.0
16:41:12,0.055869920179247856,0.142681322991848,-0.8266683220863342,-0.03952961415052414,-0.007559783523902297,0.0012761708348989487,141.5,-75.5,-984.0,-39.5,-5.5,2.0,AUTO,1500.0,-35.36278605,149.1650699,50039.0,160.5,667.5,-5.0,1500.0
16:41:14,0.0815916620194912,0.14410008490085602,-0.8236009180545807,0.05151998996734619,0.002490509650669992,0.01165057485923171,139.5,-53.0,-988.0,52.5,4.0,12.5,AUTO,1500.0,-35.3627565,149.1652167,49987.5,170.5,671.5,1.0,1500.0
16:41:16,0.07318807020783424,0.14773637801408768,-0.8232605159282684,-0.09107471629977226,-0.007487725932151079,-0.003495053853839636,144.5,-64.0,-983.5,-90.5,-5.5,-2.5,AUTO,1500.0,-35.3627253,149.16536324999998,49983.0,180.0,671.0,-1.5,1500.0
16:41:18,0.07743056863546371,0.1420341581106186,-0.8235547542572021,0.08600206021219492,-0.0031032063998281956,-0.015043704770505428,135.0,-64.0,-992.0,86.5,-1.0,-13.5,AUTO,1500.0,-35.36269385,149.1655095,49972.0,183.0,669.0,-1.0,1500.0
16:41:20,0.07166340202093124,0.14425956457853317,-0.8227593898773193,-0.042830235324800014,0.00687001645565033,0.001884722092654556,136.0,-62.0,-982.0,-41.5,9.0,3.0,AUTO,1500.0,-35.3626618,149.16565535,49982.0,182.5,665.0,-2.5,1500.0
16:41:22,0.14586426317691803,0.03548243176192045,0.09744245535694063,-0.03776127099990845,0.014273350068833679,0.7395581603050232,35.5,-152.5,-984.5,-37.0,16.0,740.5,AUTO,1958.0,-35.362630249999995,149.1658009,49987.5,177.5,658.5,-3.0,1500.0
16:41:24,0.06462470628321171,-0.14782661944627762,1.4072272181510925,0.056012414395809174,-0.023476825561374426,0.08692832291126251,-137.5,-58.0,-987.0,56.5,-21.0,88.5,AUTO,1500.0,-35.362598899999995,149.1659444,49975.0,180.5,651.5,0.0,1500.0
16:41:26,0.08538632839918137,-0.13559219986200333,1.3104803562164307,0.034735434921458364,0.03461165726184845,-0.00497055659070611,-140.5,-75.0,-1000.0,35.5,36.5,-3.0,AUTO,1500.0,-35.36256615,149.1660894,49969.5,178.5,670.5,-3.5,1500.0
16:41:28,0.0864885188639164,-0.12960079312324524,1.3099896907806396,0.03902795538306236,0.011859012651257217,-0.005447970353998244,-140.5,-85.5,-994.0,40.5,14.0,-3.0,AUTO,1500.0,-35.3625338,149.16623585000002,50004.5,172.0,663.5,-1.0,1500.0
16:41:30,0.08495654165744781,-0.1324489638209343,1.309150218963623,-0.08045249804854393,0.007737470441497862,-0.010198716074228287,-135.5,-84.0,-987.5,-79.0,9.5,-9.0,AUTO,1500.0,-35.3625023,149.16638075,49999.0,170.0,657.0,0.0,1500.0
16:41:32,0.11639769747853279,-0.10248792171478271,1.0030135214328766,-0.02177169919013977,-0.005824467865750194,-0.8950541019439697,-101.0,-114.0,-991.0,-20.5,-3.5,-893.5,AUTO,1130.0,-35.36247125,149.1665253,49989.5,172.5,658.5,0.0,1500.0
16:41:34,0.06825887225568295,0.10543394088745117,-0.48915039002895355,-0.030704992823302746,-0.005729597993195057,-0.7070267200469971,105.5,-100.5,-993.0,-28.5,-4.0,-705.0,AUTO,1130.0,-35.362438850000004,149.1666689,50030.5,177.0,642.5,-6.5,1500.0
16:41:36,-0.026755389757454395,0.06284469738602638,-0.8254633545875549,0.5775405168533325,-0.038042834028601646,-0.0044669341295957565,114.0,-35.0,-998.0,578.0,-35.5,-3.5,AUTO,1500.0,-35.362411300000005,149.1667976,50100.0,122.5,507.5,4.0,1500.0
16:41:38,-0.08555962145328522,-0.004665043525164947,-0.8174487352371216,0.09082044661045074,-0.038412898778915405,-0.02742803283035755,64.0,-37.5,-1003.0,89.5,-36.0,-25.5,AUTO,1500.0,-35.36239445,149.16688555000002,50026.5,61.5,277.5,3.5,1500.0
16:41:40,-0.1733207404613495,-0.055212294682860374,-0.8092311322689056,-0.5047483742237091,-0.008432524977251887,0.002494311542250216,-2.0,-8.0,-1016.5,-504.0,-6.0,4.0,AUTO,1500.0,-35.36239495,149.1669144,49970.0,-64.5,-18.0,2.5,1500.0
16:41:42,0.0312607828527689,-0.20946983993053436,-2.152384877204895,0.03222532570362091,-0.0017968796892091632,-0.7068643569946289,-76.5,-35.0,-1008.0,33.0,0.0,-704.5,AUTO,1500.0,-35.36242255,149.1668814,49921.5,-234.0,-277.0,1.0,1500.0
16:41:44,0.21306832879781723,-0.05560636147856712,3.000674247741699,-0.034410107880830765,0.028191021643579006,-0.7206020951271057,-16.5,-126.0,-1004.5,-32.5,29.0,-718.0,AUTO,1098.0,-35.36247865,149.16680185,49903.5,-381.5,-449.5,0.0,1500.0
16:41:47,0.06049393117427826,0.1480913758277893,1.8455194234848022,-0.0410218583419919,-0.011880777310580015,0.023831585654988885,144.5,-66.0,-987.0,-39.5,-10.5,25.0,AUTO,1500.0,-35.36259535,149.1666363,50044.0,-444.0,-530.0,-3.5,1500.0
16:41:49,0.07771134376525879,0.14194735884666443,1.8541053533554077,0.05416727811098099,0.018261002376675606,-0.0005486472509801388,156.0,-62.0,-997.0,56.0,19.0,1.0,AUTO,1500.0,-35.3626704,149.1665281,49996.0,-451.0,-529.0,0.0,1500.0
16:41:51,0.07325945794582367,0.14552165567874908,1.8557645082473755,0.04740333557128906,-0.003326154313981533,0.007794844685122371,133.0,-69.5,-983.0,49.0,-1.5,9.5,AUTO,1500.0,-35.36275695,149.1664064,49983.5,-457.5,-525.5,-1.0,1500.0
16:41:53,0.07459038868546486,0.14625327289104462,1.8569077253341675,0.0012911844532936811,0.005033685825765133,0.005600543925538659,141.5,-67.5,-988.0,3.5,6.5,7.0,AUTO,1500.0,-35.3628382,149.16629315,49990.5,-457.5,-522.0,-0.5,1500.0
16:41:59,-0.16014553606510162,-0.02662077359855175,-0.29021210968494415,-0.02531180903315544,0.016408112132921815,0.023058616556227207,-18.5,158.0,-990.5,-23.0,17.5,24.5,AUTO,1500.0,-35.3630823,149.16595485,49984.0,-451.5,-518.5,-2.0,1500.0
16:42:01,-0.15568049997091293,-0.011180144734680653,-0.28955912590026855,0.022780114319175482,-0.002103766251821071,-0.001561724697239697,-11.0,149.5,-983.0,25.5,0.0,0.5,AUTO,1500.0,-35.363162200000005,149.1658413,49993.0,-449.0,-517.0,0.0,1500.0
16:42:03,-0.15127850323915482,-0.01187834981828928,-0.28717800974845886,-0.055023957043886185,-0.0038303941255435348,0.007174821570515633,-12.5,145.5,-989.5,-52.5,-1.5,9.0,AUTO,1500.0,-35.363242799999995,149.1657283,49992.0,-455.0,-511.5,-0.5,1500.0
16:42:05,-0.1561281532049179,-0.013389461673796177,-0.28501570224761963,-0.007742501795291901,-3.203458618372679e-05,0.0020110842306166887,-11.0,165.0,-995.0,47.0,0.0,5.0,AUTO,1500.0,-35.3633242,149.1656157,50006.0,-450.5,-506.5,0.5,1500.0
16:42:07,-0.10436302050948143,0.09652160108089447,0.5738911032676697,0.09159884229302406,0.010921071225311607,0.5738685131072998,98.0,115.5,-979.0,93.5,12.5,575.5,AUTO,1601.0,-35.363404849999995,149.16550310000002,50011.0,-445.0,-503.5,-0.5,1500.0
16:42:09,0.018059532158076763,0.16080242395401,1.4525817036628723,-0.03847403568215668,0.02119151409715414,-0.1077682375907898,159.0,-3.0,-992.0,-72.0,22.0,-129.0,AUTO,1500.0,-35.36348475,149.1653917,49988.0,-455.5,-501.5,0.0,1500.0
16:42:13,-0.055361658334732056,0.05328064784407616,1.4069387912750244,0.02450491115450859,-0.03577176760882139,0.009179944172501564,130.0,8.5,-985.0,27.0,-33.0,11.5,AUTO,1500.0,-35.36362555,149.1651972,50104.0,-368.5,-417.5,1.0,1500.0
16:42:15,-0.06094825454056263,-0.01378707867115736,1.4115118980407715,0.39183899760246277,-0.00623394432477653,0.0035063084214925766,81.5,6.0,-998.0,393.5,-3.5,5.5,AUTO,1500.0,-35.3636787,149.16512260000002,50033.5,-215.5,-255.0,4.5,1500.0
16:42:17,-0.05474286526441574,-0.05198228731751442,1.4139540195465088,0.8127973079681396,-0.0002356173936277628,0.02114260569214821,35.0,37.0,-1010.0,815.0,2.0,23.0,AUTO,1500.0,-35.3637024,149.165089,49998.0,-98.0,-123.0,1.0,1500.0
16:42:19,-0.004666595254093409,-0.023958202451467514,0.9253413081169128,-0.7216915488243103,0.04081306606531143,-0.8158939480781555,1.0,-28.0,-1000.0,-719.0,43.0,-813.0,AUTO,1057.0,-35.3637103,149.1650769,49989.0,-16.0,-19.0,0.0,1500.0
16:42:21,-0.013049602508544922,-0.00832819938659668,-0.5273032784461975,0.7000055909156799,-0.03214145824313164,-0.7102835178375244,3.0,36.0,-997.0,703.0,-29.0,-708.0,AUTO,1057.0,-35.363711,149.1650784,50003.0,-3.0,-5.0,0.0,1500.0
16:42:23,0.0035017940681427717,-0.02021205611526966,-0.7449971437454224,-0.5125986933708191,-0.00926528126001358,0.009765591472387314,0.0,-30.0,-996.0,-512.0,-6.0,12.0,AUTO,1500.0,-35.3637134,149.1650776,50018.0,-2.0,-28.0,0.0,1500.0
16:42:25,-0.01369950725347735,-0.009175406768918037,-0.7417259216308594,-0.12082424340769649,-0.005866541992872953,0.0023554814979434013,-1.5,-6.0,-1001.5,-118.5,-3.0,4.5,AUTO,1500.0,-35.363712449999994,149.16507835,50020.5,11.0,-11.5,1.0,1500.0
16:42:27,0.020534256473183632,-0.009085046127438545,-0.7405125498771667,0.4866988956928253,0.0011180280707776546,0.0037848870269954205,-1.0,8.0,-1000.0,487.0,4.0,6.0,AUTO,1500.0,-35.3637128,149.1650776,50020.0,11.0,-8.0,1.0,1500.0
