,A.RTL3
13:14:31.104,-1.0
13:14:31.305,-1.0
13:14:31.506,-1.0
13:14:31.707,-1.0
13:14:31.908,-1.0
13:14:32.109,-1.0
13:14:32.310,-1.0
13:14:32.511,-1.0
13:14:32.712,-1.0
13:14:32.913,-1.0
13:14:33.114,-1.0
13:14:33.315,-1.0
13:14:33.517,-1.0
13:14:33.718,-1.0
13:14:33.919,-1.0
13:14:34.120,-1.0
13:14:34.321,-1.0
13:14:34.522,-1.0
13:14:34.723,-1.0
13:14:34.925,-1.0
13:14:35.126,-1.0
13:14:35.328,-1.0
13:14:35.528,-1.0
13:14:35.729,-1.0
13:14:35.931,-1.0
13:14:36.132,-1.0
13:14:36.333,-1.0
13:14:36.534,-1.0
13:14:36.735,-1.0
13:14:36.936,-1.0
13:14:37.138,-1.0
13:14:37.340,-1.0
13:14:37.541,-1.0
13:14:37.742,-1.0
13:14:37.943,-1.0
13:14:38.145,-1.0
13:14:38.346,-1.0
13:14:38.548,-1.0
13:14:38.749,-1.0
13:14:38.949,-1.0
13:14:39.151,-1.0
13:14:39.352,-1.0
13:14:39.555,-1.0
13:14:39.755,-1.0
13:14:39.959,-1.0
13:14:40.160,-1.0
13:14:40.361,-1.0
13:14:40.562,-1.0
13:14:40.763,-1.0
13:14:40.964,-1.0
13:14:41.165,-1.0
13:14:41.366,-1.0
13:14:41.568,-1.0
13:14:41.768,-1.0
13:14:41.969,-1.0
13:14:42.171,-1.0
13:14:42.373,-1.0
13:14:42.574,-1.0
13:14:42.775,-1.0
13:14:42.978,-1.0
13:14:43.179,-1.0
13:14:43.381,-1.0
13:14:43.582,-1.0
13:14:43.784,-1.0
13:14:43.985,-1.0
13:14:44.186,-1.0
13:14:44.387,-1.0
13:14:44.588,-1.0
13:14:44.789,-1.0
13:14:44.990,-1.0
13:14:45.191,-1.0
13:14:45.393,-1.0
13:14:45.594,-1.0
13:14:45.796,-1.0
13:14:45.997,-1.0
13:14:46.198,-1.0
13:14:46.399,-1.0
13:14:46.600,-0.971
13:14:46.801,-0.294
13:14:47.003,-0.0
13:14:47.204,-0.0
13:14:47.405,-0.0
13:14:47.606,-0.0
13:14:47.808,-0.0
13:14:48.009,-0.0
13:14:48.210,-0.0
13:14:48.411,-0.0
13:14:48.612,-0.0
13:14:48.813,-0.0
13:14:49.014,-0.0
13:14:49.215,-0.0
13:14:49.416,-0.019
13:14:49.617,-0.019
13:14:49.819,-0.019
13:14:50.020,-0.019
13:14:50.221,-0.056
13:14:50.421,-0.113
13:14:50.623,-0.138
13:14:50.824,-0.12
13:14:51.025,-0.12
13:14:51.226,-0.103
13:14:51.427,-0.072
13:14:51.628,-0.072
13:14:51.829,-0.072
13:14:52.031,-0.072
13:14:52.232,0.0
13:14:52.433,0.0
13:14:52.634,0.0
13:14:52.835,0.0
13:14:53.036,0.0
13:14:53.236,0.0
13:14:53.438,-0.0
13:14:53.638,-0.0
13:14:53.839,-0.0
13:14:54.041,-0.0
13:14:54.242,0.0
13:14:54.452,0.0
13:14:54.654,0.0
13:14:54.855,-0.0
13:14:55.057,-0.0
13:14:55.258,-0.001
13:14:55.459,-0.002
13:14:55.660,-0.002
13:14:55.861,-0.002
13:14:56.062,-0.002
13:14:56.264,-0.002
13:14:56.465,-0.016
13:14:56.665,-0.016
13:14:56.866,-0.021
13:14:57.067,-0.027
13:14:57.269,-0.033
13:14:57.470,-0.024
13:14:57.671,-0.024
13:14:57.871,-0.024
13:14:58.072,-0.024
13:14:58.274,-0.023
13:14:58.475,-0.023
13:14:58.676,-0.023
13:14:58.878,-0.028
13:14:59.080,-0.033
13:14:59.282,-0.038
13:14:59.482,-0.028
13:14:59.684,-0.028
13:14:59.885,-0.028
13:15:00.086,-0.028
13:15:00.287,-0.028
13:15:00.489,-0.028
13:15:00.690,-0.028
13:15:00.892,-0.028
13:15:01.093,-0.033
13:15:01.294,-0.039
13:15:01.496,-0.028
13:15:01.697,-0.028
13:15:01.899,-0.028
13:15:02.100,-0.028
13:15:02.301,-0.023
13:15:02.519,-0.023
13:15:02.720,-0.029
13:15:02.921,-0.029
13:15:03.123,-0.035
13:15:03.324,-0.041
13:15:03.525,-0.03
13:15:03.726,-0.03
13:15:03.928,-0.03
13:15:04.129,-0.03
13:15:04.330,-0.024
13:15:04.531,-0.03
13:15:04.732,-0.031
13:15:04.934,-0.037
13:15:05.134,-0.037
13:15:05.335,-0.043
13:15:05.537,-0.031
13:15:05.738,-0.031
13:15:05.939,-0.031
13:15:06.140,-0.031
13:15:06.341,-0.025
13:15:06.606,-0.032
13:15:06.807,-0.032
13:15:07.008,-0.039
13:15:07.209,-0.045
13:15:07.411,-0.045
13:15:07.612,-0.026
13:15:07.813,-0.026
13:15:08.014,-0.026
13:15:08.215,-0.026
13:15:08.416,-0.027
13:15:08.617,-0.027
13:15:08.818,-0.034
13:15:09.019,-0.041
13:15:09.220,-0.048
13:15:09.421,-0.048
13:15:09.624,-0.029
13:15:09.825,-0.029
13:15:10.027,-0.029
13:15:10.228,-0.029
13:15:10.428,-0.028
13:15:10.665,-0.036
13:15:10.867,-0.036
13:15:11.068,-0.043
13:15:11.269,-0.05
13:15:11.471,-0.03
13:15:11.673,-0.03
13:15:11.877,-0.03
13:15:12.078,-0.03
13:15:12.279,-0.03
13:15:12.480,-0.038
13:15:12.683,-0.038
13:15:12.884,-0.038
13:15:13.084,-0.045
13:15:13.285,-0.053
13:15:13.487,-0.039
13:15:13.688,-0.039
13:15:13.889,-0.039
13:15:14.090,-0.039
13:15:14.290,-0.032
13:15:14.491,-0.032
13:15:14.693,-0.04
13:15:14.894,-0.04
13:15:15.095,-0.048
13:15:15.297,-0.056
13:15:15.498,-0.034
13:15:15.699,-0.034
13:15:15.902,-0.034
13:15:16.104,-0.034
13:15:16.307,-0.034
13:15:16.508,-0.034
13:15:16.708,-0.043
13:15:16.909,-0.043
13:15:17.110,-0.051
13:15:17.311,-0.06
13:15:17.513,-0.036
13:15:17.714,-0.036
13:15:17.915,-0.036
13:15:18.559,-0.036
13:15:18.760,-0.028
13:15:18.961,-0.037
13:15:19.162,-0.046
13:15:19.363,-0.046
13:15:19.564,-0.055
13:15:19.764,-0.064
13:15:19.965,-0.038
13:15:20.167,-0.038
13:15:20.368,-0.038
13:15:20.569,-0.038
13:15:20.770,-0.039
13:15:20.971,-0.04
13:15:21.172,-0.05
13:15:21.444,-0.06
13:15:21.646,-0.07
13:15:21.847,-0.07
13:15:22.050,-0.052
13:15:22.252,-0.052
13:15:22.454,-0.052
13:15:22.655,-0.052
13:15:22.857,-0.052
13:15:23.058,-0.043
13:15:23.259,-0.054
13:15:23.460,-0.066
13:15:23.661,-0.076
13:15:23.862,-0.076
13:15:24.063,-0.046
13:15:24.264,-0.046
13:15:24.465,-0.046
13:15:24.666,-0.046
13:15:24.867,-0.047
13:15:25.068,-0.059
13:15:25.269,-0.06
13:15:25.470,-0.071
13:15:25.672,-0.083
13:15:25.873,-0.083
13:15:26.073,-0.062
13:15:26.275,-0.062
13:15:26.476,-0.062
13:15:26.677,-0.052
13:15:26.879,-0.065
13:15:27.080,-0.065
13:15:27.331,-0.066
13:15:27.532,-0.079
13:15:27.733,-0.092
13:15:27.935,-0.055
13:15:28.136,-0.055
13:15:28.339,-0.055
13:15:28.541,-0.055
13:15:28.745,-0.055
13:15:28.946,-0.059
13:15:29.147,-0.074
13:15:29.348,-0.074
13:15:29.549,-0.089
13:15:29.750,-0.104
13:15:29.951,-0.077
13:15:30.152,-0.077
13:15:30.353,-0.077
13:15:30.554,-0.077
13:15:30.755,-0.066
13:15:30.956,-0.082
13:15:31.158,-0.083
13:15:31.359,-0.083
13:15:31.560,-0.101
13:15:31.760,-0.117
13:15:31.962,-0.072
13:15:32.163,-0.072
13:15:32.364,-0.072
13:15:32.567,-0.072
13:15:32.769,-0.072
13:15:32.971,-0.095
13:15:33.172,-0.097
13:15:33.373,-0.097
13:15:33.575,-0.116
13:15:33.777,-0.135
13:15:33.978,-0.081
13:15:34.179,-0.081
13:15:34.380,-0.081
13:15:34.581,-0.081
13:15:34.782,-0.057
13:15:34.983,-0.063
13:15:35.184,-0.05
13:15:35.385,-0.055
13:15:35.586,-0.055
13:15:35.787,-0.059
13:15:35.988,-0.021
13:15:36.190,-0.021
13:15:36.391,-0.021
13:15:36.592,-0.021
13:15:36.793,-0.027
13:15:36.995,-0.034
13:15:37.196,-0.037
13:15:37.398,-0.044
13:15:37.599,-0.044
13:15:37.800,-0.052
13:15:38.002,-0.032
13:15:38.207,-0.032
13:15:38.408,-0.032
13:15:38.609,-0.032
13:15:38.810,-0.034
13:15:39.011,-0.043
13:15:39.212,-0.043
13:15:39.413,-0.052
