time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
15:38:05,85176.0,-0.030533420853316784,0.14505501091480255,-2.8880443572998047,-0.3705392889678478,-0.04709392972290516,-0.02853201422840357,-35.3637065,149.1651412,48760.5,-136.5,-48.0,-26.5,-29.5,-35.0,-939.0,-368.5,-45.5,-27.5,AUTO
15:38:07,85176.0,-0.0069196808617562056,0.017276728991419077,-2.896406888961792,0.37789060175418854,-0.023126094602048397,-0.008190912660211325,-35.363715150000004,149.16514125,48790.0,0.0,29.5,3.0,-3.0,36.0,-1014.5,380.0,-21.5,-7.0,AUTO
15:38:09,85176.0,0.010502269258722663,-0.005675330758094788,-2.905540108680725,0.24523670226335526,0.01912113046273589,-0.009228237206116319,-35.363714849999994,149.16514485,48719.0,1.0,11.5,2.0,0.0,-2.5,-1007.5,245.5,20.0,-8.5,AUTO
15:38:10,249678.0,-0.0010555306798778474,0.006306954892352223,-2.9090948700904846,-0.005962967872619629,0.006317807943560183,-0.007060925825498998,-35.363715125,149.16514515,48712.0,0.0,8.75,-0.75,-1.75,-0.5,-1007.5,-4.5,7.25,-6.0,RTL
15:38:11,249678.0,-0.004076323653862346,0.01066837552934885,-2.91414737701416,0.13611692935228348,-0.004441706754732877,-0.008262636372819543,-35.3637156,149.1651453,48877.5,4.5,7.0,-36.5,-0.5,13.0,-1056.5,137.5,-3.0,-7.0,RTL
15:38:13,249678.0,-0.00015664310194551945,0.008122981525957584,-2.9218558073043823,0.02993180975317955,0.0001517091877758503,-0.004225970013067126,-35.3637158,149.1651454,50651.0,8.0,7.0,-135.5,0.0,0.0,-1041.5,30.5,1.5,-3.0,RTL
15:38:15,249678.0,-0.010646968148648739,0.023754256777465343,-2.9693938493728638,-0.18109777569770813,7.328018546104431e-05,-0.05806661397218704,-35.36371545,149.16514055,53660.5,11.5,-45.0,-145.0,4.0,-11.5,-999.5,-180.0,1.5,-57.0,RTL
15:38:16,8162.0,-0.0741968285292387,0.006511697400128469,-2.995883584022522,-0.011786960996687412,-0.014971052412874997,-0.02691163495182991,-35.363715075,149.165138525,54797.75,7.0,2.0,-148.5,2.5,-1.75,-1005.75,-11.0,-12.75,-25.75,RTL
15:38:17,8162.0,-0.01450490695424378,0.0028643521363846958,-3.0107693672180176,0.06778283789753914,0.00783879030495882,-0.0014825849211774766,-35.363715,149.1651433,56718.0,0.5,58.5,-149.5,-4.0,12.0,-1002.5,68.0,8.5,-1.0,RTL
15:38:19,8162.0,0.025876007974147797,-0.041055597364902496,-2.951991558074951,-0.07259843125939369,0.03888853266835213,-0.005331537686288357,-35.3637139,149.16515035,59833.0,-3.5,-17.0,-148.5,0.0,-1.5,-997.0,-71.5,40.5,-5.0,RTL
15:38:21,8162.0,0.006444993196055293,0.016995754092931747,-3.0441770553588867,0.01314713479951024,0.0012786949519068003,-0.019501046743243933,-35.3637168,149.1651492,62932.5,-6.0,-1.0,-152.0,-2.0,-0.5,-999.0,13.5,2.5,-18.0,RTL
15:38:22,106444.0,0.013097755378112197,0.013492999831214547,-3.053056836128235,0.00463020580355078,-0.007273086695931852,-0.006241742754355073,-35.36371695,149.165149375,64104.0,4.25,-4.25,-151.75,0.0,0.0,-999.75,5.5,-5.25,-5.25,RTL
15:38:23,106444.0,0.008058583363890648,0.0035804621875286102,-3.06345796585083,-0.003448967821896076,-0.00687775295227766,-0.012869489379227161,-35.3637163,149.1651491,66019.0,10.0,-11.0,-151.0,2.0,0.0,-1001.0,-2.0,-5.0,-12.0,RTL
15:38:25,106444.0,0.003437713021412492,-0.0010026732343249023,-3.0971574783325195,0.0026997016393579543,0.0010104592656716704,-0.025127808563411236,-35.363715400000004,149.1651483,68550.0,3.5,-9.0,-152.0,0.5,0.0,-1000.5,3.5,2.5,-24.0,RTL
15:38:27,106444.0,0.00633381842635572,0.0029378938488662243,-0.007451176643371582,0.004287763964384794,0.0015865223249420524,-0.02295676153153181,-35.3637153,149.16514795,71668.5,0.5,-7.0,-152.0,0.0,0.0,-1000.5,5.0,3.0,-22.0,RTL
15:38:28,92247.0,0.0060635245172306895,0.0034416918642818928,3.111228823661804,4.539071233011782e-05,0.00025842187460511923,-0.021104504819959402,-35.3637153,149.16514770000003,73225.25,1.0,-7.0,-152.0,0.0,0.0,-999.75,1.25,1.75,-19.75,RTL
15:38:29,92247.0,0.004687300184741616,0.003091339720413089,3.0896451473236084,-0.001090101373847574,-0.0007729606004431844,-0.01999876368790865,-35.3637152,149.1651474,74783.5,1.0,-7.0,-152.0,0.0,0.0,-1000.0,0.0,1.0,-18.5,RTL
15:38:31,92247.0,0.0068410837557166815,0.004765306366607547,3.0654873847961426,0.0027406178414821625,0.002061820589005947,0.01202318910509348,-35.363715049999996,149.165147,77894.0,2.0,-6.5,-152.0,0.0,0.0,-999.5,4.0,4.0,12.5,RTL
15:38:33,92247.0,0.0024550497764721513,0.0010343434405513108,3.1086260080337524,-0.0005733963334932923,-0.0015955076669342816,0.021810402162373066,-35.363714650000006,149.16514625,80997.0,2.0,-6.0,-152.0,0.0,0.0,-1000.0,0.5,0.5,22.0,RTL
15:38:34,71737.0,0.002591417171061039,0.0008759216725593433,3.12785267829895,0.0004887046234216541,0.000716159149305895,0.019068587571382523,-35.3637146,149.1651461,82552.75,0.25,-4.0,-152.0,0.0,0.0,-999.75,2.0,2.25,19.5,RTL
15:38:35,71737.0,0.003728215000592172,0.0012070877710357308,0.002165555953979492,0.001604124205186963,0.00018093280959874392,0.01621878147125244,-35.3637146,149.16514615,84104.0,0.0,-2.5,-152.0,0.0,0.0,-1000.0,2.5,1.5,17.0,RTL
15:38:37,71737.0,0.004599407082423568,0.0014322376810014248,-3.113276481628418,-0.0015682307130191475,0.0007951826555654407,0.011650271713733673,-35.363714650000006,149.16514625000002,87211.5,0.0,-2.0,-152.0,0.0,0.0,-999.5,0.0,2.0,12.0,RTL
15:38:39,71737.0,0.00482138036750257,0.002598280436359346,-3.093551754951477,0.002208243473432958,0.0006525497301481664,0.009772236924618483,-35.36371495,149.16514655,90320.5,0.0,-3.0,-152.0,0.0,0.0,-1000.5,3.0,2.0,10.5,RTL
15:38:40,183976.0,0.004333309014327824,0.0024274293100461364,-3.085631549358368,-0.001018920069327578,-0.000523579103173688,0.00828363245818764,-35.363715,149.1651466,91869.75,0.0,-3.0,-152.0,0.0,0.0,-999.5,0.25,0.75,9.0,RTL
15:38:41,183976.0,0.004542589653283358,0.0021831634221598506,-3.0786244869232178,0.0013365816557779908,0.0013210692559368908,0.008115635253489017,-35.363715,149.1651466,93426.0,0.0,-3.0,-152.0,0.0,0.0,-1000.0,2.5,2.5,9.0,RTL
15:38:43,183976.0,0.003971646772697568,0.002393428236246109,-3.066157817840576,-0.0015103156329132617,-0.0002721048076637089,0.007767657982185483,-35.3637151,149.1651466,96532.0,1.0,-3.0,-152.0,0.0,0.0,-999.5,0.5,1.5,9.0,RTL
15:38:45,183976.0,0.0035948327276855707,0.0022733035730198026,-3.055303454399109,-0.0009318521479144692,6.024650065228343e-05,0.006056263344362378,-35.3637151,149.1651466,99640.5,1.0,-2.0,-152.0,0.0,0.0,-999.5,0.5,1.0,7.0,RTL
