time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
07:43:35,-35.36335475,149.16513045,29893.5,1.5,1.0,-36.0,0.0,3.5,-975.0,-52.5,1.5,0.5,76910.0,0.008751061512157321,0.0028842617757618427,-2.388422131538391,-0.05488736927509308,0.0008372511947527528,0.000630322378128767,RTL
07:43:37,-35.3633549,149.1651307,30176.5,3.5,-1.0,0.5,0.5,-14.5,-993.5,-526.0,-0.5,3.5,76910.0,0.0026236348203383386,0.0030266024405136704,-2.388173460960388,-0.5286731272935867,-0.0027567034121602774,0.0032115645008161664,RTL
07:43:38,-35.363355,149.1651308,30185.5,4.0,-2.0,-6.25,-0.5,5.0,-1011.75,160.0,2.0,1.5,200.0,0.014629985438659787,0.0027807701262645423,-2.3885397911071777,0.15810256637632847,0.001115457504056394,0.001260697674297262,RTL
07:43:39,-35.363355150000004,149.16513105,30446.0,5.5,-3.5,-34.0,0.0,-1.5,-1016.5,-267.0,2.0,4.0,200.0,0.011498406063765287,0.0034998691407963634,-2.3894898891448975,-0.27010571770370007,0.0007966276607476175,0.0038093492621555924,RTL
07:43:41,-35.36335495,149.16513064999998,31292.0,5.0,-3.0,-33.0,0.5,-6.5,-974.5,-283.5,3.5,1.5,200.0,0.001833092886954546,0.005207047564908862,-2.3896491527557373,-0.28685471415519714,0.002575821243226528,0.0013929620618000627,RTL
07:43:42,-35.3633547,149.16513025,31472.25,2.75,-0.75,-15.5,0.5,-9.0,-974.0,-130.25,1.25,0.75,87286.0,0.00021582923363894224,0.005261509562842548,-2.3897435069084167,-0.13267440721392632,0.0003330338658997789,0.00026994328072760254,RTL
07:43:43,-35.3633544,149.16513,31542.5,0.5,2.5,1.0,0.0,17.5,-1001.0,568.0,-2.5,-0.5,87286.0,0.011648339219391346,0.0032489843433722854,-2.389277696609497,0.566430538892746,-0.004066250170581043,-0.0015768236480653286,RTL
07:43:45,-35.3633545,149.1651302,31751.5,0.0,1.0,-30.5,0.0,11.0,-1029.5,109.5,1.5,2.5,87286.0,0.004525764437858015,0.0029208521591499448,-2.3897637128829956,0.10644184052944183,-0.00021435937378555536,0.0021938678110018373,RTL
07:43:46,-35.363354525,149.16513022499998,32035.0,0.0,1.75,-42.5,0.25,-0.25,-1009.25,48.0,0.5,2.0,200.0,0.007091674982802942,0.0034015251439996064,-2.389749586582184,0.04593134904280305,-0.0011360963981132954,0.0015657006442779675,RTL
07:43:47,-35.3633546,149.1651304,32580.0,0.5,0.5,-30.5,0.0,12.5,-974.0,349.0,1.5,3.0,200.0,0.01368974382057786,0.0031368033960461617,-2.390185832977295,0.3477868065237999,0.00031610450241714716,0.0022546108812093735,RTL
