,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
17:22:32.237,65233.0,0.25,0.1,1000.0,30.0,0.9,18000.0,1000.0,26380.0,390.0,0.0,1200.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:36.254,86651.0,0.25,0.1,1000.0,30.0,3.6,9700.0,1000.0,0.0,3000.0,0.0,2000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:40.285,300000.0,0.25,0.1,1000.0,30.0,0.9,18000.0,1000.0,21883.0,1200.0,0.0,1200.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:44.305,83273.0,0.25,0.1,1000.0,30.0,0.5,18000.0,1000.0,32000.0,1030.0,0.0,1200.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:48.361,32560.0,0.25,0.1,1000.0,30.0,3.5,15400.0,1000.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:52.391,300000.0,0.25,0.1,1000.0,30.0,0.0,18000.0,1000.0,0.0,1960.0,0.0,2000.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:22:56.404,200.0,0.25,0.1,1000.0,30.0,0.0,4100.0,1000.0,0.0,1510.0,0.0,1000.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:00.444,300000.0,0.25,0.1,1000.0,30.0,3.5,18000.0,1000.0,32000.0,640.0,0.0,1200.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:04.460,13980.0,0.25,0.1,1000.0,30.0,5.1,5400.0,1000.0,24721.0,1290.0,0.0,1350.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:08.487,239252.0,0.25,0.1,1000.0,30.0,0.0,2200.0,1000.0,5397.0,2050.0,0.0,1700.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
