,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
16:36:01.107,1.5,0.1,114.0,1266.0,0.1,0.0,0.0,40.0,70.0,150.0,34.0,100.0,35.0,0.0,4.0,83.0,55.0,94.0,52.0,57.0,78.0,95.0,0.0,1.0,50.0
16:36:05.305,2.0,0.1,250.0,5000.0,0.1,0.0,0.0,130.0,0.0,0.0,52.0,4.0,7.0,57.0,5.0,55.0,120.0,106.0,120.0,0.0,106.0,36.0,0.0,1.0,10.0
16:36:10.048,1.7,0.1,108.0,1426.0,0.1,0.0,0.0,80.0,40.0,230.0,94.0,62.0,40.0,99.0,63.0,94.0,59.0,26.0,102.0,120.0,37.0,50.0,0.0,1.0,10.0
16:36:19.060,0.0,0.1,67.0,1689.0,0.1,0.0,0.0,40.0,130.0,130.0,68.0,42.0,40.0,120.0,40.0,73.0,67.0,19.0,120.0,72.0,71.0,25.0,0.0,1.0,10.0
16:36:23.959,2.0,0.1,118.0,4122.0,0.1,0.0,0.0,10.0,20.0,90.0,0.0,42.0,20.0,29.0,58.0,27.0,38.0,99.0,27.0,29.0,45.0,0.0,0.0,1.0,30.0
16:36:29.285,0.6,0.1,25.0,0.0,0.1,0.0,0.0,0.0,100.0,250.0,76.0,10.0,4.0,89.0,34.0,6.0,95.0,29.0,52.0,120.0,0.0,0.0,0.0,1.0,50.0
16:36:33.982,0.8,0.1,126.0,3259.0,0.1,0.0,0.0,10.0,0.0,0.0,0.0,90.0,7.0,45.0,39.0,27.0,119.0,64.0,0.0,85.0,0.0,2.0,0.0,1.0,40.0
16:36:39.292,1.1,0.1,170.0,2787.0,0.1,0.0,0.0,0.0,80.0,120.0,1.0,15.0,20.0,38.0,41.0,119.0,120.0,15.0,60.0,66.0,23.0,29.0,0.0,1.0,15.0
16:36:43.622,2.0,0.1,93.0,2797.0,0.1,0.0,0.0,70.0,30.0,250.0,41.0,46.0,0.0,93.0,120.0,17.0,97.0,114.0,120.0,45.0,4.0,0.0,0.0,1.0,25.0
16:37:28.061,1.5,0.1,25.0,0.0,0.1,0.0,0.0,0.0,0.0,250.0,100.0,33.0,0.0,80.0,120.0,0.0,0.0,37.0,35.0,34.0,30.0,69.0,0.0,1.0,15.0
16:37:32.899,0.5,0.1,41.0,3012.0,0.1,0.0,0.0,110.0,40.0,50.0,0.0,40.0,8.0,104.0,52.0,75.0,120.0,95.0,100.0,0.0,0.0,66.0,0.0,1.0,50.0
16:37:39.101,1.9,0.1,182.0,0.0,0.1,0.0,0.0,50.0,130.0,100.0,74.0,57.0,40.0,60.0,0.0,19.0,102.0,117.0,91.0,88.0,120.0,9.0,0.0,1.0,50.0
16:37:43.513,2.0,0.1,98.0,2222.0,0.1,0.0,0.0,30.0,10.0,0.0,40.0,100.0,32.0,14.0,0.0,0.0,14.0,0.0,16.0,19.0,120.0,113.0,0.0,1.0,30.0
16:37:47.890,0.0,0.1,236.0,5000.0,0.1,0.0,0.0,130.0,70.0,250.0,100.0,7.0,40.0,4.0,120.0,0.0,111.0,65.0,68.0,79.0,41.0,120.0,0.0,1.0,45.0
16:38:03.386,0.7,0.1,156.0,1485.0,0.1,0.0,0.0,10.0,0.0,220.0,91.0,32.0,0.0,100.0,0.0,0.0,71.0,25.0,75.0,49.0,46.0,47.0,0.0,1.0,10.0
16:38:08.370,0.2,0.1,95.0,1335.0,0.1,0.0,0.0,120.0,130.0,140.0,60.0,33.0,40.0,112.0,112.0,120.0,29.0,47.0,81.0,0.0,119.0,0.0,0.0,1.0,10.0
16:38:13.183,1.5,0.1,52.0,0.0,0.1,0.0,0.0,90.0,100.0,250.0,74.0,65.0,0.0,82.0,85.0,55.0,25.0,57.0,90.0,102.0,4.0,0.0,0.0,1.0,30.0
16:38:18.396,0.6,0.1,25.0,2399.0,0.1,0.0,0.0,50.0,70.0,220.0,42.0,46.0,12.0,106.0,51.0,81.0,0.0,101.0,120.0,71.0,89.0,11.0,0.0,1.0,10.0
16:38:23.033,0.0,0.1,233.0,410.0,0.1,0.0,0.0,130.0,90.0,250.0,100.0,70.0,0.0,49.0,0.0,7.0,120.0,65.0,6.0,120.0,24.0,96.0,0.0,1.0,40.0
16:38:28.372,0.8,0.1,250.0,3518.0,0.1,0.0,0.0,80.0,110.0,220.0,22.0,65.0,6.0,45.0,120.0,120.0,52.0,84.0,37.0,56.0,38.0,110.0,0.0,1.0,15.0
16:38:33.336,0.7,0.1,161.0,1058.0,0.1,0.0,0.0,0.0,0.0,250.0,43.0,0.0,19.0,0.0,39.0,84.0,106.0,0.0,26.0,83.0,30.0,107.0,0.0,1.0,40.0
16:38:41.526,2.0,0.1,144.0,2770.0,0.1,0.0,0.0,50.0,100.0,10.0,20.0,100.0,0.0,107.0,109.0,71.0,1.0,65.0,65.0,25.0,36.0,0.0,0.0,1.0,20.0
16:38:47.063,1.6,0.1,197.0,1182.0,0.1,0.0,0.0,50.0,0.0,100.0,58.0,91.0,17.0,0.0,0.0,0.0,118.0,70.0,45.0,28.0,81.0,68.0,0.0,1.0,35.0
16:38:57.183,0.4,0.1,102.0,1006.0,0.1,0.0,0.0,80.0,30.0,30.0,100.0,100.0,12.0,34.0,114.0,120.0,40.0,0.0,6.0,0.0,81.0,83.0,0.0,1.0,45.0
16:39:03.426,1.2,0.1,25.0,0.0,0.1,0.0,0.0,20.0,120.0,110.0,3.0,83.0,32.0,103.0,0.0,120.0,95.0,23.0,0.0,28.0,3.0,120.0,0.0,1.0,10.0
16:39:07.646,0.8,0.1,25.0,58.0,0.1,0.0,0.0,50.0,80.0,0.0,13.0,29.0,0.0,45.0,84.0,17.0,107.0,57.0,69.0,0.0,0.0,101.0,0.0,1.0,25.0
16:39:15.915,2.0,0.1,25.0,2742.0,0.1,0.0,0.0,90.0,60.0,0.0,100.0,0.0,33.0,118.0,120.0,73.0,120.0,64.0,109.0,115.0,36.0,0.0,0.0,1.0,30.0
16:39:50.256,0.0,0.1,97.0,3680.0,0.1,0.0,0.0,80.0,130.0,140.0,62.0,100.0,0.0,21.0,0.0,110.0,89.0,1.0,120.0,120.0,12.0,34.0,0.0,1.0,45.0
