time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE
23:12:03,0.0050272123189643025,-0.0006538000452565029,-0.16813752055168152,-0.022889788262546062,-0.007610956905409694,-0.00461708870716393,-35.363260999999994,149.16523545,17227.0,-17.0,12.5,-151.0,4.0,0.0,-1000.0,-21.5,-6.5,-4.5,5052.0,AUTO
23:12:05,-0.0005831590242451057,-0.0016851584077812731,-0.21452482044696808,0.006198837189003825,0.005057268543168902,-0.02796069346368313,-35.3632623,149.1652366,20331.5,-1.5,0.5,-153.0,0.0,0.0,-1000.0,6.0,5.5,-28.0,16078.5,AUTO
23:12:07,0.004455303540453315,0.003793325391598046,-0.26268404722213745,-0.001959520479431376,-2.4830922484397888e-05,-0.017774753272533417,-35.3632622,149.16523645,23455.5,0.0,2.5,-153.0,0.0,0.0,-999.5,-1.0,0.5,-17.5,27105.0,AUTO
23:12:09,0.007096007466316223,0.0047277521807700396,-0.2688138037919998,0.018290774896740913,-0.0038180712144821882,0.02515745908021927,-35.363262250000005,149.1652365,26568.5,-4.0,0.5,-153.0,0.0,0.5,-999.5,18.5,-2.5,24.0,27105.0,AUTO
23:12:10,0.002513633342459798,0.005142950714798644,-0.23144010454416275,-0.03420059592463076,0.027436532400315627,0.08170665707439184,-35.3632624,149.165236875,28503.75,-2.0,7.75,-150.5,0.0,-0.75,-991.0,-33.0,28.25,81.0,114200.0,AUTO
23:12:11,-0.05423124134540558,0.06271669268608093,-0.022066375240683556,-0.0999356247484684,0.027354158461093903,0.5258369892835617,-35.363262649999996,149.16523725000002,29613.0,-17.5,-4.5,-131.5,2.5,0.5,-950.0,-98.0,28.0,525.0,114200.0,AUTO
23:12:13,0.03495454601943493,-0.02981706615537405,0.11008528992533684,-0.03707185760140419,0.04041854478418827,-0.015945710241794586,-35.3632652,149.165234,31224.0,17.0,13.5,-41.5,-2.5,-7.0,-977.0,-36.0,40.5,-15.5,114200.0,AUTO
23:12:15,-0.03671654127538204,0.042201846837997437,0.0947989858686924,-0.05185877904295921,0.05651099234819412,-0.014804522739723325,-35.3632613,149.16523855,31561.0,7.5,14.5,12.0,0.0,18.5,-966.5,-49.5,57.0,-14.5,114200.0,AUTO
23:12:16,0.023161989694926888,0.04180843383073807,0.08066101185977459,0.3270548842847347,0.012833494110964239,-0.0032359696851926856,-35.36326295,149.1652391,31420.25,-36.75,6.5,-3.75,6.75,21.5,-1017.0,328.25,13.0,-3.5,11938.0,AUTO
23:12:17,0.051855819299817085,0.049988385289907455,0.17693936824798584,-0.354516938328743,0.00012757605873048306,0.5000996440649033,-35.36326635,149.16523945,31468.5,-67.0,27.5,-14.5,15.5,-16.5,-1019.5,-353.0,1.0,499.5,11938.0,AUTO
23:12:19,0.10180191695690155,-0.057488856837153435,1.6543280482292175,0.1385174384340644,0.03059552237391472,0.6995604038238525,-35.36328875,149.1652512,32068.5,-190.0,120.5,-47.0,3.0,-43.0,-1017.5,140.0,31.0,699.0,11938.0,AUTO
23:12:21,0.017821899615228176,-0.07541463524103165,2.8287620544433594,-0.21708116680383682,0.023953834548592567,0.0009818896651268005,-35.36332755,149.16527680000002,33252.0,-238.5,139.5,-61.0,-59.0,-34.0,-997.5,-215.0,24.5,1.0,55112.0,AUTO
23:12:23,0.018924515694379807,-0.005221776285907254,2.755074620246887,0.09076971560716629,0.055062560364603996,-0.0061115967109799385,-35.363370849999995,149.16530354999998,34465.5,-217.0,114.0,-54.5,-56.0,-21.0,-995.0,93.0,55.5,-5.5,55112.0,AUTO
23:12:25,0.0014754640869796276,0.07650567591190338,2.7474135160446167,-0.44221191108226776,0.0031558405607938766,0.012385583948343992,-35.363400999999996,149.1653206,35265.0,-79.0,48.5,-18.5,-22.0,-45.0,-981.5,-440.5,4.0,12.5,55112.0,AUTO
23:12:26,-0.010671400115825236,0.029938116669654846,2.7395911812782288,0.18796982616186142,-0.026025194907560945,0.003720428765518591,-35.36340655,149.16532345000002,35371.25,-11.5,14.25,-0.5,-2.25,3.75,-989.0,189.25,-24.25,4.5,6293.0,AUTO
23:12:27,-0.037123335525393486,0.015937187243252993,2.737447500228882,-0.5977029502391815,-0.017397087067365646,0.004881997359916568,-35.36340785,149.1653232,35360.5,5.0,11.5,3.5,1.0,-38.5,-1003.0,-596.5,-16.0,5.5,6293.0,AUTO
23:12:29,-0.040407754480838776,0.006407381966710091,2.734100580215454,0.5042383074760437,0.007212461612652987,-0.01034090155735612,-35.363409649999994,149.165321,35307.5,17.0,33.0,-1.5,0.0,22.5,-1020.5,505.0,8.0,-9.5,6293.0,RTL
23:12:31,-0.030442322604358196,-0.0023406791733577847,2.7268162965774536,-0.16084124892950058,-0.002797122811898589,-0.013577545993030071,-35.36340975,149.1653215,36045.0,23.0,31.5,-80.0,-1.0,-2.5,-1045.5,-160.5,-1.0,-12.5,7881.0,RTL
23:12:33,0.02299501560628414,-0.009298966731876135,2.7213677167892456,0.05351504683494568,-0.004938145400956273,0.000283494868199341,-35.36340865,149.1653233,38516.5,8.5,6.5,-149.5,-0.5,2.5,-1005.5,52.0,-2.5,0.5,9469.0,RTL
23:12:35,-0.08557231351733208,-0.005142802954651415,2.6629838943481445,-0.0033582234755158424,-0.007524734828621149,-0.02856806479394436,-35.36341095,149.1653183,41554.0,-1.0,-5.5,-148.5,1.0,-1.5,-1006.5,-4.0,-5.5,-27.5,9469.0,RTL
23:12:36,-0.020086534903384745,-0.0036978933167119976,2.6464605927467346,0.06883711367845535,0.00936298631131649,-0.002778350855805911,-35.3634088,149.16532279999998,43474.5,27.75,40.5,-150.5,-5.5,12.25,-1002.5,67.5,10.5,-2.25,7806.0,RTL
23:12:37,0.0309115182608366,0.002914398559369147,2.6464860439300537,0.057214995846152306,-0.0024708504788577557,0.014174735406413674,-35.36340635,149.16532660000001,44643.0,29.0,24.0,-153.0,-3.5,12.5,-1002.0,56.0,-1.5,14.0,7806.0,RTL
23:12:39,-0.007292772294022143,-0.011816116515547037,2.680728316307068,-0.031115839257836342,0.04155265353620052,-0.06424355506896973,-35.363405549999996,149.165328,47742.5,-34.5,-14.5,-149.5,-3.0,-5.5,-1002.5,-30.5,43.0,-63.0,7806.0,RTL
23:12:41,-0.012730440124869347,0.05093931220471859,2.5401108264923096,0.002659800462424755,0.0316651975736022,-0.09103433042764664,-35.36340695,149.16532895,50852.0,21.0,-15.0,-150.5,1.5,3.0,-998.0,2.5,33.0,-90.0,11237.5,RTL
