,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
21:40:32.881,0.5,0.1,122.0,541.0,0.1,0.0,0.0,130.0,10.0,20.0,26.0,29.0,10.0,119.0,70.0,17.0,4.0,56.0,67.0,41.0,49.0,15.0,0.0,1.0,20.0
21:40:37.882,0.2,0.1,240.0,1147.0,0.1,0.0,0.0,10.0,70.0,110.0,90.0,63.0,28.0,99.0,80.0,13.0,8.0,15.0,60.0,37.0,13.0,29.0,0.0,1.0,25.0
21:40:43.503,1.1,0.1,188.0,1108.0,0.1,0.0,0.0,50.0,20.0,10.0,8.0,8.0,18.0,41.0,83.0,41.0,15.0,119.0,39.0,8.0,25.0,49.0,0.0,1.0,25.0
21:40:48.454,1.8,0.1,32.0,1907.0,0.1,0.0,0.0,50.0,130.0,80.0,31.0,22.0,9.0,52.0,33.0,8.0,53.0,67.0,91.0,34.0,5.0,10.0,0.0,1.0,50.0
21:40:52.728,0.5,0.1,72.0,52.0,0.1,0.0,0.0,50.0,40.0,40.0,24.0,42.0,28.0,41.0,45.0,75.0,11.0,3.0,112.0,8.0,37.0,97.0,0.0,1.0,15.0
21:40:57.869,1.2,0.1,172.0,4464.0,0.1,0.0,0.0,20.0,10.0,250.0,19.0,2.0,4.0,10.0,84.0,114.0,23.0,9.0,15.0,4.0,25.0,105.0,0.0,1.0,20.0
21:41:03.005,0.5,0.1,93.0,1810.0,0.1,0.0,0.0,80.0,40.0,210.0,51.0,59.0,14.0,12.0,13.0,17.0,43.0,38.0,37.0,113.0,52.0,21.0,0.0,1.0,15.0
21:41:08.519,0.2,0.1,129.0,2814.0,0.1,0.0,0.0,50.0,20.0,100.0,12.0,61.0,2.0,11.0,69.0,23.0,95.0,48.0,38.0,50.0,42.0,48.0,0.0,1.0,35.0
21:41:12.722,0.4,0.1,66.0,1430.0,0.1,0.0,0.0,20.0,70.0,160.0,6.0,32.0,30.0,41.0,37.0,4.0,49.0,49.0,42.0,39.0,10.0,6.0,0.0,1.0,25.0
21:41:17.479,0.2,0.1,56.0,1748.0,0.1,0.0,0.0,130.0,40.0,160.0,45.0,6.0,3.0,30.0,60.0,92.0,53.0,15.0,100.0,41.0,60.0,29.0,0.0,1.0,30.0
