
20:28:28.694 : ============================================================

20:28:28.694 : {'window_size_lstm': 3, 'window_size_vio': 15}
20:28:28.849 : ------------------------------------------------------------
20:28:28.849 : Loop #1
20:33:46.018 : Generated Params : [500.0, 0.0, 0.0, 1.0, 81.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 69.1, 0.1, 0.0, 40.0, 8.0, 7276.0, 0.05, -70.0]
20:33:49.847 : Generated Params : [380.0, 0.0, 0.0, 1.0, -38.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 57.1, 0.1, 0.0, 67.0, 23.0, 1908.0, 0.05, -70.0]
20:33:54.079 : Generated Params : [250.0, 0.0, 0.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 80.1, 0.1, 0.0, 98.0, -55.0, 5537.0, 0.05, -70.0]
20:33:57.881 : Generated Params : [110.0, 0.0, 0.0, 1.0, -10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 81.1, 0.1, 0.0, 90.0, -84.0, 5290.0, 0.05, -70.0]
20:34:02.292 : Generated Params : [310.0, 0.0, 0.0, 1.0, -68.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 72.1, 0.1, 0.0, 44.0, 0.0, 9994.0, 0.05, -70.0]
20:34:08.996 : ------------------------------------------------------------
20:34:08.996 : Loop #3
20:35:44.332 : Generated Params : [110.0, 0.0, 0.0, 1.0, -84.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 44.1, 0.1, 0.0, 38.0, 27.0, 9764.0, 0.05, -70.0]
20:35:48.097 : Generated Params : [500.0, 0.0, 0.0, 1.0, 37.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 93.1, 0.1, 0.0, 50.0, -62.0, 4718.0, 0.05, -70.0]
20:35:51.888 : Generated Params : [290.0, 0.0, 0.0, 1.0, 62.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 90.1, 0.1, 0.0, 35.0, -45.0, 3550.0, 0.05, -70.0]
20:35:56.268 : Generated Params : [250.0, 0.0, 0.0, 1.0, 52.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 76.1, 0.1, 0.0, 26.0, -68.0, 7435.0, 0.05, -70.0]
20:36:00.091 : Generated Params : [190.0, 0.0, 0.0, 1.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 76.1, 0.1, 0.0, 23.0, -17.0, 9114.0, 0.05, -70.0]
20:36:03.905 : Generated Params : [480.0, 0.0, 0.0, 1.0, 59.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 97.1, 0.1, 0.0, 61.0, -79.0, 2539.0, 0.05, -70.0]
20:36:08.212 : Generated Params : [210.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 90.1, 0.1, 0.0, 86.0, -14.0, 8999.0, 0.05, -70.0]
20:36:12.030 : Generated Params : [150.0, 0.0, 0.0, 1.0, 51.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 60.1, 0.1, 0.0, 29.0, -31.0, 3708.0, 0.05, -70.0]
