time_stamp,RTL_ALT,LAND_SPEED,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
17:21:21,1500.0,200.0,LAND,0.020019005751237273,0.002272128127515316,0.027582110837101936,-0.9167587906122208,-0.004314273008882689,-0.00988517701625824,-35.3632619,149.1652345,29394.0,-1.0,19.166666666666668,112.16666666666667,-0.8333333333333334,-76.33333333333333,-970.5,-922.6666666666666,-3.8333333333333335,-8.166666666666666
17:21:23,1500.0,200.0,LAND,0.0451145147283872,0.0009689322687336244,0.023995664591590565,1.3724439640839894,0.0028759489359799773,0.000467238782827432,-35.3632619,149.16523325,26793.5,-1.1666666666666667,32.666666666666664,135.5,-0.3333333333333333,64.83333333333333,-1014.8333333333334,1375.6666666666667,3.0,1.3333333333333333
17:21:25,1500.0,200.0,LAND,0.028023716130216297,0.0029999726878789565,0.02000367237875859,-0.10261201858520508,-0.005698419253652294,-0.005339864874258637,-35.3632619,149.16523361666668,24045.0,-0.5,35.333333333333336,130.66666666666666,0.6666666666666666,-23.333333333333332,-1019.3333333333334,-104.0,-5.333333333333333,-4.0
17:21:27,1500.0,90.0,LAND,0.020561914580563705,-0.0004995120398234576,0.017906212247908115,-0.558963481336832,-0.0025738313221760714,0.003953027538955212,-35.363262066666664,149.16523275,21342.0,-0.5,36.333333333333336,116.0,-1.6666666666666667,10.666666666666666,-1055.3333333333333,-551.0,-2.3333333333333335,5.166666666666667
17:21:29,1500.0,90.0,LAND,0.023886733882439632,0.0071545394603163,0.016233934089541435,-0.27456895013650257,0.005728574935346842,-0.007072901392045121,-35.36326195,149.16523305,19977.166666666668,0.0,39.333333333333336,50.0,1.8333333333333333,-36.0,-981.3333333333334,-275.5,5.5,-5.166666666666667
17:21:31,1500.0,200.0,LAND,-0.02745146118104458,0.009602932259440422,0.014199094070742527,-0.5218660458922386,0.0008167741179931909,-0.0029813965472082296,-35.3632618,149.16523723333333,18789.333333333332,-1.6666666666666667,15.833333333333334,65.5,3.3333333333333335,-4.5,-959.6666666666666,-514.6666666666666,0.8333333333333334,-1.6666666666666667
17:21:33,1500.0,200.0,LAND,-0.0018657528368445735,0.0017933296952605815,0.011199970419208208,0.6051181356112162,-0.005997123264630015,-0.0023724291240796447,-35.36326201666666,149.1652399666667,16472.0,-2.5,-12.833333333333334,143.0,0.6666666666666666,-3.0,-1018.1666666666666,603.0,-5.333333333333333,-1.3333333333333333
17:21:35,1500.0,90.0,LAND,-4.1434677162518106e-05,-0.0020302602012331286,0.00935701405008634,-1.1924184064070384,-0.0023306519336377582,0.002708125141604493,-35.3632623,149.1652381,13734.5,0.0,-12.0,112.0,-2.0,-57.166666666666664,-1044.6666666666667,-1192.5,-2.0,3.6666666666666665
17:21:37,1500.0,90.0,LAND,0.03495256726940473,-0.00039117210644690203,0.008036629452059666,0.7597483818729719,0.00030755224482466775,-0.0009630252025090158,-35.363262250000005,149.16523496666667,12428.333333333334,0.0,11.166666666666666,53.0,-2.3333333333333335,34.5,-987.6666666666666,762.8333333333334,0.5,0.3333333333333333
17:21:39,1500.0,200.0,LAND,0.03658065851777792,0.0028348483998949328,0.007366541773080826,-0.08219724396864574,0.001214728457853198,-0.001286667228365938,-35.36326201666666,149.16523308333333,11246.333333333334,0.0,29.333333333333332,67.33333333333333,-1.0,-24.333333333333332,-952.3333333333334,-83.5,1.5,0.16666666666666666
17:21:41,1500.0,200.0,LAND,0.028362845613931615,0.0018144119627928983,0.006818297319114208,0.635224238038063,0.0049520353495609015,0.0002829768927767873,-35.363262,149.16523255,8794.666666666666,-0.5,42.666666666666664,136.33333333333334,-0.8333333333333334,57.0,-1071.5,644.6666666666666,5.333333333333333,1.8333333333333333
17:21:43,1500.0,200.0,LAND,0.023171647917479277,0.005819306087990602,0.00582815520465374,0.12360890085498492,0.0036286318209022284,-0.0026667186369498572,-35.3632619,149.16523318333333,7836.0,-0.16666666666666666,38.166666666666664,-10.666666666666666,1.5,3.3333333333333335,-1011.3333333333334,129.0,3.6666666666666665,-1.0
17:21:45,1500.0,200.0,LAND,-0.012609847355633974,0.008179523516446352,0.004814988700672984,-0.006570406258106232,-0.0034016209829133004,-0.0014467452031870682,-35.3632617,149.16523701666665,8034.166666666667,-1.6666666666666667,15.333333333333334,0.5,3.6666666666666665,-7.333333333333333,-990.1666666666666,-2.0,-2.5,0.16666666666666666
17:21:47,1500.0,30.0,LAND,-0.013085579654822746,0.003391623691034814,0.0037300661594296494,-0.03370494830111662,-0.003354940563440323,0.0006731390215766927,-35.36326188333333,149.16523931666669,8030.166666666667,-2.5,-10.5,1.6666666666666667,0.6666666666666666,-1.5,-1001.0,-28.833333333333332,-2.5,2.0
17:21:49,1500.0,30.0,LAND,-0.013415902421305267,0.0029747268417850137,0.0035687890679885945,-0.0905211257437865,-0.000513748949742876,-0.000781931080079327,-35.363262,149.16523944999997,7931.666666666667,-1.0,-15.833333333333334,18.833333333333332,-0.5,1.1666666666666667,-979.3333333333334,-85.0,0.0,0.5
17:21:51,1500.0,200.0,LAND,-0.01699708914384246,0.005056823991859953,0.0022993074574818215,-0.23185957968235016,-0.0014707026324079682,0.0009082030155695975,-35.36326186666667,149.16523965000002,7469.5,-1.6666666666666667,-18.333333333333332,23.333333333333332,0.0,-8.833333333333334,-993.5,-227.0,-0.8333333333333334,2.3333333333333335
17:21:53,1500.0,200.0,LAND,0.009077111487082826,0.0045557941775768995,0.0019208394320836912,0.8488337360322475,0.0006238722320025166,0.0037836558961619935,-35.3632618,149.16523975,6183.0,-2.0,-18.666666666666668,134.33333333333334,1.1666666666666667,0.0,-935.1666666666666,846.8333333333334,1.3333333333333333,5.166666666666667
17:21:55,1500.0,200.0,LAND,-0.037345269694924355,0.003777806297875941,0.0010407839339071263,-0.4622096319993337,0.002763956435956061,-0.008016227666909495,-35.36326188333333,149.16524056666665,3200.6666666666665,-1.6666666666666667,-23.0,133.16666666666666,0.3333333333333333,13.833333333333334,-1031.3333333333333,-452.1666666666667,3.1666666666666665,-6.333333333333333
17:21:57,1500.0,200.0,LAND,-0.006908075418323278,0.0029586389428004622,0.0010762586413572233,0.48745496571063995,-0.0012837572818777214,0.00018861532832185426,-35.36326196666666,149.1652409333333,551.6666666666666,-1.0,-39.166666666666664,101.16666666666667,0.5,-6.333333333333333,-991.1666666666666,485.8333333333333,-0.5,1.5
17:21:59,1500.0,180.0,LAND,-0.0008576275597858642,0.005048958185528006,-0.0011039480809163901,0.00016027469454067095,0.001592716884001025,0.0006148413688476596,-35.363262071428565,149.16524084285714,0.0,-2.4285714285714284,-25.142857142857142,30.857142857142858,0.0,-1.2857142857142858,-1000.0,2.0,2.0,2.0
17:22:03,1500.0,180.0,LAND,0.008315773122012616,0.00685165524482727,-0.00910121314227581,0.0005470871226862073,0.0015558997867628932,0.0006105766166001559,-35.3632623,149.16524388,0.0,-5.6,8.0,11.4,0.0,-2.0,-1000.0,2.0,2.0,2.0
