time_stamp,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
01:55:53,RTL,-1.0,-39.5,-994.5,35.0,0.0,-1.5,132362.0,-35.3632628,149.16524120000003,215906.5,5.0,-37.5,98.5,-0.0035961492685601115,-0.0037188063142821193,0.10098662972450256,0.03670485503971577,-0.0018066316260956228,-0.005146201117895544
01:55:55,RTL,-2.5,-63.5,-994.0,-790.5,-0.5,-2.0,132362.0,-35.36326255,149.16523890000002,213858.0,3.5,-20.0,95.0,0.0003714238991960883,-0.0024329256266355515,0.10192139446735382,-0.7896983921527863,-0.0024912957451306283,-0.005589462351053953
01:55:56,RTL,-0.5,-71.25,-998.5,-1202.0,2.5,-3.25,220176.0,-35.36326242,149.16523796,212453.2,2.4,-9.8,98.0,-0.008806821703910828,-0.0015346616157330573,0.10094319730997085,-1.2566207885742187,0.000979110598564148,-0.005891663720831275
01:55:57,RTL,0.0,-66.0,-1020.5,-1319.5,2.0,0.5,220176.0,-35.3632624,149.1652376,211684.0,2.0,-6.0,97.0,-0.010319862514734268,-0.0013042513746768236,0.10125525295734406,-1.1648904085159302,-0.0018329191952943802,-0.0014304821379482746
01:55:59,RTL,-1.5,3.5,-973.5,-893.0,2.0,8.0,257271.0,-35.363262250000005,149.165237,209780.0,0.0,2.5,100.5,-0.020358189940452576,-0.0007085840043146163,0.10139650851488113,-0.8954022228717804,0.000351628172211349,0.004808025201782584
01:56:01,RTL,0.0,63.0,-980.0,621.0,9.0,5.0,257271.0,-35.3632622,149.1652366,207621.0,0.0,10.0,96.0,-0.0012524096528068185,0.00045775779290124774,0.1024068295955658,0.76234370470047,0.008473535999655724,0.005536533892154694
01:56:02,RTL,1.8,60.2,-1006.0,722.6,3.2,5.4,244843.0,-35.3632622,149.16523782000002,206344.0,0.8,3.2,98.4,-0.01241539791226387,0.0025366077199578283,0.10158993005752563,0.720287024974823,0.0015720903873443603,0.002297457028180361
01:56:03,RTL,1.0,64.0,-1026.0,845.0,0.0,5.0,244843.0,-35.3632623,149.1652387,205582.0,1.0,-1.0,101.0,-0.014630617573857307,0.0016862142365425825,0.10158348083496094,0.8435704708099365,-0.002150957705453038,0.0021511935628950596
01:56:05,RTL,-4.0,41.0,-1001.0,1397.0,5.0,11.0,152485.0,-35.3632625,149.1652398,203552.0,1.0,-16.0,101.0,0.008704730309545994,-0.0010207158047705889,0.10078886896371841,1.397347092628479,0.003315526759251952,0.00749761238694191
01:56:07,RTL,-1.5,-39.0,-976.5,-158.0,1.5,-0.5,152485.0,-35.3632624,149.16523784999998,201633.5,1.0,-8.5,98.5,0.015130150597542524,-0.00253899150993675,0.1009487472474575,-0.1564144790172577,4.3456151615828276e-05,-0.004684198414906859
