,A.AUTO1
17:11:09.825,-1
17:11:10.027,-1
17:11:10.228,-1
17:11:10.430,-1
17:11:10.631,-1
17:11:10.833,-1
17:11:11.034,-1
17:11:11.235,-1
17:11:11.436,-1
17:11:11.637,-1
17:11:11.838,-1
17:11:12.042,-1
17:11:12.243,-1
17:11:12.445,-1
17:11:12.646,-1
17:11:12.847,-1
17:11:13.049,-1
17:11:13.251,-1
17:11:13.453,-1
17:11:13.656,-1
17:11:13.858,-1
17:11:14.059,-1
17:11:14.262,-1
17:11:14.463,-1
17:11:14.664,-1
17:11:14.865,-1
17:11:15.066,-1
17:11:15.270,-1
17:11:15.472,-1
17:11:15.673,-1
17:11:15.875,-1
17:11:16.078,-1
17:11:16.279,-1
17:11:16.481,-1
17:11:16.682,-1
17:11:16.883,-1
17:11:17.084,-1
17:11:17.286,-1
17:11:17.488,-1
17:11:17.689,-1
17:11:17.890,-1
17:11:18.091,-1
17:11:18.292,-1
17:11:18.495,-1
17:11:18.697,-1
17:11:18.899,-1
17:11:19.100,-1
17:11:19.301,-1
17:11:19.503,-1
17:11:19.705,-1
17:11:19.908,-1
17:11:20.109,-1
17:11:20.311,-1
17:11:20.512,-1
17:11:20.713,-1
17:11:20.914,-1
17:11:21.115,-1
17:11:21.316,-1
17:11:21.517,-1
17:11:21.718,-1
17:11:21.920,-1
17:11:22.121,-1
17:11:22.323,-1
17:11:22.524,-1
17:11:22.726,-1
17:11:22.929,-1
17:11:23.131,-1
17:11:23.333,-1
17:11:23.536,-1
17:11:23.741,-1
17:11:23.943,-1
17:11:24.145,-1
17:11:24.348,-1
17:11:24.549,-1
17:11:24.751,-1
17:11:24.952,-1
17:11:25.153,-1
17:11:25.354,-1
17:11:25.555,-1
17:11:25.757,-1
17:11:25.959,-1
17:11:26.161,-1
17:11:26.362,-1
17:11:26.563,-1
17:11:26.769,-1
17:11:26.971,-1
17:11:27.172,-1
17:11:27.377,-1
17:11:27.582,-1
17:11:27.783,-1
17:11:27.986,-1
17:11:28.188,-1
17:11:28.390,-1
17:11:28.592,-1
17:11:28.793,-1
17:11:28.994,-1
17:11:29.195,-1
17:11:29.397,-1
17:11:29.600,-1
17:11:29.803,-1
17:11:30.003,-1
17:11:30.204,-1
17:11:30.405,-1
17:11:30.606,-1
17:11:30.807,-1
17:11:31.008,-1
17:11:31.209,-1
17:11:31.411,-1
17:11:31.612,-1
