,A.LOITER1
11:41:25.913,-1.0
11:41:26.120,-1.0
11:41:26.326,-1.0
11:41:26.537,-1.0
11:41:26.741,-1.0
11:41:26.944,-1.0
11:41:27.147,-1.0
11:41:27.352,-1.0
11:41:27.558,-1.0
11:41:27.763,-1.0
11:41:27.965,-1.0
11:41:28.171,-1.0
11:41:28.377,-1.0
11:41:28.583,-1.0
11:41:28.793,-1.0
11:41:28.995,-1.0
11:41:29.198,-1.0
11:41:29.402,-1.0
11:41:29.605,-1.0
11:41:29.809,-1.0
11:41:30.013,-1.0
11:41:30.216,-1.0
11:41:30.420,-1.0
11:41:30.624,-1.0
11:41:30.831,-1.0
11:41:31.035,-1.0
11:41:31.238,-1.0
11:41:31.442,-1.0
11:41:31.647,-1.0
11:41:31.849,-1.0
11:41:32.054,-1.0
11:41:32.260,-1.0
11:41:32.468,1.0
11:41:32.673,1.0
11:41:32.885,1.0
11:41:33.095,0.162
11:41:33.301,1.0
11:41:33.514,1.0
11:41:33.720,1.0
11:41:33.925,1.0
11:41:34.130,1.0
11:41:34.336,1.0
11:41:34.539,1.0
11:41:34.743,1.0
11:41:34.951,1.0
11:41:35.155,1.0
11:41:35.358,1.0
11:41:35.564,1.0
11:41:35.770,-1.0
11:41:35.985,-1.0
11:41:36.192,-1.0
11:41:36.396,-1.0
11:41:36.598,-1.0
11:41:36.808,-1.0
11:41:37.014,-1.0
11:41:37.228,-1.0
11:41:37.434,-1.0
11:41:37.641,-1.0
11:41:37.850,-1.0
11:41:38.055,-1.0
11:41:38.259,-1.0
11:41:38.463,-1.0
11:41:38.671,-1.0
11:41:38.878,-1.0
11:41:39.084,-1.0
11:41:39.290,-1.0
11:41:39.499,-1.0
11:41:39.704,-1.0
11:41:39.910,-1.0
11:41:40.117,-1.0
11:41:40.324,-1.0
11:41:40.532,-1.0
11:41:40.743,-1.0
11:41:40.949,-1.0
11:41:41.151,-1.0
11:41:41.355,-1.0
11:41:41.563,-1.0
11:41:41.773,-1.0
11:41:41.977,-1.0
11:41:42.179,-1.0
11:41:42.383,-1.0
11:41:42.591,-1.0
11:41:42.796,-1.0
11:41:42.999,-1.0
11:41:43.202,-1.0
11:41:44.591,-1.0
11:41:44.794,-1.0
11:41:44.997,-1.0
11:41:45.200,1.0
11:41:45.407,1.0
11:41:45.613,1.0
11:41:45.826,1.0
11:41:46.029,-1.0
11:41:46.234,-1.0
11:41:46.439,-1.0
11:41:46.645,-1.0
11:41:46.848,-1.0
11:41:47.051,-1.0
11:41:47.259,-1.0
11:41:47.465,-1.0
11:41:47.671,-1.0
11:41:47.882,-1.0
11:41:48.087,-1.0
11:41:48.294,-1.0
11:41:48.497,-1.0
11:41:48.700,-1.0
11:41:48.903,-1.0
11:41:49.106,-1.0
11:41:49.308,-1.0
11:41:49.511,-1.0
11:41:49.717,-1.0
11:41:49.920,-1.0
11:41:50.123,-1.0
11:41:50.326,-1.0
11:41:50.530,-1.0
11:41:50.732,-1.0
11:41:50.936,-1.0
11:41:51.143,-1.0
11:41:51.349,-1.0
11:41:51.553,-1.0
11:41:51.759,-1.0
11:41:51.964,-1.0
11:41:52.167,-1.0
11:41:52.370,-1.0
11:41:52.581,-1.0
11:41:52.784,-1.0
11:41:52.991,-1.0
11:41:53.201,-1.0
11:41:53.404,-1.0
11:41:53.608,-1.0
11:41:53.812,-1.0
11:41:54.019,-1.0
11:41:54.222,-1.0
11:41:54.430,-1.0
11:41:54.636,-1.0
11:41:54.840,-1.0
11:41:55.043,-1.0
11:41:55.247,-1.0
11:41:55.452,-1.0
11:41:55.657,-1.0
11:41:55.863,-1.0
11:41:56.071,-1.0
11:41:56.275,-1.0
11:41:56.480,-1.0
11:41:56.682,-1.0
11:41:56.886,-1.0
11:41:57.092,-1.0
11:41:57.296,-1.0
11:41:57.500,-1.0
11:41:57.707,-1.0
11:41:57.910,-1.0
11:41:58.115,-1.0
11:41:58.319,-1.0
11:41:58.523,-1.0
11:41:58.731,-1.0
11:41:58.936,-1.0
11:41:59.138,-1.0
11:41:59.341,-1.0
11:41:59.544,-1.0
11:41:59.750,-1.0
11:41:59.954,1.0
11:42:00.165,1.0
