time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz
01:14:59,44483.5,0.003536537755280733,0.0050739711150527,0.5069471995035807,0.5563848664363226,-0.0013283951363215845,0.0009283578644196192,RTL,0.6666666666666666,63.0,-1007.0,558.3333333333334,1.6666666666666667,4.0,-35.3632613,149.16523603333334,164174.66666666666,-9.666666666666666,17.333333333333332,97.66666666666667
01:15:01,7418.0,-0.02191649004817009,0.00158437304586793,0.5027271310488383,-1.4792387088139851,0.0024576790165156126,-0.009459709748625755,RTL,1.0,-77.66666666666667,-984.0,-1479.0,4.666666666666667,-6.0,-35.36326236666667,149.16523786666667,162146.33333333334,-1.0,1.6666666666666667,102.33333333333333
01:15:03,7418.0,-0.00793505103016893,0.0002881318990451594,0.49847278992335003,-1.0069235960642497,-0.0008823730361958345,-0.004795864690095186,RTL,0.0,-65.33333333333333,-1011.0,-1007.6666666666666,1.3333333333333333,-1.3333333333333333,-35.363262866666666,149.16523846666666,160104.33333333334,5.333333333333333,-7.333333333333333,103.33333333333333
01:15:04,6683.0,0.005199511380245288,0.0014727579740186532,0.4958585401376088,0.48273226618766785,-0.0011262473029394944,-0.003978598242004712,RTL,0.3333333333333333,-7.333333333333333,-986.0,481.0,1.0,-1.0,-35.3632629,149.1652386,158830.0,5.666666666666667,-7.333333333333333,99.0
01:15:05,6683.0,0.010320582737525305,0.0010414459781410794,0.4951685468355815,0.5427395304044088,0.0028200204639385142,-3.599053403983513e-05,RTL,0.0,-12.333333333333334,-962.6666666666666,540.6666666666666,5.0,2.6666666666666665,-35.3632629,149.16523873333335,158064.33333333334,6.0,-9.333333333333334,106.0
01:15:07,6683.0,0.02435629442334175,0.0002509733409776042,0.49127673109372455,0.9373308420181274,-0.0024013202637434006,-0.0034855627454817295,RTL,-2.0,17.666666666666668,-1041.0,936.0,0.3333333333333333,0.0,-35.36326243333334,149.16523793333332,156014.66666666666,3.3333333333333335,-6.666666666666667,101.33333333333333
01:15:09,13976.0,0.006395510009800394,-0.004555048343415062,0.4881509343783061,-0.9617007573445638,-0.00474668899551034,0.0029685056457916894,RTL,-6.333333333333333,-1.6666666666666667,-958.0,-959.6666666666666,-2.0,5.666666666666667,-35.363261433333335,149.16523563333334,153966.0,-5.666666666666667,7.0,100.66666666666667
01:15:11,13976.0,0.06163873026768366,-0.0036757459165528417,0.4867700934410095,-1.1036848624547322,0.009804910980165005,-0.0016160871212681134,RTL,-3.3333333333333335,-24.333333333333332,-1003.3333333333334,-1100.3333333333333,12.333333333333334,1.6666666666666667,-35.36325873333334,149.1652292,151971.0,-25.666666666666668,51.0,104.0
01:15:13,13976.0,-0.006159158539958298,0.015585094457492232,0.487227164208889,-1.049650564789772,0.007426701835356653,-0.006395551026798785,RTL,7.0,-31.25,-996.0,-1045.0,9.75,-2.75,-35.363259049999996,149.16523217499997,149948.0,-32.75,61.5,104.0
01:15:14,51348.0,-0.038196662440896034,0.016322304494678974,0.48634040355682373,-1.2631677389144897,-0.004157204588409513,-0.011603361926972866,RTL,12.5,-76.5,-1044.0,-1260.5,-1.5,-8.5,-35.36326105,149.1652371,148665.5,-19.0,28.0,101.0
01:15:16,51348.0,-0.04130766913294792,0.0014189688372425735,0.4844776690006256,-0.8510535955429077,-0.004668502602726221,-0.007327738683670759,RTL,5.0,-55.0,-1053.5,-850.5,-1.5,-4.0,-35.3632644,149.16524255000002,146624.5,10.5,-28.0,101.5
01:15:18,51348.0,-0.020458505488932133,-0.0009105918288696557,0.48315611481666565,1.505530595779419,0.0009903388563543558,0.004307330818846822,RTL,-0.5,66.5,-1031.0,1507.0,4.0,7.0,-35.3632653,149.16524335,144594.5,25.5,-45.0,99.0
01:15:19,11108.0,-0.03771749138832092,-0.0027971315721515566,0.48239991813898087,0.7363246232271194,-0.006604096852242947,0.003513018600642681,RTL,-2.75,71.75,-1000.5,739.0,-3.25,6.25,-35.363265125,149.16524305000002,143820.75,25.75,-45.25,104.75
01:15:20,11108.0,-0.028888288885354996,-0.00695407297462225,0.4811452478170395,-0.7847872376441956,-0.0036869330797344446,0.0003701642854139209,RTL,-7.5,14.5,-965.5,-782.0,-0.5,3.0,-35.36326415,149.16524075,142542.0,22.5,-40.5,106.5
01:15:22,11108.0,0.021252314560115337,0.006517251022160053,0.4813655912876129,-0.38259248435497284,0.015228420961648226,-0.00047534110490232706,RTL,1.5,-61.5,-930.5,-384.0,17.5,2.5,-35.363262,149.1652371,140479.0,5.5,-4.0,107.5
01:15:24,11934.5,-0.022706143092364073,0.004643049091100693,0.47820696234703064,0.7273650467395782,-0.0030677609611302614,0.019172089640051126,RTL,0.5,69.5,-970.5,729.5,0.0,21.5,-35.36326245,149.16523945,138446.5,0.5,-10.5,102.0
01:15:26,12761.0,-0.016413645818829536,-0.0015777975786477327,0.4791306108236313,0.36778827011585236,-0.005715630715712905,0.013714374974370003,RTL,-0.5,49.5,-970.0,369.5,-2.5,16.0,-35.3632628,149.16523890000002,136400.5,5.0,-13.0,103.5
01:15:28,12761.0,0.010732345283031464,-0.002484728582203388,0.47774340212345123,-0.1311982274055481,0.0014170610811561346,0.0033055932726711035,RTL,-5.5,-23.5,-1074.5,-133.0,3.5,6.0,-35.36326235,149.1652373,134324.5,1.5,-3.0,99.5
01:15:29,51025.0,0.04207478929311037,-0.005066952435299754,0.4774569049477577,-0.09468831960111856,-0.002558730135206133,0.011121657793410122,RTL,-6.5,-39.0,-971.0,-96.25,-0.25,14.0,-35.36326165,149.16523575,133566.5,-1.0,1.0,94.5
01:15:30,51025.0,0.07112755253911018,-0.005264996318146586,0.4771413654088974,0.36728063225746155,0.003932978375814855,0.00032128323800861835,RTL,-5.0,-23.5,-956.5,365.5,6.5,3.5,-35.3632602,149.1652323,132268.0,-13.0,26.0,100.0
01:15:32,51025.0,0.06598629429936409,0.008589291013777256,0.4789629727602005,1.3329368829727173,0.006193268927745521,0.00043354753870517015,RTL,2.0,44.5,-1040.5,1334.0,8.5,3.0,-35.3632588,149.16523065,130229.0,-30.0,58.0,92.5
01:15:34,67783.0,0.012038757093250751,0.007627743994817138,0.47705647349357605,-0.6913104169070721,-0.005861180019564927,-0.009826978668570518,RTL,2.0,-63.0,-971.0,-690.5,-2.5,-6.0,-35.3632603,149.16523475,128175.0,-23.5,34.0,93.5
01:15:36,84541.0,0.034341828897595406,8.957791396824177e-05,0.4776085168123245,0.7511792480945587,0.0002400786615908146,0.003913015127182007,RTL,0.0,2.0,-1010.5,752.5,2.5,7.0,-35.3632612,149.1652355,126135.5,-13.0,18.5,96.0
01:15:38,84541.0,0.0019738966366276145,0.008029695600271225,0.4782091975212097,0.51964370906353,0.008356519043445587,0.007020465796813369,RTL,3.5,41.5,-999.0,524.5,10.5,10.0,-35.363261449999996,149.16523619999998,124091.5,-8.5,17.0,98.5
01:15:39,56783.0,-0.03302184585481882,0.01105687441304326,0.4776849076151848,-0.5016367584466934,0.004647129797376692,0.0015601678751409054,RTL,5.0,6.75,-1011.25,-496.0,7.25,4.75,-35.363261949999995,149.165237975,123336.25,-6.0,10.25,94.25
01:15:40,56783.0,-0.05019712448120117,0.010438390541821718,0.47797495126724243,-1.4081004858016968,0.001848737127147615,-0.007739965803921223,RTL,7.0,-72.5,-1000.5,-1405.5,4.5,-4.5,-35.3632632,149.16524114999999,122075.5,5.0,-17.0,98.0
