time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,alt,lat,lon,relative_alt,vx,vy,vz,MODE
16:41:53,-0.05376432612538338,0.04589029997587204,-0.17552446722984313,-0.0003709752112627029,0.029720178805291653,-0.06257691755890846,-8.0,-7.4,-1005.6,0.4,30.0,-62.4,598534.0,-35.36325558,149.16524016,14548.0,37.4,-3.8,-152.6,AUTO
16:41:54,-0.039001841098070145,0.05961780995130539,-0.20871266722679138,0.055323027074337006,0.011398681439459324,-0.024266978725790977,-5.0,6.0,-999.0,56.0,12.0,-24.0,599710.0,-35.3632541,149.1652386,15725.0,-11.0,-38.0,-152.0,AUTO
16:41:55,0.04232400273904204,0.04899681434035301,-0.2120301306247711,0.06884140521287918,-0.027314205095171927,0.0021137952338904143,7.2,13.0,-1001.8,69.2,-26.4,1.8,601652.0,-35.363259119999995,149.165234,17666.0,-71.4,-9.8,-151.0,AUTO
16:41:56,0.08127298951148987,0.009755337610840797,-0.1976815015077591,-0.02552935481071472,-0.1318834275007248,0.0827844962477684,22.0,6.0,-998.0,-24.0,-131.0,82.0,602810.0,-35.3632642,149.1652343,18828.0,-77.0,43.0,-149.0,AUTO
16:41:57,-0.03819939475506544,-0.10447237938642502,-0.11469752043485641,-0.1450170487165451,0.04442053958773613,-0.04479125291109085,3.4,-13.8,-1006.6,-143.6,45.2,-45.2,604572.0,-35.36326648000001,149.16524188,20586.8,34.6,50.8,-146.8,AUTO
16:41:58,-0.12964698672294617,-0.02780098468065262,-0.23497417569160461,-0.011964640580117702,0.09937431663274765,-0.16762737929821014,-17.0,-11.0,-1015.0,-11.0,100.0,-167.0,605700.0,-35.3632623,149.1652441,21713.0,79.0,-28.0,-147.0,AUTO
16:42:01,-0.04179732874035835,0.067348494194448,-0.35446134209632874,0.08165201731026173,0.06713270302861929,-0.02130672661587596,-24.25,23.5,-1010.0,81.75,67.25,-20.75,608130.0,-35.36325660000001,149.16522485,24142.75,-19.5,-139.5,-148.0,AUTO
16:42:03,0.1153974961489439,0.08610349458952744,-0.35711417098840076,0.08242614132662614,-0.05685169626182566,0.016601701111843187,19.5,22.833333333333332,-1002.8333333333334,83.0,-55.666666666666664,15.833333333333334,610798.3333333334,-35.36327058333333,149.16520976666666,26813.5,-136.0,22.166666666666668,-145.5,AUTO
16:42:05,0.02968738212560614,-0.18614336351553598,-0.24581387639045715,-0.18443373839060465,-0.04313751434286436,0.036130212557812534,20.5,-44.333333333333336,-1024.8333333333333,-182.83333333333334,-42.0,36.166666666666664,613588.3333333334,-35.363281199999996,149.16524156666665,29603.0,96.33333333333333,195.33333333333334,-128.66666666666666,AUTO
16:42:07,-0.1126591054101785,0.06693515243629615,-0.3942521313826243,0.032025304002066456,0.13951502367854118,0.0016822072502691299,-36.833333333333336,-22.833333333333332,-1027.3333333333333,32.5,139.83333333333334,1.5,616421.6666666666,-35.36324775,149.16525414999998,32435.0,149.33333333333334,-82.66666666666667,-154.66666666666666,AUTO
16:42:09,0.016993845626711846,0.15095857083797454,-0.3778912901878357,0.06106702983379364,-0.10104429218918085,0.07423378732055426,14.833333333333334,36.333333333333336,-1002.8333333333334,66.0,-78.0,61.666666666666664,619626.0,-35.363253459999996,149.16523342,35639.6,-200.4,-30.2,-130.2,AUTO
16:42:11,0.08765734266489744,-0.15670730359852314,-0.21186146388451257,-0.05289538258997103,-0.15146989887580276,0.10325087397359312,39.0,-4.666666666666667,-1016.1666666666666,-52.0,-150.5,103.0,622336.6666666666,-35.36328501666666,149.16524701666665,38353.333333333336,-79.16666666666667,137.66666666666666,-151.0,AUTO
16:42:13,-0.15063283468286195,-0.0664471775914232,-0.3712549606959025,-0.046448394656181335,0.19847395519415537,-0.09684293041937053,-38.333333333333336,-32.166666666666664,-1035.8333333333333,-45.666666666666664,198.83333333333334,-96.5,625121.6666666666,-35.36326581666666,149.16526418333333,41135.333333333336,204.83333333333334,-68.66666666666667,-130.33333333333334,AUTO
16:42:15,-0.06747228155533473,0.17325211564699808,-0.3822132994731267,0.029284245101734996,-0.03373071551322937,0.11321725268498994,-16.0,40.0,-997.0,30.0,-32.666666666666664,113.5,627993.3333333334,-35.363253766666666,149.16522913333333,44008.5,-121.16666666666667,-167.33333333333334,-134.5,LOITER
16:42:17,0.15100452800591788,-0.33363311489423114,-0.07532894394050042,0.9110513087362051,-0.05447285125652949,-0.02359593380242586,-2.6666666666666665,40.166666666666664,-865.8333333333334,911.0,-53.666666666666664,-23.166666666666668,629803.3333333334,-35.36328425,149.165202,45815.833333333336,-40.666666666666664,-65.0,36.5,LOITER
16:42:19,0.009231057735936096,0.0890331460783879,-0.0007604320611183842,0.5447122553984324,0.042233370477333665,-0.013054283801466227,-3.0,-33.0,-1005.8333333333334,540.3333333333334,42.833333333333336,-12.333333333333334,626765.0,-35.36326955,149.1652081,42782.0,84.33333333333333,68.5,199.16666666666666,AUTO
16:42:20,-0.026053203269839287,0.014166154898703098,-0.01915106363594532,0.9879143238067627,-0.027204766869544983,-0.013817589730024338,5.0,54.0,-1135.0,992.0,-26.0,-13.0,624350.0,-35.3632653,149.1652158,40364.0,-3.0,3.0,79.0,AUTO
16:42:21,-0.013690879009664059,-0.0057140282355248925,-0.031142061576247215,0.4137507021427155,-0.020977225387468934,-0.0144441407173872,2.6,11.4,-1068.8,413.4,-19.6,-13.2,623952.0,-35.36326587999999,149.16521666,39966.8,-3.2,-9.0,27.4,AUTO
16:42:23,0.004333641205448657,-0.006918483627183984,-0.05480801624556383,0.00030605743328730267,0.0061662041892608,-0.010668850659082333,-2.0,-1.6666666666666667,-1048.3333333333333,0.3333333333333333,6.166666666666667,-9.5,624265.0,-35.363266233333334,149.16521643333334,40280.5,12.0,-8.166666666666666,-63.333333333333336,AUTO
16:42:25,0.026325715084870655,0.0031546064419671893,-0.07341327766577403,0.02927605714648962,-0.0001977363038652887,-0.0046203087937707705,-1.5,-1.5,-1019.6666666666666,29.333333333333332,0.5,-3.5,626398.3333333334,-35.36326461666667,149.16521628333334,42412.5,11.666666666666666,8.666666666666666,-142.0,AUTO
16:42:27,-0.04624173130529622,0.01318846883562704,-0.12376107896367709,-0.10699158192922671,-0.000494802991549174,-0.04051857596884171,2.0,-7.5,-1004.0,-106.0,0.3333333333333333,-39.166666666666664,629390.0,-35.36326246666666,149.16522281666667,45405.166666666664,7.5,31.5,-145.5,LOITER
16:42:29,0.034629506369431816,-0.003976942195246617,-0.10219712927937508,-0.056678381438056626,-0.027758245045940082,0.02118152496404946,-8.5,17.333333333333332,-808.8333333333334,-54.166666666666664,-26.833333333333332,22.166666666666668,631480.0,-35.3632634,149.16521223333334,47495.5,-19.0,-82.83333333333333,21.166666666666668,LOITER
16:42:31,0.04630606109276414,0.017735386344914634,-0.10788437848289807,0.7619835337003072,0.020333022500077885,0.016405560891143978,12.333333333333334,17.0,-1024.3333333333333,764.6666666666666,20.666666666666668,17.0,628390.0,-35.36326343333334,149.16521121666668,44402.0,13.5,67.66666666666667,203.33333333333334,LOITER
16:42:33,-0.06175180971622467,0.01366281434893608,-0.11700402051210404,0.073640076816082,-0.023691258765757083,-0.01708367671817541,7.8,-45.4,-1053.2,66.2,-22.6,-15.6,624930.0,-35.363261220000005,149.16522648,40944.2,-3.2,-5.0,146.0,AUTO
16:42:36,-0.0208867519783477,-0.002572898636572063,-0.12403578932086627,-0.017353996634483337,-0.00021749321604147553,-0.0030018652323633432,-0.5,6.333333333333333,-1049.1666666666667,-17.166666666666668,-0.16666666666666666,-1.5,623568.3333333334,-35.36326171666667,149.16522851666667,39583.333333333336,-3.8333333333333335,-41.666666666666664,-0.3333333333333333,AUTO
16:42:38,-0.005211582601380845,-0.0005707979168316039,-0.13272577772537866,0.010372145722309748,0.0018124848138540983,-0.0036808779696002603,-1.1666666666666667,0.8333333333333334,-1046.6666666666667,8.666666666666666,2.0,-2.1666666666666665,624623.3333333334,-35.36326196666666,149.16522733333332,40637.166666666664,0.5,-26.5,-95.66666666666667,AUTO
16:42:40,0.05006919397662083,0.0025286591577848108,-0.14107193301121393,-0.005651177217562993,0.012740235921228305,-0.020628184836823493,-0.16666666666666666,-3.3333333333333335,-998.3333333333334,-7.5,13.5,-19.833333333333332,627335.0,-35.36326141666667,149.16522763333333,43350.5,8.0,18.833333333333332,-145.0,AUTO
16:42:42,-0.05295999782780806,0.007737057205910484,-0.19906104852755865,0.02011071580151717,-0.004128379630856216,-0.014104528352618217,-2.3333333333333335,2.6666666666666665,-1002.8333333333334,18.333333333333332,-3.1666666666666665,-12.666666666666666,630216.6666666666,-35.36325995000001,149.1652316,46230.833333333336,-4.5,-14.166666666666666,-146.5,AUTO
16:42:44,0.05350307747721672,-0.006991737677405278,-0.15050490200519562,0.13622983498498797,-0.013827520170404265,0.02886112251629432,-7.833333333333333,17.0,-945.6666666666666,134.33333333333334,-13.0,30.166666666666668,633031.6666666666,-35.36326271666666,149.16521723333335,49047.0,-22.333333333333332,-56.666666666666664,-99.5,AUTO
16:42:46,0.039572177377219,0.012689299571017424,-0.14852786560853323,-0.2504202928394079,0.016388503446554143,0.0030155841183538237,4.333333333333333,-19.5,-972.5,-251.16666666666666,16.5,3.6666666666666665,634156.6666666666,-35.363262733333336,149.16521656666666,50170.5,14.5,70.0,-15.833333333333334,AUTO
16:42:48,-0.0011028487933799624,0.006926854529107611,-0.15112860004107156,-0.34511848725378513,-0.016733269672840834,-0.0032447410436968007,0.5,-49.0,-904.6666666666666,-351.1666666666667,-15.666666666666666,-1.5,633883.3333333334,-35.363261216666665,149.16522375,49896.333333333336,-3.3333333333333335,16.333333333333332,61.666666666666664,LOITER
