time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
04:49:31,63723.0,0.5,-9.0,-1006.0,-211.5,3.5,1.5,-35.3628348,149.16612035,57076.5,0.5,-2.5,-55.5,RTL,-0.0007726647891104221,0.00897877849638462,1.0344873070716858,-0.2140282765030861,0.00024305458646267653,-0.0015649284468963742
04:49:32,14650.0,0.0,2.0,-968.25,52.75,4.0,3.75,-35.362834825,149.166120425,57476.75,0.25,-2.0,-43.5,RTL,-0.001650360005442053,0.009096657857298851,1.034409373998642,0.0505740384105593,0.0007922216318547726,0.0014182766317389905
04:49:33,14650.0,-0.5,-4.5,-975.0,-368.5,4.0,1.0,-35.3628349,149.1661205,57766.0,2.0,-3.0,0.0,RTL,-0.010584334377199411,0.008318387903273106,1.034868836402893,-0.3718969076871872,0.0005604102043434978,-0.0012533297995105386
04:49:35,14650.0,0.0,3.0,-1037.5,237.0,2.5,1.5,-35.362834449999994,149.1661203,57788.0,0.0,-3.0,-20.5,RTL,0.009987958241254091,0.00829414650797844,1.035062849521637,0.2351888306438923,-0.0009042382007464767,-0.0006964020431041718
04:49:36,176468.0,0.5,-3.0,-1025.5,-49.25,5.5,2.25,-35.362834424999996,149.166120325,58064.25,-1.75,-1.5,-46.25,RTL,0.0008411485468968749,0.009859896497800946,1.034293681383133,-0.05134327709674835,0.001975356775801629,5.906942533329129e-05
04:49:37,176468.0,0.0,-12.0,-963.0,-264.5,1.5,1.5,-35.36283485,149.16612064999998,58725.5,0.0,-3.0,-42.5,RTL,-0.009197493316605687,0.010239706840366125,1.0345239639282227,-0.26688384264707565,-0.0015215472085401416,-0.0010531084844842553
04:49:39,176468.0,0.0,-14.0,-1004.0,-34.0,3.5,2.0,-35.3628351,149.16612064999998,58950.0,5.0,-6.0,3.0,RTL,0.0014413053868338466,0.007510477444157004,1.034920871257782,-0.03507940471172333,-0.00040584150701761246,-0.00042363954707980156
04:49:40,300000.0,-0.5,4.25,-1032.25,31.25,3.25,4.25,-35.36283485,149.1661204,58952.75,2.75,-4.25,-7.0,RTL,0.002785104857366605,0.0064659310737624764,1.0350430011749268,0.028909608721733093,-0.0002514121006242931,0.0017532476340420544
04:49:41,300000.0,-1.5,4.5,-1025.0,172.0,5.0,4.0,-35.362834050000004,149.1661198,59312.5,-1.5,-1.0,-50.5,RTL,0.01496234955266118,0.006841901922598481,1.0342180132865906,0.16993491351604462,0.001127749215811491,0.0015284542459994555
04:49:43,300000.0,-1.0,-22.0,-962.0,-339.5,1.5,4.5,-35.362832850000004,149.16611890000001,60174.5,-12.5,5.5,-9.5,RTL,0.021112357266247272,0.006753477966412902,1.0350911617279053,-0.3413091590628028,-0.002597733633592725,0.002035475568845868
04:49:44,300000.0,-0.75,6.25,-992.75,127.75,5.0,3.25,-35.3628326,149.166118675,60190.5,-16.75,9.0,2.5,RTL,0.022869700100272894,0.007248155656270683,1.0351648330688477,0.12542354315519333,0.0011827775742858648,0.0004167459555901587
04:49:45,300000.0,1.0,21.0,-1036.0,478.0,9.5,5.5,-35.362832749999995,149.1661188,60169.5,-19.5,11.0,-6.0,RTL,0.019061502069234848,0.008079309249296784,1.0356143712997437,0.4753338694572449,0.00550032127648592,0.002755743218585849
04:49:47,300000.0,1.5,1.5,-983.0,136.5,2.5,1.5,-35.3628336,149.16611945,60953.5,-14.0,6.5,-50.5,RTL,0.006274363026022911,0.009913010988384485,1.03438401222229,0.13363050669431686,-0.001469659386202693,-0.0009932857938110828
04:49:48,201340.0,1.0,-2.75,-958.5,12.25,5.5,3.75,-35.3628341,149.16611985,61247.5,-9.75,4.5,-24.75,RTL,-0.0007358796719927341,0.009992793900892138,1.034872055053711,0.009412325918674469,0.0016780965961515903,0.0010699083795771003
04:49:49,201340.0,0.5,24.5,-1000.0,602.0,5.5,5.0,-35.3628347,149.16612025,61346.5,-3.0,0.0,3.0,RTL,0.004881521570496261,0.009090117644518614,1.0349999070167542,0.5990495681762695,0.002184026991017163,0.002375625306740403
04:49:51,201340.0,0.0,8.5,-1034.0,43.5,7.5,3.5,-35.36283485,149.1661203,61559.0,0.0,-1.0,-42.0,RTL,-0.0004475726746022701,0.0075177461840212345,1.0347801446914673,0.03991082310676575,0.003525921842083335,0.0006869088392704725
04:49:52,115852.0,-0.6666666666666666,2.6666666666666665,-1009.0,37.0,5.666666666666667,4.0,-35.362834775,149.16612022500001,61952.75,0.0,-1.0,-55.25,RTL,0.002922635234426707,0.008061188738793135,1.034490317106247,0.08730163797736168,0.0017546707531437278,0.0011781220091506839
04:49:53,115852.0,-0.6666666666666666,9.333333333333334,-965.6666666666666,341.0,6.666666666666667,3.6666666666666665,-35.36283455,149.1661202,62523.5,0.0,-1.0,-22.5,RTL,0.008091932162642479,0.008423510007560253,1.0351434350013733,0.38524942100048065,0.0036546140909194946,0.0005273000570014119
04:49:55,115852.0,-0.5,-17.5,-1013.5,-559.5,2.5,3.0,-35.3628344,149.1661202,62566.0,-1.5,-1.0,-0.5,RTL,-0.005727621726691723,0.008896788116544485,1.0352460741996765,-0.5625100433826447,-0.0012737128417938948,1.6191741451621056e-05
04:49:56,53009.0,0.0,1.0,-1037.5,77.0,5.75,2.5,-35.36283455,149.16612035,62671.0,-0.75,-1.25,-26.5,RTL,-0.0008797640912234783,0.009297325275838375,1.0351038873195648,0.074051633477211,0.001989577664062381,-0.00037987815449014306
04:49:57,53009.0,0.5,-7.5,-997.5,-220.0,3.0,2.0,-35.3628347,149.1661205,63251.0,0.0,-3.5,-57.5,RTL,-0.004345493158325553,0.009709600359201431,1.0343942642211914,-0.22351429611444473,-0.0018429658375680447,-0.0010151490569114685
04:49:59,53009.0,1.0,-34.0,-978.0,-691.0,0.0,3.0,-35.3628346,149.1661203,63880.0,0.0,-3.0,-1.0,RTL,-0.002017986960709095,0.008257044479250908,1.034827470779419,-0.6946093440055847,-0.003384358249604702,0.0007644444704055786
04:50:00,3241.0,-0.5,10.0,-996.5,191.25,4.75,2.0,-35.3628345,149.16612016,63862.6,-0.8,-1.6,3.0,RTL,0.003909606672823429,0.007615550886839628,1.0351891756057738,0.020429990813136102,0.000763535313308239,-0.0011663416866213084
