,A.RTL3
17:13:15.075,-0.518
17:13:15.281,-0.518
17:13:15.487,-0.518
17:13:15.691,-0.518
17:13:15.893,-0.518
17:13:16.095,-0.518
17:13:16.297,-0.518
17:13:16.499,-0.518
17:13:16.701,-0.518
17:13:16.907,-0.282
17:13:17.109,-0.35
17:13:17.311,-0.35
17:13:17.515,-0.35
17:13:17.716,-0.35
17:13:17.918,-0.35
17:13:18.119,-0.35
17:13:18.321,-0.35
17:13:18.523,-0.35
17:13:18.724,-0.498
17:13:18.927,-0.498
17:13:19.128,-0.463
17:13:19.335,-0.463
17:13:19.539,-0.463
17:13:19.741,-0.463
17:13:19.942,-0.463
17:13:20.144,-0.463
17:13:20.346,-0.463
17:13:20.547,-0.463
17:13:20.750,-0.075
17:13:20.952,-0.105
17:13:21.154,-0.105
17:13:21.357,-0.105
17:13:21.559,-0.105
17:13:21.761,-0.105
17:13:21.962,-0.105
17:13:22.164,-0.105
17:13:22.365,-0.105
17:13:22.567,-0.049
17:13:22.769,-0.114
17:13:22.970,-0.131
17:13:23.173,-0.131
17:13:23.374,-0.131
17:13:23.577,-0.131
17:13:23.779,-0.131
17:13:23.981,-0.131
17:13:24.184,-0.131
17:13:24.385,-0.131
17:13:24.587,-0.047
17:13:24.789,-0.122
17:13:24.990,-0.141
17:13:25.192,-0.141
17:13:25.396,-0.141
17:13:25.598,-0.141
17:13:25.801,-0.141
17:13:26.003,-0.141
17:13:26.204,-0.141
17:13:26.407,-0.141
17:13:26.608,-0.141
17:13:26.811,-0.113
17:13:27.012,-0.12
17:13:27.214,-0.12
17:13:27.416,-0.12
17:13:27.618,-0.12
17:13:27.821,-0.12
17:13:28.023,-0.12
17:13:28.224,-0.12
17:13:28.425,-0.12
17:13:28.627,-0.051
17:13:28.829,-0.06
17:13:29.030,-0.068
17:13:29.235,-0.068
17:13:29.437,-0.068
17:13:29.640,-0.068
17:13:29.842,-0.068
17:13:30.045,-0.068
17:13:30.249,-0.068
17:13:30.451,-0.068
17:13:30.654,-0.05
17:13:30.855,-0.069
17:13:31.057,-0.078
17:13:31.261,-0.078
17:13:31.466,-0.078
17:13:31.669,-0.078
17:13:31.871,-0.078
17:13:32.072,-0.078
17:13:32.273,-0.078
17:13:32.477,-0.078
17:13:32.680,-0.037
17:13:32.881,-0.054
17:13:33.084,-0.053
17:13:33.286,-0.053
17:13:33.488,-0.053
17:13:33.691,-0.053
17:13:33.893,-0.053
17:13:34.095,-0.053
17:13:34.297,-0.053
17:13:34.499,0.005
17:13:34.701,0.006
17:13:34.903,0.006
17:13:35.105,0.007
17:13:35.310,0.007
17:13:35.512,0.007
17:13:35.715,0.007
17:13:35.919,0.007
17:13:36.121,0.007
17:13:36.323,0.007
17:13:36.527,0.007
17:13:36.731,-0.0
17:13:36.933,-0.0
17:13:37.138,-0.0
17:13:37.340,-0.0
17:13:37.543,-0.0
17:13:37.744,-0.0
17:13:37.948,-0.0
17:13:38.150,-0.0
17:13:38.357,-0.0
17:13:38.560,-0.0
17:13:38.761,0.0
17:13:38.966,0.0
17:13:39.168,0.0
17:13:39.369,0.0
17:13:39.571,0.0
17:13:39.773,0.0
17:13:39.975,0.0
17:13:40.177,0.0
17:13:40.379,0.0
17:13:40.583,-0.019
17:13:40.785,-0.052
17:13:40.989,-0.062
