time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
17:36:09,AUTO,0.027519498330851395,0.0624674508968989,0.9123815695444742,0.1955281545718511,0.027333389967679977,-0.008907835464924574,-51.333333333333336,-22.666666666666668,-1002.8333333333334,197.33333333333334,28.333333333333332,-8.166666666666666,-35.36268331666667,149.16607098333333,49995.5,163.16666666666666,187.83333333333334,0.3333333333333333,1500.0
17:36:11,AUTO,-0.008895235943782609,0.05517657349507014,0.9069373905658722,-0.00527007132768631,-0.019965380740662415,-0.004567741697731738,-12.5,-10.5,-999.1666666666666,-4.5,-18.0,-3.5,-35.3626669,149.1660969,49994.666666666664,48.0,36.5,0.5,1500.0
17:36:13,AUTO,-0.023246087444325287,0.008802754183610281,0.9044540723164877,0.04679662734270096,-0.023817329357067745,-0.007758990473424395,0.6666666666666666,-0.3333333333333333,-1001.8333333333334,47.0,-22.166666666666668,-6.666666666666667,-35.36266506666667,149.16610048333334,50004.0,13.666666666666666,-21.5,0.6666666666666666,1500.0
17:36:15,RTL,-0.007923342403955758,-0.014544955035671592,0.8995724678039551,-0.1553787738084793,0.036751531064510345,-0.005017829826101661,-4.6,-3.6,-995.4,-154.4,38.2,-4.4,-35.3626642,149.16610008000004,50007.0,23.4,-2.8,0.2,1500.0
17:36:17,RTL,-0.0025305079373841486,0.02415842143818736,0.8934151530265808,0.003549883762995402,0.024164205805088084,-1.3889254963335892e-05,-0.8333333333333334,2.8333333333333335,-1000.1666666666666,3.5,25.333333333333332,0.3333333333333333,-35.36266233333333,149.16610105,50005.333333333336,1.3333333333333333,-13.166666666666666,0.6666666666666666,1500.0
17:36:19,RTL,-0.005955251379892464,0.07743272371590137,0.8892841339111328,-0.05236595574145516,0.03629821352660656,-0.001777784200385213,16.333333333333332,12.0,-997.5,-52.166666666666664,37.333333333333336,-1.3333333333333333,-35.362666149999995,149.16609371666667,50000.166666666664,-61.5,-66.66666666666667,0.5,1500.0
17:36:25,RTL,-0.043005652725696564,0.16469824314117432,0.8823489546775818,0.22771166265010834,0.0064071048982441425,-0.023999324068427086,61.0,44.0,-1002.0,226.0,8.0,-23.0,-35.3626957,149.166054,49970.0,-210.0,-242.0,0.0,1500.0
17:36:27,RTL,-0.06227527651935816,0.20557358115911484,0.8792862743139267,-0.0303592923519318,0.029095689300447702,0.003339379676617682,90.6,56.4,-999.8,-9.4,30.6,1.4,-35.3627341,149.165999525,49949.25,-313.75,-373.0,2.5,1500.0
17:36:29,RTL,-0.06746204694112141,0.21242577334245047,0.7840864260991415,0.013335887808352709,-0.0299580916762352,-0.2089050312836965,124.0,86.75,-995.5,14.0,-24.0,-176.75,-35.3628018,149.16590066666666,49932.333333333336,-462.6666666666667,-523.0,0.0,1500.0
17:36:35,RTL,-0.13369222730398178,0.10893387347459793,0.7118125259876251,-0.11074119433760643,0.030545536428689957,0.5208688676357269,140.0,110.0,-975.0,-79.33333333333333,26.333333333333332,394.6666666666667,-35.363101650000004,149.16546425,49790.5,-531.0,-609.0,-46.5,1500.0
