,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
16:25:09.376,80823.0,0.0,0.1,-10.0,0.25,0.0,0.0,0.0,510.0,1.0,0.1,50.0,50.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:13.393,24727.0,1.1,0.0,7.0,0.25,0.0,0.0,11254.0,0.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:17.435,194488.0,0.1,1.3,10.1,0.25,3.6,0.0,32000.0,120.0,1.0,0.1,50.0,50.0,383.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:21.467,280292.0,0.8,1.0,10.1,0.25,3.0,0.0,0.0,0.0,1.0,0.1,50.0,50.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:25.516,300000.0,0.4,1.6,-1.1,0.25,3.8,0.0,7685.0,630.0,1.0,0.1,50.0,50.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:29.076,200.0,1.0,1.2,10.1,0.25,3.4,0.0,15858.0,330.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:33.112,300000.0,0.6,1.0,4.3,0.25,3.2,0.0,9216.0,470.0,1.0,0.1,50.0,50.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:37.126,200.0,0.8,0.2,-0.8,0.25,5.1,0.0,3103.0,190.0,1.0,0.1,50.0,50.0,770.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:41.165,228916.0,1.0,1.1,10.1,0.25,0.4,0.0,32000.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:45.211,300000.0,0.8,0.1,10.1,0.25,0.0,0.0,9982.0,680.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:49.235,200.0,1.0,1.6,-10.0,0.25,1.8,0.0,28102.0,0.0,1.0,0.1,50.0,50.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0
16:25:53.299,300000.0,0.8,0.3,-10.0,0.25,4.5,0.0,15421.0,1000.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
