time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
02:08:32,0.009349329707523188,0.006825430396323402,-0.16128251949946085,-0.010680322535336018,-0.012187960868080458,-0.0024594618395591774,2.3333333333333335,0.0,-999.6666666666666,-9.333333333333334,-11.0,-2.3333333333333335,AUTO,-35.363260833333335,149.1652346,16062.0,-13.0,9.0,-152.0,219357.0
02:08:33,-0.03529634031777581,-0.0003679335253157963,-0.16880972186724344,-0.076265553633372,-0.0063092342267433805,-0.016011004336178303,2.0,0.3333333333333333,-999.0,-75.33333333333333,-5.0,-16.0,AUTO,-35.363261566666665,149.16523510000002,17220.333333333332,-12.0,1.0,-150.33333333333334,219357.0
02:08:35,0.058674877509474754,0.002160174786695279,-0.14349805563688278,0.05187845788896084,-0.013331322930753231,0.010177185758948326,1.5,2.5,-1000.5,52.5,-12.0,9.5,AUTO,-35.36326415,149.16523145000002,20370.5,-15.5,8.0,-154.0,150043.5
02:08:37,-0.07080314680933952,-0.011438209524688622,-0.18907026946544647,-0.08851053317387898,0.06444620216886203,-0.11269593983888626,0.3333333333333333,-17.0,-1014.6666666666666,-87.33333333333333,64.66666666666667,-112.66666666666667,AUTO,-35.36326163333333,149.1652432666667,23382.333333333332,44.666666666666664,47.666666666666664,-151.33333333333334,80730.0
02:08:38,-0.06955882410208385,0.029566083724300068,-0.29822171727816266,0.06184281905492147,0.02722856216132641,-0.03220802669723829,-8.666666666666666,6.0,-1000.3333333333334,62.333333333333336,27.666666666666668,-32.0,AUTO,-35.3632586,149.16524173333335,25318.0,-3.6666666666666665,-59.0,-151.33333333333334,84248.0
02:08:39,-0.01780562677110235,0.04669597993294398,-0.3084040979544322,0.07433671007553737,0.016063228249549866,-0.007335529352227847,-8.0,17.666666666666668,-1004.0,74.66666666666667,16.666666666666668,-7.0,AUTO,-35.36326,149.16523583333333,26468.0,-42.666666666666664,-71.66666666666667,-151.33333333333334,84248.0
02:08:41,0.11566776533921559,-0.005167256109416485,-0.2914854784806569,-0.0035157945627967515,-0.11228965222835541,0.06481808051466942,19.333333333333332,1.3333333333333333,-997.0,-3.0,-110.66666666666667,64.0,AUTO,-35.363272099999996,149.16523220000002,29566.666666666668,-58.666666666666664,76.66666666666667,-148.66666666666666,55751.5
02:08:43,-0.10820712645848592,-0.032433971762657166,-0.27530770500500995,0.026728368053833645,0.19262109696865082,-0.06471084260071318,-24.333333333333332,-25.666666666666668,-1021.0,28.0,193.33333333333334,-64.66666666666667,AUTO,-35.36326196666666,149.16524843333332,32471.666666666668,140.66666666666666,-18.666666666666668,-143.33333333333334,27255.0
02:08:44,-0.03544980722169081,0.11938911428054173,-0.28689926862716675,0.05647717664639155,0.05810857564210892,0.005311870947480202,-19.0,8.333333333333334,-1005.6666666666666,57.0,58.666666666666664,4.666666666666667,AUTO,-35.363251866666666,149.16523943333334,34392.333333333336,14.333333333333334,-83.0,-155.33333333333334,217414.0
02:08:45,0.01646623310322563,0.141445259253184,-0.28339604536692303,0.0785057470202446,0.0009390015620738268,0.006023721148570378,-1.0,19.0,-997.3333333333334,79.0,1.6666666666666667,5.666666666666667,AUTO,-35.36325406666666,149.16523346666668,35554.666666666664,-83.66666666666667,-51.333333333333336,-148.33333333333334,217414.0
02:08:47,0.0014185390124718349,-0.10529393330216408,0.023427818591396015,0.0707146388789018,0.24073602259159088,-0.0005012530212601026,-5.333333333333333,-6.333333333333333,-948.6666666666666,71.66666666666667,241.33333333333334,0.0,AUTO,-35.363268166666664,149.16523486666665,37939.333333333336,46.666666666666664,26.0,-54.333333333333336,190935.0
02:08:49,-0.00857378647197038,0.037698944409688316,-0.022507018099228542,-0.01898019512494405,-0.017881744851668675,-0.01420931393901507,-1.6666666666666667,6.0,-962.6666666666666,-17.333333333333332,-16.333333333333332,-13.333333333333334,AUTO,-35.36325933333333,149.1652382,38667.666666666664,13.666666666666666,4.666666666666667,-17.666666666666668,164456.0
02:08:50,-0.048396131644646324,0.007265427925934394,-0.039328803618748985,-0.5013917038838068,-0.058866679668426514,-0.018571509358783562,3.0,-10.666666666666666,-1011.3333333333334,-499.6666666666667,-57.333333333333336,-18.0,AUTO,-35.3632604,149.16523783333332,38623.666666666664,-28.666666666666668,-18.666666666666668,6.0,214514.0
02:08:51,-0.06054904187719027,-0.018987242442866165,-0.050403972466786705,0.18481250603993735,-0.017240876331925392,-0.03155056185399493,-1.6666666666666667,13.333333333333334,-1006.6666666666666,185.0,-15.666666666666666,-30.666666666666668,AUTO,-35.3632624,149.16523546666664,38579.0,-23.333333333333332,-49.333333333333336,1.3333333333333333,214514.0
02:08:53,-0.016393812062839668,-0.13657170037428537,-1.3188477754592896,-0.28547200560569763,-0.004071502325435479,-0.6814069946606954,-39.333333333333336,-21.0,-999.6666666666666,-284.3333333333333,-2.6666666666666665,-680.6666666666666,AUTO,-35.363265399999996,149.16521206666667,38438.666666666664,-9.333333333333334,-192.0,11.333333333333334,167253.5
02:08:55,0.03854789212346077,-0.0918369044860204,-1.5401803652445476,-0.3254269150396188,0.012797908081362644,0.004778883419930935,-60.666666666666664,-53.0,-994.3333333333334,-325.0,13.333333333333334,4.666666666666667,AUTO,-35.363268,149.16515763333334,38082.666666666664,-10.333333333333334,-297.6666666666667,19.333333333333332,119993.0
