time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
21:25:56,0.0,7.5,-1034.5,238.0,0.0,1.5,AUTO,0.0014277767040766776,0.006945860804989934,1.013500154018402,0.2384913619607687,-0.0017227153875865042,0.0008881996036507189,-35.3623637,149.16692805000002,3196.0,6.0,-8.5,-22.0,1500.0
21:25:58,0.0,2.0,-968.5,27.0,5.5,2.0,BRAKE,-0.001986465824302286,0.004783081589266658,1.012611985206604,0.026998277753591537,0.003947849618270993,0.0019423833582550287,-35.3623638,149.1669277,4202.0,2.0,-6.0,-64.0,1500.0
21:26:00,-0.5,6.0,-983.0,-75.5,-3.5,4.5,BRAKE,0.0036000745749333873,0.0031897876178845763,1.0132619738578796,-0.07640503346920013,-0.005611378233879805,0.0039982113521546125,-35.3623635,149.16692695,4908.0,1.0,-4.5,-16.0,1500.0
21:26:02,-1.6666666666666667,21.333333333333332,-851.6666666666666,625.0,3.3333333333333335,4.666666666666667,ALT_HOLD,0.009767397617300352,0.00045182516138690215,1.013592521349589,0.6252048543343941,0.0019410072515408199,0.004519440156097214,-35.362362733333335,149.16692603333334,4943.333333333333,0.0,-0.3333333333333333,39.666666666666664,1500.0
21:26:04,-1.3333333333333333,22.0,-1156.6666666666667,1039.3333333333333,9.666666666666666,2.6666666666666665,AUTO,0.030868312964836758,0.005296286816398303,1.0133620897928874,1.0426651239395142,0.008560746908187866,0.0019485052713813882,-35.362360800000005,149.1669252,1893.6666666666667,-0.3333333333333333,2.0,126.66666666666667,1500.0
21:26:06,-0.6666666666666666,3.3333333333333335,-1013.3333333333334,18.666666666666668,0.0,2.6666666666666665,AUTO,0.018725633310774963,0.006418058493485053,1.0139544407526653,0.018509328365325928,-0.0017179237523426611,0.0020656460352862873,-35.36235973333333,149.1669249,1254.6666666666667,-11.0,2.6666666666666665,-22.666666666666668,1500.0
21:26:08,0.3333333333333333,-9.666666666666666,-987.6666666666666,-197.0,2.3333333333333335,0.6666666666666666,AUTO,0.00987136938298742,0.006405800115317106,1.0139766931533813,-0.19731726218014956,0.0008321038912981749,-0.00013961505222444734,-35.3623598,149.16692473333333,1621.6666666666667,-16.0,5.666666666666667,-11.0,1500.0
21:26:10,1.3333333333333333,-4.0,-1028.6666666666667,-20.0,3.6666666666666665,0.3333333333333333,AUTO,0.0031942969653755426,0.00821339866767327,1.0136164824167888,-0.020296692848205566,0.0020872836854929724,-0.0008239704184234142,-35.3623608,149.1669253,1877.6666666666667,-11.666666666666666,2.6666666666666665,-34.0,1500.0
21:26:12,0.6666666666666666,-1.0,-983.0,1.0,0.6666666666666666,2.0,AUTO,-0.001321383286267519,0.0060420650988817215,1.0128603378931682,0.000375724242379268,-0.0010436690257241328,0.0014021135672616463,-35.36236203333333,149.1669258,3041.0,-4.0,-2.0,-69.0,1500.0
21:26:14,0.0,1.0,-972.3333333333334,-68.0,0.6666666666666666,3.6666666666666665,AUTO,0.00019448809325695038,0.004143944631020228,1.0131247838338215,-0.06877887497345607,-0.0014632461437334616,0.00285759704032292,-35.3623624,149.16692566666669,3809.6666666666665,0.0,-2.6666666666666665,-5.666666666666667,1500.0
21:26:16,0.0,-2.3333333333333335,-1041.6666666666667,-70.33333333333333,2.3333333333333335,1.3333333333333333,AUTO,0.008659516926854849,0.004205748283614715,1.0140268802642822,-0.07100149989128113,0.0007446979871019721,0.00015319243539124727,-35.3623623,149.1669251666667,3895.0,-3.0,0.3333333333333333,-33.666666666666664,1500.0
21:26:18,0.3333333333333333,-1.0,-979.6666666666666,1.0,1.0,1.6666666666666667,AUTO,0.0012877096936184291,0.005505681503564119,1.012849489847819,0.0006027407944202423,-0.0003854695241898298,0.0010810938353339832,-35.3623629,149.16692526666668,5240.333333333333,-5.0,0.6666666666666666,-83.66666666666667,1500.0
21:26:20,0.0,-1.6666666666666667,-988.0,-46.0,2.0,1.6666666666666667,BRAKE,0.001055656389022867,0.0037543227275212607,1.0130589405695598,-0.04687753723313411,0.00074737798422575,0.0012152651712919276,-35.36236336666666,149.1669254,6109.0,0.0,-0.3333333333333333,-9.333333333333334,1500.0
21:26:22,-0.3333333333333333,-3.0,-1002.3333333333334,-65.33333333333333,1.6666666666666667,0.0,BRAKE,0.003319445124361664,0.0044036428444087505,1.0142367283503215,-0.06533102194468181,0.00016282793755332628,-0.0010948597725170355,-35.3623634,149.1669254,6153.666666666667,-0.3333333333333333,0.0,-5.666666666666667,1500.0
21:26:24,-0.3333333333333333,29.333333333333332,-858.6666666666666,398.6666666666667,-0.3333333333333333,4.333333333333333,ALT_HOLD,0.0005083289773513874,0.000541193721195062,1.0139127969741821,0.39565445979436237,-0.0023785531520843506,0.0035920405838017664,-35.3623634,149.16692543333332,6112.0,0.3333333333333333,0.6666666666666666,39.666666666666664,1500.0
21:26:26,-0.6666666666666666,65.33333333333333,-1160.0,1290.6666666666667,17.333333333333332,8.333333333333334,AUTO,0.01093597011640668,0.010509967803955078,1.0131300687789917,1.2881468534469604,0.015867766613761585,0.0074872804107144475,-35.36236316666666,149.16692690000002,3031.6666666666665,0.6666666666666666,5.0,128.0,1500.0
21:26:28,0.0,-1.6666666666666667,-1016.3333333333334,-26.0,0.3333333333333333,1.6666666666666667,AUTO,-0.008026068719724814,0.010359540581703186,1.01376207669576,-0.026631563901901245,-0.0015342526991541188,0.0005716143641620874,-35.362363566666666,149.16692826666667,2364.0,3.6666666666666665,-8.0,-23.666666666666668,1500.0
21:26:30,0.0,-3.6666666666666665,-983.6666666666666,-36.333333333333336,0.6666666666666666,1.6666666666666667,AUTO,-0.001246582871923844,0.004862078465521336,1.013908584912618,-0.03550893937548002,-0.0018270498452087243,0.0009411011512080828,-35.36236376666667,149.166928,2780.6666666666665,6.333333333333333,-10.666666666666666,-14.0,1500.0
21:26:32,0.0,0.3333333333333333,-1028.6666666666667,32.0,3.6666666666666665,0.6666666666666666,AUTO,0.010025705443695188,0.004861385561525822,1.0136146545410156,0.03223467369874319,0.0018065122421830893,-0.00043230373800421756,-35.36236313333333,149.16692713333333,2937.6666666666665,-0.3333333333333333,-4.0,-22.333333333333332,1500.0
21:26:34,0.0,-0.6666666666666666,-1004.0,-24.666666666666668,1.6666666666666667,2.0,AUTO,0.007649067789316177,0.005480897147208452,1.0127978324890137,-0.024863248070081074,-0.0005042944103479385,0.0012710528681054711,-35.36236313333333,149.16692673333333,3932.6666666666665,-7.333333333333333,0.0,-73.66666666666667,1500.0
21:26:36,0.0,1.3333333333333333,-963.0,51.666666666666664,1.0,1.3333333333333333,AUTO,0.007646715113272269,0.004109923417369525,1.0127776463826497,0.05129102369149526,-0.0007427650659034649,0.000450887445670863,-35.3623634,149.16692653333334,4982.0,-6.666666666666667,1.6666666666666667,-19.333333333333332,1500.0
21:26:38,0.0,5.0,-1042.3333333333333,52.666666666666664,3.0,1.3333333333333333,AUTO,0.007085718893601249,0.005111514901121457,1.014356215794881,0.05158807337284088,0.0010951800116648276,0.00042844975056747597,-35.3623636,149.16692643333332,5010.666666666667,-7.0,3.0,-13.333333333333334,1500.0
21:26:40,0.3333333333333333,-2.0,-1002.0,-10.666666666666666,0.6666666666666666,2.0,BRAKE,0.004817136408140262,0.005348198426266511,1.0129619439442952,-0.011203868935505549,-0.001229803233096997,0.0011091709602624178,-35.3623642,149.1669265,6038.333333333333,-8.666666666666666,2.0,-81.0,1500.0
