,A.RTL3
18:57:21.916,-0.115
18:57:22.118,-0.115
18:57:22.321,-0.115
18:57:22.526,-0.115
18:57:22.728,-0.115
18:57:26.514,-0.115
18:57:26.716,-0.042
18:57:26.921,-0.107
18:57:27.123,-0.123
18:57:27.352,-0.123
18:57:27.573,-0.123
18:57:27.799,-0.123
18:57:28.004,-0.123
18:57:28.207,-0.123
18:57:28.409,-0.123
18:57:28.612,-0.074
18:57:28.814,-0.13
18:57:29.017,-0.147
18:57:29.218,-0.147
18:57:29.421,-0.147
18:57:29.626,-0.147
18:57:29.837,-0.147
18:57:30.039,-0.147
18:57:30.244,-0.147
18:57:30.446,-0.147
18:57:30.651,-0.147
18:57:30.852,-0.084
18:57:31.054,-0.088
18:57:31.256,-0.088
18:57:31.458,-0.088
18:57:31.661,-0.088
18:57:31.863,-0.088
18:57:32.065,-0.088
18:57:32.267,-0.088
18:57:32.471,-0.088
18:57:32.672,-0.024
18:57:32.874,-0.046
18:57:33.075,-0.054
18:57:33.277,-0.054
18:57:33.478,-0.054
18:57:33.682,-0.054
18:57:33.885,-0.054
18:57:34.088,-0.054
18:57:34.290,-0.054
18:57:34.490,-0.054
18:57:34.695,-0.054
18:57:34.897,-0.059
18:57:35.098,-0.067
18:57:35.300,-0.067
18:57:35.507,-0.067
18:57:35.708,-0.067
18:57:35.910,-0.067
18:57:36.111,-0.067
18:57:36.313,-0.067
18:57:36.515,-0.067
18:57:36.720,-0.067
18:57:36.922,-0.067
18:57:37.129,-0.054
18:57:37.331,-0.072
18:57:37.533,-0.072
18:57:37.735,-0.072
18:57:37.936,-0.072
18:57:38.138,-0.072
18:57:38.342,-0.072
18:57:38.547,-0.072
18:57:38.751,-0.072
18:57:38.954,-0.072
18:57:39.155,-0.058
18:57:39.357,-0.059
18:57:39.560,-0.059
18:57:39.761,-0.059
18:57:39.963,-0.059
18:57:40.165,-0.059
18:57:40.367,-0.059
18:57:40.568,-0.059
18:57:40.770,-0.059
18:57:40.971,-0.059
18:57:41.173,0.013
18:57:41.375,0.013
18:57:41.599,0.013
18:57:41.831,0.013
18:57:42.062,0.013
18:57:42.281,0.013
18:57:42.515,0.013
18:57:42.723,-0.016
18:57:42.925,-0.024
18:57:43.129,-0.023
18:57:43.332,-0.023
18:57:43.534,-0.023
18:57:43.735,-0.023
18:57:43.937,-0.023
18:57:44.140,-0.023
18:57:44.343,-0.023
18:57:44.550,-0.023
18:57:44.751,-0.023
18:57:44.952,0.003
18:57:45.156,0.004
18:57:45.360,0.004
18:57:45.562,0.004
18:57:45.765,0.004
18:57:45.980,0.004
18:57:46.185,0.004
18:57:46.390,0.004
18:57:46.610,0.004
18:57:46.829,-0.0
18:57:47.031,-0.0
18:57:47.232,-0.0
18:57:47.434,-0.0
18:57:47.636,-0.0
18:57:47.838,-0.0
18:57:48.040,-0.0
18:57:48.243,-0.0
18:57:48.446,-0.0
18:57:48.647,-0.0
18:57:48.851,-0.0
18:57:49.053,-0.0
18:57:49.254,-0.012
18:57:49.458,-0.012
18:57:49.660,-0.012
18:57:49.862,-0.012
18:57:50.064,-0.012
18:57:50.275,-0.012
18:57:50.546,-0.012
18:57:50.764,-0.05
18:57:50.979,-0.085
18:57:51.180,-0.097
18:57:51.384,-0.097
18:57:51.585,-0.097
18:57:51.788,-0.097
18:57:51.990,-0.097
18:57:52.192,-0.097
18:57:52.394,-0.097
18:57:52.597,-0.097
18:57:52.799,-0.097
18:57:53.001,-0.082
18:57:53.203,-0.094
18:57:53.405,-0.094
18:57:53.607,-0.094
18:57:53.812,-0.094
18:57:54.013,-0.094
18:57:54.216,-0.094
18:57:54.418,-0.094
18:57:54.620,-0.094
18:57:54.823,-0.033
18:57:55.025,-0.085
18:57:55.226,-0.097
18:57:55.428,-0.097
18:57:55.630,-0.097
18:57:55.831,-0.097
18:57:56.034,-0.097
18:57:56.235,-0.097
18:57:56.437,-0.097
18:57:56.638,-0.097
18:57:56.840,-0.084
18:57:57.041,-0.098
18:57:57.243,-0.112
18:57:57.444,-0.112
18:57:57.647,-0.112
18:57:57.851,-0.112
18:57:58.052,-0.112
18:57:58.255,-0.112
18:57:58.457,-0.112
18:58:02.242,-0.112
18:58:02.444,-0.064
18:58:02.646,-0.111
18:58:02.847,-0.127
18:58:03.048,-0.127
18:58:03.249,-0.127
18:58:03.450,-0.127
18:58:03.652,-0.127
18:58:03.854,-0.127
18:58:04.056,-0.127
18:58:04.263,-0.054
18:58:04.467,-0.127
18:58:04.668,-0.127
18:58:04.870,-0.146
18:58:05.071,-0.146
18:58:05.274,-0.146
18:58:05.475,-0.146
18:58:05.677,-0.146
18:58:05.880,-0.146
18:58:06.082,-0.146
18:58:06.294,-0.146
18:58:06.545,-0.146
18:58:06.749,-0.148
18:58:07.015,-0.168
18:58:07.240,-0.168
18:58:07.475,-0.168
18:58:07.700,-0.168
18:58:07.904,-0.168
18:58:08.106,-0.168
18:58:08.308,-0.168
18:58:08.509,-0.153
18:58:08.711,-0.179
18:58:08.913,-0.207
18:58:09.116,-0.207
18:58:09.317,-0.207
18:58:09.519,-0.207
18:58:09.721,-0.207
18:58:09.923,-0.207
18:58:10.126,-0.207
18:58:10.330,-0.207
18:58:10.533,-0.159
18:58:10.734,-0.223
18:58:10.960,-0.255
18:58:11.163,-0.255
18:58:11.457,-0.255
18:58:11.663,-0.255
18:58:11.864,-0.255
18:58:12.067,-0.255
18:58:12.269,-0.255
18:58:12.471,-0.132
18:58:12.673,-0.308
18:58:12.874,-0.352
18:58:13.076,-0.352
18:58:13.278,-0.352
18:58:13.479,-0.352
18:58:13.681,-0.352
18:58:13.883,-0.352
18:58:14.084,-0.352
18:58:14.287,-0.352
18:58:14.489,-0.404
18:58:14.690,-0.473
18:58:14.899,-0.539
18:58:15.111,-0.539
18:58:15.376,-0.539
18:58:15.588,-0.539
18:58:15.850,-0.539
18:58:16.079,-0.539
18:58:16.281,-0.539
18:58:16.483,-0.44
18:58:16.685,-0.85
18:58:16.886,-0.838
18:58:17.088,-0.838
18:58:17.295,-0.838
18:58:17.498,-0.838
18:58:17.700,-0.838
18:58:17.902,-0.838
18:58:18.104,-0.838
18:58:18.305,-0.838
18:58:18.507,-0.838
18:58:18.710,0.182
18:58:18.913,0.182
18:58:19.115,0.182
18:58:19.318,0.182
18:58:19.520,0.182
18:58:19.723,0.182
18:58:19.925,0.182
18:58:20.128,0.182
18:58:20.333,0.182
