time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,RTL_ALT,LAND_SPEED_HIGH,WPNAV_SPEED_DN
21:16:44,0.01803139504045248,0.001312045962549746,0.01414900366216898,0.4729355201125145,1.885625533759594e-05,0.0016435927245765924,-35.363262,149.16523515,9195.5,-1.0,17.5,35.5,0.0,42.5,-991.5,475.0,0.5,2.5,LAND,1500.0,480.0,90.0
21:16:46,0.0062770426739007235,0.001818600983824581,0.011953309644013643,-0.19427061453461647,-0.0017651779780862853,0.0022983441594988108,-35.363262,149.1652352,8509.0,-1.0,17.5,34.0,0.0,15.0,-994.5,-191.0,-1.0,3.5,LAND,1500.0,480.0,90.0
21:16:48,0.016064888797700405,0.0017134957597590983,0.00954563170671463,0.4076106920838356,0.00041490240255370736,0.00026052340399473906,-35.363262,149.16523545,8228.0,0.0,17.0,-7.0,0.5,20.5,-1002.5,409.5,0.5,1.5,LAND,1500.0,315.0,90.0
21:16:50,0.0020105956646148115,0.0016196868382394314,0.006200454663485289,-0.5386680066585541,-0.0016714998637326062,0.0005332971340976655,-35.363262,149.16523604999998,8304.0,-0.5,11.0,0.0,0.0,-28.0,-997.0,-537.5,-1.0,1.5,LAND,1500.0,150.0,90.0
21:16:52,0.010640260996297002,0.0017117729294113815,0.005050226813182235,0.4216644763946533,0.00013263500295579433,0.00027186464285477996,-35.363262,149.16523604999998,8304.5,0.0,11.0,0.0,0.0,27.5,-1000.0,424.5,0.5,1.0,LAND,1500.0,315.0,90.0
21:16:54,0.0063274442800320685,0.0025489211548119783,0.003869864740408957,-0.2317091040313244,0.0007831716502550989,-0.004547749413177371,-35.363262,149.16523669999998,8258.5,0.0,7.0,20.0,1.0,-32.5,-932.0,-232.5,0.5,-2.5,LAND,1500.0,480.0,90.0
21:16:56,0.012831267435103655,0.0021747523569501936,0.00225837342441082,0.8275651633739471,-0.0018933925312012434,-0.0022963289520703256,-35.363262,149.1652375,7487.0,-0.5,0.5,37.0,0.0,18.5,-1003.0,828.0,-1.0,-0.5,LAND,1500.0,480.0,90.0
21:16:58,0.0115764569491148,0.0004001903726020828,0.0011669551022350788,0.8079932332038879,1.005479134619236e-06,0.0006741335964761674,-35.363262,149.1652372,6785.0,-1.0,0.0,31.5,-2.0,44.5,-1020.0,811.5,0.0,1.5,LAND,1500.0,280.0,90.0
21:17:00,-0.006825529970228672,0.0020188167109154165,0.00023898441577330232,-0.2982649398036301,0.0004722540470538661,0.0009600702323950827,-35.363262,149.16523684999999,6106.0,0.0,4.0,31.5,1.0,6.5,-997.5,-294.5,0.5,2.0,LAND,1500.0,280.0,90.0
21:17:02,-0.01090718200430274,0.001462143671233207,-0.0014576854882761836,-0.4682980105280876,0.000605374647420831,0.00014428229769691825,-35.363262,149.16523734999998,5429.0,0.0,1.0,32.0,0.0,-1.0,-996.0,-464.5,0.5,0.5,LAND,1500.0,330.0,90.0
21:17:04,-0.008363621076568961,0.0009881159930955619,-0.0013295157114043832,-0.43492984771728516,0.0032475567422807217,0.0003327500307932496,-35.363262,149.1652373,4746.5,0.0,0.0,32.0,-1.0,1.0,-993.0,-431.0,3.5,1.5,LAND,1500.0,380.0,90.0
21:17:06,-0.0020875479094684124,0.0010207032901234925,-0.0025157704949378967,-0.895625650882721,0.0011341243516653776,0.0006381415005307645,-35.363262,149.16523684999999,4065.0,-1.0,1.0,33.5,-2.0,-37.0,-1002.0,-894.0,1.5,1.5,LAND,1500.0,110.0,90.0
21:17:08,0.015256565064191818,0.0008357158512808383,-0.0031226121354848146,-0.6299135982990265,0.0012884778552688658,-4.6912929974496365e-05,-35.363262,149.16523545,3391.0,-1.0,11.0,32.5,-1.0,-41.5,-993.5,-629.0,1.5,1.5,LAND,1500.0,110.0,90.0
21:17:10,0.009981182403862476,0.0021735193440690637,-0.004014857579022646,-0.6734734922647476,-0.0016363393515348434,-0.0017505811410956085,-35.3632619,149.165235,2715.0,-1.0,17.5,32.5,0.0,-41.5,-1001.0,-672.0,-0.5,0.0,LAND,1500.0,350.0,90.0
21:17:12,0.020566124469041824,0.0018288001883774996,-0.004015973070636392,0.08336573094129562,1.7456011846661568e-05,-0.0002847454743459821,-35.363261949999995,149.16523525000002,2036.5,0.0,18.0,33.5,1.0,-21.0,-998.0,84.0,1.0,1.5,LAND,1500.0,350.0,90.0
21:17:14,0.008778013288974762,0.0028426196658983827,-0.0041152575286105275,0.4932013899087906,-0.000942177401157096,-0.0015395438531413674,-35.363262,149.165237,1352.5,0.0,7.5,33.5,0.5,-1.0,-995.5,494.0,0.0,0.5,LAND,1500.0,385.0,90.0
21:17:16,0.00468839390669018,0.0028683171840384603,-0.004760694690048695,0.8334387540817261,0.001882470096461475,-0.0007652124622836709,-35.363262,149.16523845,669.0,0.0,-4.0,33.0,0.0,16.5,-1003.5,835.0,2.0,1.0,LAND,1500.0,420.0,90.0
21:17:18,-0.014015620108693838,0.00046873436076566577,-0.003123112488538027,-0.00018029531929641962,0.0016922021750360727,0.0006878930144011974,-35.363261949999995,149.1652397,75.5,4.0,-2.0,6.0,0.5,-1.0,-998.5,2.0,2.0,2.0,LAND,1500.0,370.0,90.0
21:17:20,-0.010686399880796671,0.004493630025535822,-0.0012222430086694658,1.4012446627020836e-05,0.001689627766609192,0.0007346011116169393,-35.3632619,149.16523955000002,29.5,-1.0,-16.0,4.0,0.0,0.0,-1000.0,2.0,2.0,2.0,LAND,1500.0,320.0,90.0
21:17:22,-0.0050510927103459835,0.006722942693158984,-0.0012082706671208143,0.0002712779678404331,0.0017377054318785667,0.0006981703918427229,-35.3632622,149.1652394,0.0,-7.0,-13.5,2.5,0.0,0.0,-1000.0,2.0,2.0,2.0,LAND,1500.0,320.0,90.0
21:17:24,0.0011195617262274027,0.006263973657041788,-0.0015825688606128097,0.0004795878194272518,0.0015923348837532103,0.0007161811809055507,-35.3632623,149.16524005000002,0.0,-7.0,-1.5,3.0,0.0,0.0,-1000.0,2.0,2.0,2.0,LAND,1500.0,380.0,90.0
21:17:26,0.0028355898102745414,0.006355412304401398,-0.0017205073963850737,0.0004930255236104131,0.0015758683439344168,0.0007586687570437789,-35.3632623,149.16524055000002,0.0,-7.0,2.5,1.0,0.0,0.0,-1000.0,2.0,2.0,2.0,LAND,1500.0,380.0,90.0
