time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,MODE
16:36:19,-35.3632615,149.16523554999998,15460.0,-0.5,-2.0,-152.0,-1.0,0.5,-1000.0,4.5,0.5,-12.5,0.010400005150586367,0.007669728249311447,-0.1528155580163002,0.004369049449451268,0.00024361233226954937,-0.012396819423884153,300000.0,AUTO
16:36:21,-35.36326285,149.16523215,18427.0,-30.0,-36.5,-119.5,0.0,11.0,-954.5,144.0,-136.0,95.0,0.00942594837397337,0.004343279171735048,0.04962274618446827,0.14353371411561966,-0.13733429461717606,0.09558777045458555,300000.0,AUTO
16:36:22,-35.363264125,149.16523035,19214.5,-11.5,-0.5,-89.0,1.0,2.5,-964.0,13.0,-1.25,-28.25,0.06097126752138138,-0.03299512807279825,0.045312874019145966,0.012169173685833812,-0.0020600249990820885,-0.028365786653012037,226569.0,AUTO
16:36:23,-35.363263599999996,149.1652336,20114.0,15.5,43.5,-53.5,0.0,-10.0,-977.0,-44.5,28.0,1.5,0.017301127314567566,-0.0014404517714865506,0.0328941997140646,-0.045783573761582375,0.02772095613181591,0.002351941482629627,226569.0,AUTO
16:36:25,-35.3632613,149.16523999999998,20706.5,1.0,6.5,4.0,0.0,-5.5,-955.5,-168.5,2.5,-4.5,-0.03150677727535367,0.017721244134008884,0.028014949522912502,-0.16949951648712158,0.0019585872069001198,-0.004535413114354014,226569.0,AUTO
16:36:26,-35.363261275,149.16523965,20579.0,1.5,-8.0,15.5,-2.25,10.75,-1012.75,279.0,-69.25,-4.25,0.0034590450231917202,-0.019689729902893305,0.025944822933524847,0.27824734151363373,-0.07071818225085735,-0.004574186343234032,164508.0,AUTO
16:36:31,-35.3631752,149.1653058,21078.5,395.0,265.0,-32.5,-73.5,-82.0,-1002.0,-12.0,8.5,58.5,0.10446569323539734,-0.13053809851408005,0.27094194293022156,-0.013576215133070946,0.008112962357699871,0.059159427881240845,164508.0,AUTO
16:36:32,-35.363147425,149.16532845,21334.5,425.25,285.5,-35.0,-88.5,-84.5,-1000.25,-2.5,10.5,261.0,0.09416001848876476,-0.12719314359128475,0.3543762117624283,-0.0037149928975850344,0.0099503961391747,0.26139173191040754,87208.0,AUTO
16:36:33,-35.36309805,149.16536875,21785.5,451.5,307.0,-35.5,-107.0,-57.5,-985.5,-30.5,18.5,-62.5,0.06105441972613335,-0.12426828593015671,0.6412712931632996,-0.03222722001373768,0.018082622904330492,-0.0629272423684597,87208.0,AUTO
16:36:35,-35.36301695,149.1654352,22477.5,439.0,296.5,-34.0,-102.5,-62.0,-991.5,24.0,48.0,-7.5,0.0677860789000988,-0.06589038111269474,0.6082426309585571,0.023566547315567732,0.047978032380342484,-0.007472449215129018,87208.0,AUTO
16:36:36,-35.362988375,149.165458575,22730.25,402.5,273.5,-30.75,-98.0,-59.75,-990.0,5.25,54.75,-8.25,0.06741653569042683,-0.024920303374528885,0.6087635606527328,0.003919074195437133,0.05441554728895426,-0.008622797671705484,200.0,AUTO
16:36:37,-35.362947500000004,149.16549255,23067.5,308.0,212.5,-19.5,-75.0,-38.5,-990.0,177.5,50.0,-6.5,0.06056847609579563,0.04095815122127533,0.6068798899650574,0.1767707448452711,0.050054967403411865,-0.006797471782192588,200.0,AUTO
16:36:39,-35.36290995,149.16552535,23263.0,110.5,77.0,-2.5,-26.5,-43.5,-998.0,-598.5,-28.0,3.5,0.009329559747129679,0.07960623130202293,0.6040039360523224,-0.6003792881965637,-0.029259484261274338,0.003909107530489564,200.0,AUTO
16:36:40,-35.36290445,149.16553045,23278.5,62.75,41.5,-0.5,-14.5,-5.75,-1002.5,110.0,-24.0,0.25,0.006602215580642223,0.052984923124313354,0.6025906950235367,0.10913313366472721,-0.025366120040416718,0.0006060455343686044,300000.0,AUTO
16:36:41,-35.36290075,149.1655344,23294.0,17.5,2.0,0.0,-1.0,12.0,-989.0,485.5,-21.5,0.5,-0.002420175587758422,0.029018170200288296,0.6011672914028168,0.4852663576602936,-0.023121285252273083,0.0009854009840637445,300000.0,AUTO
16:36:43,-35.362900550000006,149.16553445,23290.0,10.5,-11.0,0.5,-1.0,13.0,-1003.0,96.5,-27.5,-10.5,-0.009038885589689016,-0.01359374076128006,0.6018138527870178,0.09476515650749207,-0.029174061957746744,-0.01104076812043786,300000.0,AUTO
16:36:44,-35.362899999999996,149.1655347,23288.75,16.25,-4.75,-1.0,-2.0,-12.75,-1005.5,-120.25,31.75,-10.0,-0.0037588075210805982,-0.006949975213501602,0.6019473671913147,-0.12099926546216011,0.031289384700357914,-0.00986486196052283,145415.0,RTL
16:36:45,-35.3628994,149.1655356,23441.0,10.0,-10.5,-31.5,0.0,-13.5,-1043.5,-172.0,-1.0,-7.5,-0.011137144872918725,0.007024571066722274,0.6006232500076294,-0.17263572849333286,-0.002488059806637466,-0.007689266232773662,145415.0,RTL
16:36:47,-35.36289995,149.1655365,24714.5,9.0,-21.5,-75.5,0.0,1.0,-995.5,13.5,-2.5,-7.5,-0.02154270000755787,0.00029650099895661697,0.5990423262119293,0.013299115933477879,-0.0036627870285883546,-0.007212212076410651,145415.0,RTL
16:36:48,-35.362900124999996,149.16553615,25296.75,7.5,-25.0,-73.25,0.0,1.0,-979.5,0.75,38.5,-5.5,-0.015323962084949017,0.012469304288970307,0.5975056737661362,0.0008927441667765379,0.03810930688632652,-0.004961378232110292,61223.0,RTL
16:36:49,-35.36290185,149.16553365,25997.5,-32.5,-46.0,-23.0,7.5,1.0,-944.0,-202.5,47.5,-2.5,-0.011321248952299356,0.07108815759420395,0.5945472419261932,-0.20253773778676987,0.04724654369056225,-0.001878588751424104,61223.0,RTL
16:36:51,-35.362920599999995,149.1655176,25818.0,-187.0,-129.0,12.0,43.0,47.0,-1006.5,67.0,63.0,24.0,-0.03382453601807356,0.1586247906088829,0.5897001624107361,0.06654573976993561,0.06244252435863018,0.0248855734243989,61223.0,RTL
16:36:52,-35.362936,149.165505175,25747.75,-262.25,-177.25,6.25,58.75,39.75,-1014.75,-57.75,6.5,5.5,-0.041424211114645004,0.17550204321742058,0.5895109176635742,-0.05708004906773567,0.006018348038196564,0.005904456484131515,21835.0,RTL
16:36:53,-35.3629714,149.1654765,25715.0,-367.5,-246.0,-1.0,83.5,55.0,-1002.5,-153.0,-26.5,2.5,-0.05805783160030842,0.161978118121624,0.5907225906848907,-0.15317834448069334,-0.0281968938652426,0.002814300823956728,21835.0,RTL
16:36:55,-35.36304545,149.1654142,25784.5,-450.0,-294.0,-2.5,99.5,87.5,-994.0,173.5,-6.0,12.0,-0.05042121931910515,0.11686094477772713,0.5950668156147003,0.1745353303849697,-0.007217905251309276,0.011982329131569713,21835.0,RTL
16:36:56,-35.363075375,149.165388725,25803.75,-459.75,-293.0,-0.5,102.25,74.5,-990.5,26.5,-19.5,5.25,-0.05110456049442291,0.1052226684987545,0.5927834063768387,0.02652263268828392,-0.021137253497727215,0.005147163290530443,67847.0,RTL
