time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
19:55:38,-0.033677917905151844,0.03201547593344003,0.09151690118014813,-0.022733500599861144,-0.027723103016614913,0.30574606359004974,1.8,3.6,-957.4,-21.6,-27.0,305.4,-35.36326246,149.16523676,47771.6,-17.2,-17.0,-130.8,1500.0,AUTO
19:55:40,0.031223807483911514,-0.012959462745736042,0.24627958238124847,0.1795802116394043,0.03971646850307783,-0.034878600388765335,-2.75,-2.0,-979.5,99.25,41.0,-34.25,-35.36326373333333,149.16523363333334,49751.666666666664,19.666666666666668,26.333333333333332,-42.333333333333336,1500.0,AUTO
19:55:42,-0.007173127805193265,0.019226045347750187,0.19864636907974878,-0.07327820857365926,-0.016868032825489838,-0.017687964253127575,-0.5,-1.6666666666666667,-968.5,-71.33333333333333,-15.666666666666666,-16.833333333333332,-35.36326123333333,149.1652374833333,50137.833333333336,5.666666666666667,18.666666666666668,-3.5,1500.0,AUTO
19:55:44,-0.019216175377368926,-0.043591608107089994,0.15849400460720062,-0.15280374512076378,-0.0361216202378273,-0.053758779913187026,-7.6,6.4,-1008.6,-150.8,-34.6,-53.0,-35.36326058,149.16523496,49971.0,17.4,-18.4,0.6,1500.0,AUTO
19:55:46,0.016234360945721466,-0.13037902116775513,-0.5655880371729533,-0.05152775843938192,-0.009834455947081247,0.06377256351212661,-37.25,-24.0,-1003.0,-138.75,-23.5,66.25,-35.363244099999996,149.1652166,49947.0,151.66666666666666,-108.33333333333333,-1.6666666666666667,1500.0,AUTO
19:55:48,0.011525638440313438,-0.16206139077742895,-0.5584733386834463,-0.026543766881028812,-0.02116866906483968,-0.011985536276673278,-67.33333333333333,-33.166666666666664,-1001.5,-23.833333333333332,-20.333333333333332,-11.0,-35.36321346666667,149.16518801666666,49942.5,255.33333333333334,-202.0,0.3333333333333333,1500.0,AUTO
19:55:50,0.03503234529246887,-0.19422607744733492,-0.5794531007607778,-0.03072788566350937,-0.11950332547227542,-0.014105005034555992,-94.83333333333333,-45.666666666666664,-984.1666666666666,-28.166666666666668,-118.16666666666667,-13.333333333333334,-35.363157816666664,149.16513329999998,49956.5,356.8333333333333,-295.3333333333333,5.333333333333333,1500.0,AUTO
19:55:52,0.07482425620158513,-0.005889873951673508,-0.5916930635770162,0.27772712785129744,0.08213887425760429,-0.013439342030324042,-102.66666666666667,-45.166666666666664,-977.3333333333334,278.6666666666667,82.83333333333333,-12.333333333333334,-35.36308493333333,149.16506065000002,50072.166666666664,395.0,-323.1666666666667,-15.666666666666666,1500.0,AUTO
19:55:54,0.026408810013284285,-0.10725696012377739,-0.6034836967786154,-0.22488664587338766,-0.1234091257986923,0.005254837684333324,-70.66666666666667,-53.0,-1005.8333333333334,-224.66666666666666,-122.16666666666667,6.0,-35.36302776666667,149.1650056,49984.666666666664,269.6666666666667,-213.33333333333334,10.666666666666666,1500.0,AUTO
19:55:56,0.02308027834321062,-0.13499900419265032,-0.6133527457714081,0.07867744565010071,-0.20578578859567642,-0.02498561702668667,-78.83333333333333,-30.0,-987.1666666666666,82.0,-204.5,-23.833333333333332,-35.36297665,149.1649565333333,49955.666666666664,277.5,-237.5,2.3333333333333335,1500.0,AUTO
