time_stamp,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
09:41:17,RTL,0.0,0.0,-999.5,1.0,2.0,1.75,0.001873195607913658,0.0038681236910633743,1.8645765781402588,-0.0009330322791356593,0.00016416891594417393,0.00021663540974259377,-35.36341,149.1658161,138104.5,0.0,-2.0,-152.0,54880.0
09:41:18,RTL,0.0,0.0,-1000.0,3.5,1.5,3.0,0.0020870184525847435,0.003762375097721815,1.8646954894065857,0.0019050840055570006,-0.00033295300090685487,0.0016746666515246034,-35.36341,149.1658161,139660.5,0.0,-2.0,-152.0,54880.0
09:41:20,RTL,0.0,0.0,-999.5,2.0,1.0,3.5,0.002101974212564528,0.0038134886417537928,1.8653002381324768,0.00019324175082147121,-0.0007012161077000201,0.0020520652178674936,-35.36341,149.1658161,142768.0,0.0,-2.0,-152.0,170654.0
09:41:22,RTL,0.0,0.0,-999.5,3.5,3.5,3.5,0.002390438225120306,0.0034691235050559044,1.8657203912734985,0.0013892576098442078,0.0015685176476836205,0.0018602203344926238,-35.36341,149.1658161,145875.0,-1.0,-1.0,-152.0,286428.0
09:41:23,RTL,0.0,0.0,-1000.0,2.5,2.0,1.5,0.0022575916373170912,0.003695429360959679,1.8657467663288116,0.0005832446040585637,0.00022499857004731894,0.00014600460417568684,-35.36341,149.1658161,147436.5,-1.0,-1.5,-152.0,215250.0
09:41:24,RTL,0.0,0.0,-1000.0,0.0,1.0,2.5,0.0022166173439472914,0.003614874090999365,1.866089105606079,-0.0017885160050354898,-0.0010261572897434235,0.001249265973456204,-35.36341,149.1658161,148986.0,-1.0,-2.0,-152.0,215250.0
09:41:26,RTL,0.0,0.0,-1000.0,1.5,0.5,2.5,0.0021697274642065167,0.0036791071761399508,1.8670995831489563,-0.0005457155639305711,-0.0012863040901720524,0.0008194484980776906,-35.36341,149.1658161,152096.5,-1.0,-2.0,-152.0,120326.5
09:41:28,RTL,0.0,0.0,-1000.5,3.0,2.0,2.5,0.0021584267960861325,0.004088066518306732,1.867294728755951,0.0005145289469510317,-0.00020981079433113337,0.0005790188442915678,-35.36341,149.1658161,155203.5,-1.0,-2.0,-152.0,25403.0
09:41:29,RTL,0.0,0.0,-1000.25,2.75,1.75,2.0,0.0017606121255084872,0.004122823127545416,1.8672545850276947,0.0005546488100662827,-0.0004890113777946681,0.00018313451437279582,-35.36341,149.1658161,156756.0,-0.25,-2.0,-152.0,95820.0
09:41:30,RTL,0.0,0.0,-999.5,1.0,1.5,2.5,0.0019303178996779025,0.0038784858770668507,1.8672354221343994,-0.0012411722564138472,-0.0006937646539881825,0.0008365029934793711,-35.36341,149.1658161,158309.5,0.0,-2.0,-152.0,95820.0
