time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,chan4_raw,RTL_ALT
14:28:02.616,AUTO,-35.3631971,149.165371,49919,0.04417860880494118,-0.1554998755455017,1.095786213874817,0.18682466447353363,0.028805620968341827,0.014477177523076534,-101,-42,-998,189,30,14,249,417,-4,1627,1500.0
14:28:02.817,AUTO,-35.3631914,149.165383,49926,0.048691585659980774,-0.15257655084133148,1.1056532859802246,0.14101985096931458,0.02122761495411396,0.04365047812461853,-104,-62,-994,141,22,44,258,429,-5,1627,1500.0
14:28:03.018,AUTO,-35.3631856,149.1653952,49934,0.04353993386030197,-0.15172915160655975,1.1154530048370361,-0.23093052208423615,-0.010487677529454231,0.05751916393637657,-111,-67,-994,-229,-8,57,264,440,-5,1627,1500.0
14:28:03.220,AUTO,-35.3631856,149.1653952,49934,0.04353993386030197,-0.15172915160655975,1.1154530048370361,-0.23093052208423615,-0.010487677529454231,0.05751916393637657,-111,-67,-994,-229,-8,57,264,440,-5,1627,1500.0
14:28:03.421,AUTO,-35.3631856,149.1653952,49934,0.04353993386030197,-0.15172915160655975,1.1154530048370361,-0.23093052208423615,-0.010487677529454231,0.05751916393637657,-111,-67,-994,-229,-8,57,264,440,-5,1627,1500.0
14:28:03.623,AUTO,-35.3631856,149.1653952,49934,0.04353993386030197,-0.15172915160655975,1.1154530048370361,-0.23093052208423615,-0.010487677529454231,0.05751916393637657,-111,-67,-994,-229,-8,57,264,440,-5,1627,1500.0
14:28:03.825,AUTO,-35.3631856,149.1653952,49934,0.04353993386030197,-0.15172915160655975,1.1154530048370361,-0.23093052208423615,-0.010487677529454231,0.05751916393637657,-111,-67,-994,-229,-8,57,264,440,-5,1627,1500.0
14:28:04.026,AUTO,-35.3631609,149.1654469,49963,0.04352089762687683,-0.14556115865707397,1.153644323348999,-0.17023810744285583,0.02764291502535343,0.00711101246997714,-115,-46,-986,-167,29,7,285,478,-4,1627,1500.0
14:28:04.227,AUTO,-35.3631543,149.1654605,49971,0.05154621601104736,-0.13994261622428894,1.1548737287521362,0.2655462622642517,0.030684303492307663,-0.021961528807878494,-117,-44,-997,268,32,-21,289,485,-4,1500,1500.0
14:28:04.427,AUTO,-35.3631543,149.1654605,49971,0.05154621601104736,-0.13994261622428894,1.1548737287521362,0.2655462622642517,0.030684303492307663,-0.021961528807878494,-117,-44,-997,268,32,-21,289,485,-4,1500,1500.0
14:28:04.628,AUTO,-35.3631477,149.1654741,49980,0.05437135696411133,-0.13069882988929749,1.153759241104126,0.031065786257386208,0.024995392188429832,0.031632110476493835,-120,-72,-995,31,26,32,293,490,-5,1500,1500.0
14:28:04.829,AUTO,-35.3631411,149.165488,49991,0.0538514070212841,-0.12119948863983154,1.15323007106781,-0.3017968535423279,0.053654227405786514,-0.0038932403549551964,-134,-74,-1000,-300,55,-3,295,493,-5,1500,1500.0
14:28:05.030,AUTO,-35.3631344,149.1655018,50003,0.05991369113326073,-0.11502817273139954,1.153059482574463,0.13466235995292664,0.03414017707109451,-0.045751553028821945,-115,-45,-985,138,35,-45,294,494,-5,1500,1500.0
14:28:05.231,AUTO,-35.3631344,149.1655018,50003,0.05991369113326073,-0.11502817273139954,1.153059482574463,0.13466235995292664,0.03414017707109451,-0.045751553028821945,-115,-45,-985,138,35,-45,294,494,-5,1500,1500.0
14:28:05.433,AUTO,-35.3631344,149.1655018,50003,0.05991369113326073,-0.11502817273139954,1.153059482574463,0.13466235995292664,0.03414017707109451,-0.045751553028821945,-115,-45,-985,138,35,-45,294,494,-5,1500,1500.0
14:28:05.635,AUTO,-35.3631344,149.1655018,50003,0.05991369113326073,-0.11502817273139954,1.153059482574463,0.13466235995292664,0.03414017707109451,-0.045751553028821945,-115,-45,-985,138,35,-45,294,494,-5,1500,1500.0
14:28:05.836,AUTO,-35.3631344,149.1655018,50003,0.05991369113326073,-0.11502817273139954,1.153059482574463,0.13466235995292664,0.03414017707109451,-0.045751553028821945,-115,-45,-985,138,35,-45,294,494,-5,1500,1500.0
14:28:06.038,AUTO,-35.3631081,149.1655568,50019,0.05826074257493019,-0.12537431716918945,1.1530089378356934,0.30337631702423096,-0.005665949080139399,-0.017534973099827766,-104,-39,-980,305,-3,-16,292,497,1,1500,1500.0
14:28:06.239,AUTO,-35.3631015,149.1655706,50014,0.058584991842508316,-0.12845627963542938,1.1536065340042114,0.0851227268576622,-0.01193064171820879,0.05250191688537598,-122,-61,-990,85,-10,53,294,499,2,1500,1500.0
14:28:06.440,AUTO,-35.3630949,149.1655844,50008,0.04752103239297867,-0.13570493459701538,1.152923583984375,-0.3530879616737366,-0.02521698735654354,0.004610383417457342,-122,-61,-990,85,-10,53,294,501,2,1500,1500.0
14:28:06.641,AUTO,-35.3630949,149.1655844,50008,0.04752103239297867,-0.13570493459701538,1.152923583984375,-0.3530879616737366,-0.02521698735654354,0.004610383417457342,-125,-71,-984,-351,-23,4,294,501,2,1500,1500.0
14:28:06.842,AUTO,-35.3630882,149.1655983,50001,0.04917270317673683,-0.1348268985748291,1.152764916419983,0.06662594527006149,0.020358150824904442,-0.037175651639699936,-117,-47,-996,69,22,-36,297,504,2,1500,1500.0
14:28:07.044,AUTO,-35.3630814,149.1656123,49997,0.05619559809565544,-0.12835346162319183,1.1536082029342651,0.27479833364486694,0.02170070819556713,0.01941707730293274,-131,-49,-1005,275,23,20,299,507,0,1500,1500.0
14:28:07.244,AUTO,-35.3630814,149.1656123,49997,0.05619559809565544,-0.12835346162319183,1.1536082029342651,0.27479833364486694,0.02170070819556713,0.01941707730293274,-131,-49,-1005,275,23,20,299,507,0,1500,1500.0
14:28:07.447,AUTO,-35.3630814,149.1656123,49997,0.05619559809565544,-0.12835346162319183,1.1536082029342651,0.27479833364486694,0.02170070819556713,0.01941707730293274,-131,-49,-1005,275,23,20,299,507,0,1500,1500.0
14:28:07.649,AUTO,-35.3630814,149.1656123,49997,0.05619559809565544,-0.12835346162319183,1.1536082029342651,0.27479833364486694,0.02170070819556713,0.01941707730293274,-131,-49,-1005,275,23,20,299,507,0,1500,1500.0
14:28:07.851,AUTO,-35.3630609,149.1656543,49997,0.05849950760602951,-0.12829874455928802,1.1548054218292236,0.3233012855052948,0.00692892586812377,-0.007293478585779667,-125,-36,-987,325,8,-6,303,510,0,1500,1500.0
14:28:08.052,AUTO,-35.363054,149.1656683,49997,0.057648517191410065,-0.1259031444787979,1.1559498310089111,0.021183259785175323,0.011685087345540524,0.05582679435610771,-127,-84,-989,21,13,56,306,509,0,1500,1500.0
14:28:08.253,AUTO,-35.3630471,149.1656823,49999,0.05327600985765457,-0.12763068079948425,1.155501127243042,-0.31110313534736633,-0.015464650467038155,-0.01136860903352499,-138,-85,-995,-309,-13,-10,306,509,-1,1500,1500.0
14:28:08.453,AUTO,-35.3630402,149.1656962,50000,0.058084502816200256,-0.13051418960094452,1.1548469066619873,0.0995360016822815,0.0012498532887548208,-0.050372567027807236,-129,-47,-992,102,2,-50,307,509,0,1500,1500.0
14:28:08.655,AUTO,-35.3630402,149.1656962,50000,0.058084502816200256,-0.13051418960094452,1.1548469066619873,0.0995360016822815,0.0012498532887548208,-0.050372567027807236,-129,-47,-992,102,2,-50,307,509,0,1500,1500.0
14:28:08.855,AUTO,-35.3630332,149.1657102,50000,0.0608215369284153,-0.12934212386608124,1.155601143836975,0.27214986085891724,0.0237717404961586,0.026706472039222717,-128,-42,-990,273,25,27,308,510,0,1500,1500.0
14:28:09.057,AUTO,-35.3630263,149.1657243,49999,0.050641655921936035,-0.12567991018295288,1.1561217308044434,-0.17490553855895996,0.027707725763320923,0.02984917163848877,-133,-79,-996,-174,29,30,309,510,0,1500,1500.0
14:28:09.258,AUTO,-35.3630263,149.1657243,49999,0.050641655921936035,-0.12567991018295288,1.1561217308044434,-0.17490553855895996,0.027707725763320923,0.02984917163848877,-133,-79,-996,-174,29,30,309,510,0,1500,1500.0
14:28:09.459,AUTO,-35.3630263,149.1657243,49999,0.050641655921936035,-0.12567991018295288,1.1561217308044434,-0.17490553855895996,0.027707725763320923,0.02984917163848877,-133,-79,-996,-174,29,30,309,510,0,1500,1500.0
14:28:09.661,AUTO,-35.3630263,149.1657243,49999,0.050641655921936035,-0.12567991018295288,1.1561217308044434,-0.17490553855895996,0.027707725763320923,0.02984917163848877,-133,-79,-996,-174,29,30,309,510,0,1500,1500.0
14:28:09.863,AUTO,-35.3630263,149.1657243,49999,0.050641655921936035,-0.12567991018295288,1.1561217308044434,-0.17490553855895996,0.027707725763320923,0.02984917163848877,-133,-79,-996,-174,29,30,309,510,0,1500,1500.0
14:28:10.066,AUTO,-35.3629981,149.1657803,50003,0.04610570892691612,-0.12169889360666275,1.1568580865859985,-0.2865124046802521,-0.011341148987412453,-0.007175911217927933,-142,-83,-1003,-285,-9,-6,315,504,-1,1500,1500.0
14:28:10.267,AUTO,-35.362991,149.1657943,50005,0.058404359966516495,-0.12364867329597473,1.1193516254425049,0.1718435287475586,-0.0021409301552921534,-0.4575531780719757,-124,-43,-992,174,0,-457,315,504,0,1500,1500.0
14:28:10.468,AUTO,-35.3629838,149.1658082,50005,0.06948494166135788,-0.11519134789705276,1.0249881744384766,0.1278904378414154,-0.015038024634122849,-0.13562503457069397,-115,-85,-992,128,-13,-134,317,503,0,1500,1500.0
14:28:10.669,AUTO,-35.3629838,149.1658082,50005,0.06948494166135788,-0.11519134789705276,1.0249881744384766,0.1278904378414154,-0.015038024634122849,-0.13562503457069397,-115,-85,-992,128,-13,-134,317,503,0,1500,1500.0
