time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:05:16,0.0,0.0,-1000.0,2.0,0.0,-19.0,1500.0,AUTO,0.0018777899676933885,0.0027297139167785645,-0.1986750066280365,0.0010536226909607649,-0.0016497904434800148,-0.019538797438144684,-35.3632617,149.1652361,20280.0,-3.0,5.0,-152.0
20:05:18,0.0,0.0,-1000.0,1.0,0.0,-21.0,1500.0,AUTO,0.0022597152274101973,0.002837341045960784,-0.23953379690647125,0.0006734535563737154,9.033968672156334e-05,-0.021288296207785606,-35.3632618,149.1652365,23411.0,-2.0,3.0,-152.0
20:05:20,0.0,0.0,-999.0,17.0,-3.0,24.0,1500.0,AUTO,0.009148675948381424,0.0037249107845127583,-0.24691075086593628,0.016626818105578423,-0.004297918174415827,0.024971548467874527,-35.3632622,149.1652365,26533.0,-5.0,0.0,-153.0
20:05:22,0.2,-0.6,-999.8,-5.2,1.2,21.4,1500.0,AUTO,0.004029874166008085,0.0017109537438955158,-0.20867272466421127,-0.005874808295629919,0.0008299270266434178,0.022085496690124273,-35.3632624,149.165237075,29071.0,-0.5,8.5,-152.0
20:05:24,0.0,0.0,-1000.0,3.5,1.0,15.0,1500.0,AUTO,-0.0001587660335644614,0.0010669706389307976,-0.16883376240730286,0.0028189950389787555,0.00024745624978095293,0.01594715006649494,-35.3632623,149.165238,32570.5,0.0,1.5,-152.0
20:05:26,0.0,0.0,-1000.0,0.0,0.0,8.0,1500.0,AUTO,0.0014166913460940123,0.0009281985694542527,-0.1414109468460083,-0.0011707274243235588,-0.0016732544172555208,0.008879125118255615,-35.3632622,149.1652379,35892.0,0.0,0.0,-152.0
20:05:28,0.0,0.0,-1000.0,3.0,1.0,9.0,1500.0,AUTO,0.0025152869056910276,0.0014563259901478887,-0.12240353226661682,0.0028009582310914993,0.0009085971396416426,0.010083094239234924,-35.3632621,149.1652375,39014.0,0.0,0.0,-152.0
20:05:33,0.0,0.0,-1000.0,0.8,0.4,7.0,1500.0,AUTO,0.002197345299646258,0.001193616003729403,-0.11118332892656327,-0.00029353532008826735,-0.0003714987193234265,0.007629226613789797,-35.3632621,149.1652374,41346.6,0.0,0.4,-152.0
20:05:35,0.0,0.0,-1000.0,0.6666666666666666,1.1666666666666667,6.5,1500.0,AUTO,0.0019371740830441315,0.0014424597417625289,-0.09913570061326027,-0.00035782461054623127,0.00017121376974197725,0.006903436267748475,-35.36326201666666,149.16523731666666,44269.166666666664,-1.0,1.0,-152.0
20:05:37,0.6666666666666666,1.3333333333333333,-973.0,-36.166666666666664,5.666666666666667,231.5,1500.0,AUTO,-0.028495586733333765,0.032346009835600854,0.03696366585791111,-0.045501602138392626,0.00596091371262446,0.277218752168119,-35.36326222,149.16523697999997,47465.8,-11.0,-9.4,-138.8
