time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
06:00:24,-0.011484312359243631,0.02307409979403019,-0.12849127873778343,0.019602573476731777,0.008586724288761616,-0.035466479137539864,AUTO,-35.36325985,149.16523595,12575.0,11.0,-3.5,-151.5,-3.5,-0.5,-1001.5,20.0,9.0,-35.5,134561.0
06:00:26,0.008129565045237541,0.004750073770992458,-0.143147811293602,-0.006862064823508263,-0.011199154425412416,-0.002174859691876918,AUTO,-35.363260749999995,149.16523515,15701.5,-15.0,6.0,-151.0,2.0,0.5,-1000.0,-6.0,-10.0,-2.5,134561.0
06:00:28,-0.01032827515155077,0.013883852865546942,0.05657077394425869,0.1499713733792305,-0.14404193311929703,0.1564602628350258,AUTO,-35.36326315,149.16523315,18677.0,-30.0,-39.0,-122.0,0.0,10.0,-953.5,150.5,-142.5,155.5,134561.0
06:00:29,0.05421192105859518,-0.028291575610637665,0.05411318689584732,-0.028429984173271805,0.026981333503499627,-0.01366558794688899,AUTO,-35.3632647,149.165231025,19903.0,2.75,18.0,-73.25,0.0,-2.75,-970.25,-27.25,27.25,-14.0,87676.0
06:00:30,0.021826663054525852,-0.0039006701263133436,0.05008940398693085,-0.04523547179996967,0.03075698297470808,0.003117549465969205,AUTO,-35.363264,149.16523335,20397.5,16.0,41.0,-53.5,0.5,-9.5,-976.5,-44.0,31.0,2.0,87676.0
06:00:32,-0.024477324448525906,0.016150776762515306,0.04504459351301193,-0.1995834782719612,0.049331636633723974,-0.007623671437613666,AUTO,-35.363261449999996,149.16523985,21015.0,3.0,11.5,-3.0,0.0,-3.0,-948.5,-198.0,50.0,-7.5,87676.0
06:00:34,-0.013259598053991795,-0.0682344064116478,0.03260066267102957,0.20971201360225677,-0.04230889491736889,-0.10114632593467832,AUTO,-35.3632595,149.16523675000002,20755.0,45.0,-30.0,0.5,-10.5,19.0,-1007.0,211.5,-41.0,-101.0,196846.0
06:00:36,0.010571660939604044,-0.15458741039037704,-0.2916099578142166,-0.34359169006347656,-0.05214937403798103,-0.0005659265443682671,AUTO,-35.36323935,149.1652278,20738.0,197.5,-80.5,0.5,-43.5,-46.0,-1005.5,-342.5,-51.0,-1.0,196846.0
06:00:38,0.05240987055003643,-0.19837898015975952,-0.309706911444664,0.033478884026408195,-0.02684804704040289,-0.0074409074150025845,AUTO,-35.3631858,149.16520359999998,20689.5,403.5,-149.0,2.5,-87.0,-47.5,-998.0,34.0,-26.0,-7.0,196846.0
06:00:39,0.07504617422819138,-0.19634150713682175,-0.31462063640356064,0.005535976495593786,0.03241334483027458,0.0014140574494376779,AUTO,-35.363133499999996,149.165180275,20648.75,527.75,-183.75,0.0,-108.75,-70.25,-1005.0,6.0,32.75,1.0,5679.0
06:00:40,0.0849047414958477,-0.17490288615226746,-0.31569236516952515,-0.003849237458780408,0.008435903582721949,0.0009271483868360519,AUTO,-35.36309645,149.1651642,20664.5,579.5,-198.5,-4.0,-114.0,-77.0,-989.5,-3.0,8.5,1.0,5679.0
06:00:42,0.0836210548877716,-0.1380038633942604,-0.3161773830652237,0.021418497897684574,0.024952294304966927,-0.003701296867802739,AUTO,-35.3629855,149.16511805,20718.5,643.0,-217.5,-2.0,-128.0,-76.5,-990.0,21.5,25.0,-4.0,5679.0
06:00:44,0.08946302533149719,-0.13322243094444275,-0.3200947046279907,-0.0418902151286602,-0.0026320461183786392,0.004132140544243157,AUTO,-35.362869849999996,149.16506945,20687.5,646.0,-221.0,4.0,-131.0,-88.5,-994.0,-41.0,-2.0,4.0,74604.0
06:00:46,0.08631964027881622,-0.12933357805013657,-0.3221938759088516,0.00950312428176403,0.009841152466833591,-0.0003005494363605976,AUTO,-35.3627533,149.1650206,20639.5,648.5,-225.5,1.0,-131.0,-95.0,-988.5,10.0,10.0,-0.5,143529.0
06:00:48,0.08511259779334068,-0.1244383454322815,-0.3239533454179764,-0.0013656335358973593,0.01657232828438282,0.0062513521406799555,AUTO,-35.36263635,149.16497105,20596.5,642.5,-224.0,1.0,-136.0,-91.5,-996.5,-1.0,16.5,6.0,143529.0
06:00:49,0.08996148779988289,-0.09470852836966515,-0.32435860484838486,0.01765712327323854,0.05362407211214304,-0.0033982164168264717,AUTO,-35.362564375,149.16494,20577.75,628.5,-217.0,-3.25,-129.25,-81.0,-998.0,18.0,53.75,-2.75,69519.0
