time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz
05:42:38,120344.0,AUTO,0.06763676088303328,0.04364627134054899,-0.42243344336748123,0.20362178422510624,0.035543366393540055,0.00828787125647068,-82.5,-56.75,-1004.25,203.5,35.75,8.5,-35.362564425,149.164836075,22490.5,379.75,-165.5,4.25
05:42:39,120344.0,AUTO,0.05784510262310505,0.052980219945311546,-0.42278698086738586,0.6344232559204102,0.014024410455022007,-0.015627768822014332,-52.5,-13.0,-1014.5,634.5,14.5,-14.5,-35.3625289,149.16481629999998,22411.5,247.5,-108.5,2.5
05:42:41,120344.0,AUTO,0.018462374340742826,0.050967611372470856,-0.42511598765850067,-0.6547968685626984,-0.024843722581863403,-6.457147537730634e-05,-15.0,-41.5,-1007.5,-653.5,-23.0,0.0,-35.362501949999995,149.1648004,22372.0,71.5,-20.5,0.0
05:42:43,120344.0,AUTO,0.013238931074738503,0.004338262224337086,-0.4303814470767975,-0.0008425116539001465,-0.02841972839087248,0.00967397727072239,-0.5,18.5,-1007.0,1.0,-27.0,9.5,-35.3624983,149.16479744999998,22391.0,2.0,11.5,-1.5
05:42:44,253495.0,AUTO,0.02503097429871559,-0.014448495698161423,-0.4326900616288185,-0.04972176253795624,-0.016708622802980244,0.012633583508431911,-0.75,-3.75,-1002.25,-48.5,-15.75,12.75,-35.362499025,149.164796825,22400.75,4.0,13.0,-0.25
05:42:45,253495.0,RTL,0.04072710685431957,-0.009817859623581171,-0.4360276162624359,0.10093695670366287,0.02087940415367484,0.017756828106939793,-2.0,-8.0,-997.5,102.5,21.0,18.5,-35.3624997,149.16479525,22411.5,19.5,16.5,-2.5
05:42:47,253495.0,RTL,0.01896742545068264,-0.004283263348042965,-0.4335576593875885,0.004138274118304253,-0.002650550421094522,0.01147018512710929,1.0,-4.0,-1048.5,7.0,-1.5,12.0,-35.3624995,149.16479479999998,23142.0,17.0,27.5,-81.0
05:42:49,161490.0,RTL,0.035910386592149734,-0.011979731731116772,-0.4322587698698044,0.03741195239126682,-0.011177795939147472,0.0036850632168352604,0.5,-4.5,-1002.0,39.5,-10.0,4.5,-35.36249865,149.16479695,25679.0,17.0,26.0,-147.0
05:42:51,69485.0,RTL,-0.051289770752191544,0.008233664169286689,-0.5158708095550537,-0.05651041865348816,-0.028187107915679615,-0.02619783425082763,3.0,-6.333333333333333,-1003.6666666666666,-53.0,-26.666666666666668,-24.333333333333332,-35.36249456666666,149.16480363333332,28496.333333333332,7.333333333333333,21.666666666666668,-147.33333333333334
05:42:53,69485.0,RTL,0.01478810515254736,0.0015358501113951206,-0.5350675880908966,0.02768076490610838,0.008308852324262261,-0.0006240716320462525,-4.5,7.5,-1000.0,30.0,8.5,1.0,-35.3624968,149.16479885,31963.0,-28.0,-33.0,-150.0
