time_stamp,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
04:19:34,281974.0,RTL,0.0018037189729511738,0.002514535949255029,-0.16848865648110709,0.001393009287615617,3.0102751528223354e-05,0.0030419143537680307,-35.3626068,149.1651203,101617.66666666667,-1.0,1.0,-152.0,0.0,0.0,-1000.0,3.0,1.6666666666666667,4.333333333333333
04:19:36,31243.0,RTL,0.001802442711777985,0.002274729466686646,-0.16579351822535196,-0.0008863732994844516,-0.0001823503989726305,0.0005790822906419635,-35.3626068,149.1651203,104723.0,-1.0,1.0,-152.0,0.0,0.0,-1000.0,1.0,1.3333333333333333,1.6666666666666667
04:19:38,31243.0,RTL,0.001919306581839919,0.0023036342269430556,-0.1632444510857264,-0.0004555542642871539,0.00029248325154185295,0.001560849758485953,-35.3626068,149.1651203,107839.0,-1.0,1.0,-152.0,0.0,0.0,-999.6666666666666,1.6666666666666667,2.0,2.6666666666666665
04:19:40,31243.0,RTL,0.001864141512972613,0.002409767359495163,-0.16089131434758505,0.0008831790182739496,0.0006551789895941814,0.0013061175510908167,-35.3626068,149.1651203,110940.33333333333,-1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,2.6666666666666665,2.3333333333333335,2.3333333333333335
04:19:41,44176.0,RTL,0.0017540743962551157,0.002752750258271893,-0.15957596898078918,0.0003332748698691527,0.00032403157092630863,0.0004877577302977443,-35.3626068,149.1651203,112879.0,-1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,2.0,2.0,2.0
04:19:42,44176.0,RTL,0.0016456778394058347,0.002530244334290425,-0.15895671645800272,-0.0009903316774095099,-0.0010673566721379757,0.002050735599671801,-35.3626068,149.1651203,114043.66666666667,-1.0,1.0,-152.0,0.0,0.0,-1000.0,1.0,0.6666666666666666,3.3333333333333335
04:19:44,44176.0,RTL,0.0016607647994533181,0.0024514747007439532,-0.15717077751954397,-0.0002878868641952674,0.0007777105395992597,0.0010392471837500732,-35.3626068,149.1651203,117158.33333333333,-1.0,1.0,-152.0,0.0,0.0,-1000.3333333333334,1.6666666666666667,2.6666666666666665,2.0
04:19:46,44176.0,RTL,0.0019515836999441187,0.0021794623074432216,-0.1559314082066218,-0.0003240897785872221,6.926036439836025e-05,0.00015143821171174446,-35.3626068,149.1651203,120268.66666666667,-1.0,1.0,-152.0,0.0,0.0,-1000.0,1.3333333333333333,2.0,1.6666666666666667
04:19:47,115290.0,RTL,0.0017251737493400772,0.002268084092065692,-0.15502468248208365,-0.0002391588253279527,0.000891620914141337,0.0012662796846901376,-35.3626068,149.1651203,122205.33333333333,-1.0,1.0,-152.0,0.0,0.0,-1000.0,1.3333333333333333,2.6666666666666665,2.6666666666666665
04:19:48,115290.0,RTL,0.0017697637279828389,0.0024482971833397946,-0.1546562264362971,0.0008805454708635807,0.0012637808298071225,0.00026743439957499504,-35.3626068,149.1651203,123372.33333333333,-1.0,1.0,-152.0,0.0,0.0,-1000.0,2.6666666666666665,3.3333333333333335,1.6666666666666667
