time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,LAND_SPEED_HIGH,MODE,WPNAV_SPEED_DN
12:54:01,0.008424165995772151,0.0013915108332488064,0.021336865921815235,0.5283983635405699,-0.0021302478465562067,-0.0012630305912656088,-35.3632618,149.16523576666665,10366.5,-1.8333333333333333,19.333333333333332,30.666666666666668,2.0,22.833333333333332,-1007.6666666666666,530.8333333333334,-1.3333333333333333,0.0,1500.0,230.0,LAND,90.0
12:54:03,-0.007628817576915026,-0.0020829453133046627,0.018210740759968758,-0.8952163457870483,-0.002238540444523096,-0.003478214144706726,-35.3632621,149.1652369,9630.0,0.0,7.0,32.0,1.0,-40.0,-1019.0,-896.0,-1.0,-2.0,1500.0,130.0,LAND,90.0
12:54:05,0.01824338547885418,-0.0035191962961107492,0.01521292980760336,0.9548623561859131,0.002045408356934786,0.007325696758925915,-35.3632621,149.165237,8931.0,0.0,3.0,32.0,-1.0,39.0,-999.0,957.0,2.0,8.0,1500.0,130.0,LAND,90.0
12:54:09,-0.01305637467642858,0.0038535879381621876,0.012550157339622578,0.015926142533620197,0.0002698216897745927,-0.0025797804992180318,-35.36326185,149.16523865,8360.333333333334,-0.6666666666666666,-3.1666666666666665,-8.166666666666666,1.1666666666666667,-11.666666666666666,-1002.6666666666666,15.833333333333334,0.16666666666666666,-1.3333333333333333,1500.0,130.0,LAND,90.0
12:54:11,-0.015097724623046815,-0.002139546471880749,0.010151652852073312,-0.33066442608833313,-0.0028549547569127753,0.0017650067165959626,-35.363261875,149.16523967499998,8313.25,-3.0,-19.0,12.25,-1.0,-11.6,-994.4,-387.4,-1.4,1.8,1500.0,500.0,LAND,90.0
12:54:13,0.01645740183691184,-0.003509545853982369,0.008676150192817053,0.24661441147327423,0.0019006294508775075,-0.0019507067821299036,-35.3632621,149.16523729999997,8306.0,0.0,-4.666666666666667,-1.3333333333333333,-0.3333333333333333,0.3333333333333333,-994.3333333333334,245.0,2.0,-0.3333333333333333,1500.0,500.0,LAND,90.0
12:54:15,0.009374579112045468,-0.001856976724229753,0.00720663983374834,-0.053492391109466554,-0.0009491844102740288,0.0007368625840172172,-35.3632621,149.16523664,8312.2,0.0,2.6,-0.2,-1.0,-6.0,-1004.6,-52.8,-0.4,1.8,1500.0,320.0,LAND,90.0
12:54:18,0.012884990428574383,0.0010566215496510267,0.006361919571645558,0.6745279654860497,9.581859922036529e-05,-0.0013723412121180445,-35.363261975,149.1652363,8264.0,0.0,10.75,19.0,1.25,25.25,-970.75,675.75,0.5,0.0,1500.0,320.0,LAND,90.0
12:54:20,-0.00021463833400048316,-0.002903631655499339,0.0055295201018452644,0.29785817861557007,-0.0029980179388076067,0.0020194207318127155,-35.3632619,149.16523725000002,7480.5,-2.0,2.0,36.5,-1.5,33.5,-997.0,125.5,-2.5,1.5,1500.0,340.0,LAND,90.0
12:54:22,0.01681308588013053,-0.00177471239658189,0.0048994109383784235,0.21989582292735577,0.0021604511130135506,-0.0022207753645488992,-35.363262,149.16523643750003,6867.375,-0.375,5.5,32.875,0.5,-1.0,-1002.375,219.75,2.25,-0.75,1500.0,360.0,LAND,90.0
12:54:24,-0.021246819756925106,0.0018923763127531856,0.003782945976126939,-0.8722032159566879,0.003704675182234496,0.0003881791781168431,-35.363261949999995,149.16523782500002,6216.75,-0.5,1.5,33.5,0.0,-31.5,-995.5,-868.75,4.0,1.75,1500.0,420.0,LAND,90.0
12:54:31,-0.0060322849700848264,-0.002979688889657458,0.0024113749774793782,-0.307072455684344,0.0009992597721672307,0.0033084960111106434,-35.363262049999996,149.16523808333332,3712.5,-0.5,-8.166666666666666,32.0,-0.5,4.666666666666667,-1003.3333333333334,-301.6666666666667,1.3333333333333333,4.666666666666667,1500.0,480.0,LAND,90.0
12:54:33,0.004760722319285075,-0.00020174274201660106,0.0016374400584027171,0.7721585383017858,0.0024166720443948484,0.0020357109024189413,-35.363262066666664,149.16523801666668,3072.8333333333335,0.0,-3.8333333333333335,32.333333333333336,0.16666666666666666,34.0,-1010.6666666666666,774.5,2.8333333333333335,3.5,1500.0,440.0,LAND,90.0
12:54:38,0.02124322410672903,-0.004318497329950333,0.000328155564784538,0.740882283449173,-0.001672549149952829,0.0014211199479177595,-35.36326202,149.16523668,1445.2,-1.0,0.2,32.2,-1.3333333333333333,40.666666666666664,-1000.6666666666666,707.8333333333334,-1.0,3.3333333333333335,1500.0,440.0,LAND,90.0
12:54:42,0.0022556394105777144,0.001087251235730946,0.0014080664259381592,0.0007759913569316268,0.0015552520053461194,0.0006449005450122058,-35.3632619,149.1652351,93.0,-1.0,1.5,0.0,0.0,0.0,-1000.5,2.0,2.0,2.0,1500.0,60.0,LAND,90.0
12:54:44,0.0023429700772144963,0.0024644199293106794,0.0024594414779650314,0.000755454829361822,0.001401548323753689,0.0006780744463737522,-35.36326191428571,149.1652343714286,57.0,-4.285714285714286,-2.4285714285714284,1.7142857142857142,0.0,0.0,-1000.0,2.0,1.8571428571428572,2.0,1500.0,450.0,LAND,90.0
12:54:46,0.004112782597076148,0.0034874570555984974,0.0038753343978896737,0.0009450343786738813,0.0015187519311439246,0.0006301044777501374,-35.3632621,149.165234175,26.0,-7.0,0.25,1.0,0.0,0.0,-1000.0,2.0,2.0,2.0,1500.0,450.0,LAND,90.0
12:54:50,0.0053571247096572605,0.0027295578537242754,0.002841746368046318,0.0008727814170664974,0.0013577776428844248,0.0006880567608667272,-35.363262,149.16523430000004,0.14285714285714285,-5.285714285714286,3.142857142857143,0.42857142857142855,0.0,0.0,-1000.0,2.0,1.8571428571428572,2.142857142857143,1500.0,450.0,LAND,90.0
