time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro
19:12:35,AUTO,0.03587694372981787,-0.005771934986114502,0.05892096646130085,0.04427028074860573,-0.006720517296344042,-9.322242112830281e-05,614430.0,-35.363261,149.16524135,30392.5,5.5,16.0,-148.5,0.0,-1.0,-1004.0,45.0,-5.5,0.5
19:12:36,AUTO,0.049171443562954664,-0.001091010170057416,0.04842265974730253,-0.041927739046514034,0.028104342985898256,-0.04385491943685338,615560.0,-35.36326065,149.16524355,31525.5,8.25,46.0,-146.75,1.5,-8.75,-995.5,-40.5,28.75,-43.5
19:12:37,AUTO,-0.07937374338507652,0.004263346781954169,-0.016888396348804235,-0.011525602079927921,-0.01256966358050704,-0.03138636611402035,617430.0,-35.3632601,149.16524909999998,33396.5,0.0,12.0,-148.5,1.5,-4.0,-1007.5,-10.0,-11.5,-30.5
19:12:38,AUTO,-0.05223813373595476,0.0007668694197491277,-0.03173151658847928,0.05446978751569986,0.0024671658902661875,-0.01211713277734816,618580.0,-35.3632601,149.165247625,34544.25,-1.75,-36.0,-148.75,-3.75,5.5,-1000.5,55.5,3.0,-11.25
19:12:39,AUTO,0.02490044292062521,0.010548789985477924,-0.03553204797208309,0.06442349031567574,0.007599906297400594,0.0014700598549097776,620505.0,-35.363260600000004,149.16524065,36469.0,-12.5,-44.5,-151.0,-3.0,10.5,-1003.0,65.5,8.0,1.5
19:12:40,AUTO,0.0499147605150938,-0.008583501330576837,-0.015030186623334885,-0.0055788501049391925,-0.051165280703571625,0.053578717866912484,621677.5,-35.363261475,149.165238425,37643.0,-14.75,-7.25,-150.5,0.5,4.5,-997.75,-4.25,-50.25,53.5
19:12:41,AUTO,-0.014648516662418842,-0.005753796955104917,-0.014528863364830613,-0.02572708996012807,0.04033881798386574,-0.061610059812664986,623600.0,-35.3632611,149.1652398,39563.5,16.0,14.5,-149.0,-1.0,-6.0,-1004.0,-23.5,41.0,-61.0
19:12:42,AUTO,-0.015230248449370265,0.011221646680496633,-0.0566380862146616,0.014018254703842103,0.015010264236479998,-0.04342217091470957,624765.0,-35.363259825,149.165240275,40727.25,12.0,-0.75,-150.75,-2.75,-2.5,-1001.5,15.25,15.5,-42.5
19:12:43,AUTO,0.005217618774622679,0.015240575652569532,-0.08927268534898758,0.007791934767737985,-0.004068355192430317,-0.01021128473803401,626715.0,-35.363258849999994,149.16523975,42683.0,-4.5,-4.0,-151.0,-0.5,0.0,-999.5,9.0,-2.5,-9.0
19:12:44,AUTO,0.005386926874052733,0.009625776670873165,-0.09541288390755653,-0.004246186144882813,-0.007321560871787369,-0.007363534765318036,627885.0,-35.3632591,149.16523975,43851.75,-10.0,1.5,-151.0,0.75,0.0,-999.5,-2.5,-5.75,-6.0
19:12:45,AUTO,-0.0018173177959397435,0.001509560039266944,-0.11238646879792213,-0.005413016304373741,-0.0023210798390209675,-0.018442319706082344,629835.0,-35.363259850000006,149.1652403,45798.5,-9.5,5.0,-151.0,1.5,0.0,-1000.0,-3.5,-1.0,-17.5
19:12:46,LOITER,-0.030839969287626445,0.00545793779019732,-0.1160100307315588,-0.13430591521319002,0.05356553423916921,0.0936936205253005,631000.0,-35.363260125,149.1652407,46962.25,-6.75,-0.5,-146.75,0.5,-0.5,-969.25,-132.5,54.5,94.75
19:12:47,LOITER,0.024611640139482915,-0.015967521583661437,0.05443243682384491,0.4398254230618477,-0.0778877716511488,-0.02065012464299798,632080.0,-35.36326165,149.16523715,48045.5,-24.5,-46.5,26.5,-1.5,17.0,-796.5,440.5,-76.0,-19.5
19:12:48,LOITER,0.09690524637699127,-0.029941707383841276,0.036438364535570145,1.4382365494966507,0.007849866524338722,-0.005878603318706155,631225.0,-35.3632626,149.165235,47188.0,-7.25,-4.0,166.25,1.0,41.5,-880.25,1438.25,8.75,-5.0
19:12:49,LOITER,0.002511555270757526,0.002334261102078017,0.028305156156420708,-2.0751216411590576,0.019684758968651295,-0.008203075267374516,628760.0,-35.363262,149.16523855,44724.5,12.0,54.0,195.0,3.5,-90.5,-1029.0,-2073.0,20.0,-6.5
19:12:50,LOITER,0.005116670945426449,0.010323565220460296,0.023215100169181824,0.5023194402456284,-0.0014753523282706738,-0.010146599495783448,627310.0,-35.363261125,149.165242225,43275.25,9.75,43.25,181.5,2.5,-27.75,-1006.5,500.75,-0.5,-9.0
19:12:51,AUTO,-0.0007049525156617165,0.0005032898625358939,0.0190839609131217,0.8982613682746887,-0.006150887697003782,0.0004829572280868888,625175.0,-35.3632605,149.16524455,41137.0,1.5,11.0,106.0,-1.5,62.5,-1173.5,902.5,-5.0,1.5
